0x00403d30:0x00403d5a, _start
0x00403d60:0x00403d92, deregister_tm_clones
0x00403da0:0x00403dda, register_tm_clones
0x00403de0:0x00403dfc, __do_global_dtors_aux
0x00403e00:0x00403e26, frame_dummy
0x00403e26:0x00403e3d, BLI_listbase_is_empty
0x00403e3d:0x00403e78, print_version
0x00403e78:0x004043ca, print_help
0x004043ca:0x004043e0, end_arguments
0x004043e0:0x00404414, enable_python
0x00404414:0x00404448, disable_python
0x00404448:0x00404465, disable_crash_handler
0x00404465:0x00404482, background_mode
0x00404482:0x004044de, debug_mode
0x004044de:0x00404506, debug_mode_generic
0x00404506:0x00404529, debug_mode_memory
0x00404529:0x00404574, set_debug_value
0x00404574:0x0040458a, set_fpe
0x0040458a:0x0040468b, blender_crash_handler_backtrace
0x0040468b:0x004048ad, blender_crash_handler
0x004048ad:0x004048ca, set_factory_startup
0x004048ca:0x004049c5, set_env
0x004049c5:0x00404a05, playback_mode
0x00404a05:0x00404ab8, prefsize
0x00404ab8:0x00404adc, native_pixels
0x00404adc:0x00404afb, with_borders
0x00404afb:0x00404b1a, without_borders
0x00404b1a:0x00404b37, start_with_console
0x00404b37:0x00404b4d, register_extension
0x00404b4d:0x00404b63, no_joystick
0x00404b63:0x00404b82, no_glsl
0x00404b82:0x00404ba6, no_audio
0x00404ba6:0x00404c08, set_audio
0x00404c08:0x00404c8a, set_output
0x00404c8a:0x00404dd0, set_engine
0x00404dd0:0x00404e67, set_image_type
0x00404e67:0x00404ee4, set_threads
0x00404ee4:0x00404f2b, set_verbosity
0x00404f2b:0x00404fef, set_extension
0x00404fef:0x004050f9, set_ge_parameters
0x004050f9:0x004052e2, render_frame
0x004052e2:0x004053fa, render_animation
0x004053fa:0x00405479, set_scene
0x00405479:0x00405517, set_start_frame
0x00405517:0x004055b5, set_end_frame
0x004055b5:0x00405653, set_skip_frame
0x00405653:0x00405677, run_python_file
0x00405677:0x0040569b, run_python_text
0x0040569b:0x004056bf, run_python_console
0x004056bf:0x004056f0, set_addons
0x004056f0:0x004059b9, load_file
0x004059b9:0x00406407, setupArguments
0x00406407:0x004067b8, main
0x004067b8:0x004067ec, mem_error_cb
0x004067ec:0x00406801, setCallbacks
0x00406801:0x00406818, BLI_listbase_is_empty_0
0x00406818:0x0040682e, BLI_ghashIterator_getValue
0x0040682e:0x00406846, BLI_ghashIterator_done
0x00406846:0x00406955, WM_operator_free
0x00406955:0x00406a0d, WM_operator_type_set
0x00406a0d:0x00406a4a, wm_reports_free
0x00406a4a:0x00406b09, wm_operator_register
0x00406b09:0x00406b52, WM_operator_stack_clear
0x00406b52:0x00406c54, WM_operator_handlers_clear
0x00406c54:0x00406cba, WM_uilisttype_find
0x00406cba:0x00406ceb, WM_uilisttype_add
0x00406ceb:0x00406d23, WM_uilisttype_freelink
0x00406d23:0x00406d40, WM_uilisttype_init
0x00406d40:0x00406de6, WM_uilisttype_free
0x00406de6:0x00406e4c, WM_menutype_find
0x00406e4c:0x00406e7d, WM_menutype_add
0x00406e7d:0x00406eb5, WM_menutype_freelink
0x00406eb5:0x00406ed2, WM_menutype_init
0x00406ed2:0x00406f7b, WM_menutype_free
0x00406f7b:0x004070e7, WM_keymap_init
0x004070e7:0x004071d0, WM_check
0x004071d0:0x0040728a, wm_clear_default_size
0x0040728a:0x00407364, wm_add_default
0x00407364:0x004074a3, wm_close_and_free
0x004074a3:0x00407500, wm_close_and_free_all
0x00407500:0x0040753e, WM_main
0x0040753e:0x00407598, playanim_window_get_size
0x00407598:0x004075a6, playanim_gl_matrix
0x004075e9:0x00407791, playanim_event_qual_update
0x00407791:0x004077f3, playanim_step
0x004077f3:0x00407855, pupdate_time
0x00407855:0x00407e35, playanim_toscreen
0x00407e35:0x00408444, build_pict_list_ex
0x00408444:0x0040848d, build_pict_list
0x0040848d:0x004090c8, ghost_event_proc
0x004090c8:0x0040916c, playanim_window_open
0x0040916c:0x00409248, playanim_window_zoom
0x00409248:0x0040a096, wm_main_playanim_intern
0x0040a117:0x0040a17c, WM_main_playanim
0x0040a17c:0x0040a1db, convert_cursor
0x0040a1db:0x0040a21a, window_set_custom_cursor
0x0040a21a:0x0040a329, window_set_custom_cursor_ex
0x0040a329:0x0040a4a9, WM_cursor_set
0x0040a4a9:0x0040a4f6, WM_cursor_modal_set
0x0040a4f6:0x0040a53f, WM_cursor_modal_restore
0x0040a53f:0x0040a5c2, WM_cursor_wait
0x0040a5c2:0x0040a735, WM_cursor_grab_enable
0x0040a735:0x0040a794, WM_cursor_grab_disable
0x0040a794:0x0040a801, wm_cursor_warp_relative
0x0040a801:0x0040a8e4, wm_cursor_arrow_move
0x0040a8e4:0x0040abfd, WM_cursor_time
0x0040abfd:0x0040acbf, wm_init_cursor_data
0x0040acbf:0x0040ad9e, WM_dropboxmap_find
0x0040ad9e:0x0040ae7d, WM_dropbox_add
0x0040ae7d:0x0040af12, wm_dropbox_free
0x0040af12:0x0040afda, WM_event_start_drag
0x0040afda:0x0040b02e, WM_event_drag_image
0x0040b02e:0x0040b07f, WM_drag_free
0x0040b07f:0x0040b0b3, WM_drag_free_list
0x0040b0b3:0x0040b15a, dropbox_active
0x0040b15a:0x0040b235, wm_dropbox_active
0x0040b235:0x0040b330, wm_drop_operator_options
0x0040b330:0x0040b38d, wm_drags_check_ops
0x0040b38d:0x0040b400, wm_drop_operator_draw
0x0040b4a0:0x0040b4f2, wm_drag_name
0x0040b4f2:0x0040b560, drag_rect_minmax
0x0040b560:0x0040b5f5, wm_drags_draw
0x0040bb85:0x0040bb9f, is_power_of_2_i
0x0040bb9f:0x0040bbdb, power_of_2_max_i
0x0040bbdb:0x0040bc04, power_of_2_min_i
0x0040bc04:0x0040bde0, wm_paintcursor_draw
0x0040bde0:0x0040be18, wm_area_mark_invalid_backbuf
0x0040be18:0x0040be4d, wm_area_test_invalid_backbuf
0x0040be4d:0x0040bf43, wm_region_test_render_do_draw
0x0040bf43:0x0040c0c8, wm_method_draw_full
0x0040c0c8:0x0040c17e, wm_flush_regions_down
0x0040c17e:0x0040c20d, wm_flush_regions_up
0x0040c20d:0x0040c776, wm_method_draw_overlap_all
0x0040c776:0x0040c8df, split_width
0x0040c8df:0x0040c94b, wm_draw_triple_free
0x0040c94b:0x0040c990, wm_draw_triple_fail
0x0040c990:0x0040cada, wm_triple_gen_textures
0x0040cc73:0x0040ccb4, wm_triple_draw_textures
0x0040cfad:0x0040d10f, wm_triple_copy_textures
0x0040d112:0x0040d1b2, wm_draw_region_blend
0x0040d1b2:0x0040d691, wm_method_draw_triple
0x0040d691:0x0040d840, wm_draw_update_test_window
0x0040d840:0x0040d8dc, wm_automatic_draw_method
0x0040d8dc:0x0040d925, WM_is_draw_triple
0x0040d925:0x0040d973, wm_tag_redraw_overlay
0x0040d973:0x0040d9aa, WM_paint_cursor_tag_redraw
0x0040d9aa:0x0040db84, wm_draw_update
0x0040db84:0x0040dc24, wm_draw_window_clear
0x0040dc24:0x0040dc81, wm_draw_region_clear
0x0040dc81:0x0040dd05, WM_redraw_windows
0x0040dd05:0x0040dd1c, BLI_listbase_is_empty_1
0x0040dd1c:0x0040dd47, zero_v2
0x0040dd47:0x0040dd84, zero_v3
0x0040dd84:0x0040ddb0, copy_v2_v2_int
0x0040ddb0:0x0040de13, mul_v3_v3fl
0x0040de13:0x0040de75, dot_v3v3
0x0040de75:0x0040df01, normalize_v3_v3
0x0040df01:0x0040dfd6, wm_event_add
0x0040dfd6:0x0040e06c, wm_event_free
0x0040e06c:0x0040e0a6, wm_event_free_all
0x0040e0a6:0x0040e13a, wm_event_init_from_window
0x0040e13a:0x0040e1af, wm_test_duplicate_notifier
0x0040e1af:0x0040e2c4, WM_event_add_notifier
0x0040e2c4:0x0040e3a7, WM_main_add_notifier
0x0040e3a7:0x0040e41c, WM_main_remove_notifier_reference
0x0040e41c:0x0040e445, wm_notifier_clear
0x0040e445:0x0040ea91, wm_event_do_notifiers
0x0040ea91:0x0040eadf, wm_event_always_pass
0x0040eadf:0x0040ecec, wm_handler_ui_call
0x0040ecec:0x0040edf2, wm_handler_ui_cancel
0x0040edf2:0x0040eead, WM_operator_poll
0x0040eead:0x0040eeec, WM_operator_poll_context
0x0040eeec:0x0040ef39, wm_operator_print
0x0040ef39:0x0040efa7, WM_operator_region_active_win_set
0x0040efa7:0x0040f090, wm_add_reports
0x0040f090:0x0040f10e, WM_report
0x0040f10e:0x0040f22b, WM_reportf
0x0040f22b:0x0040f3e0, wm_operator_reports
0x0040f3e0:0x0040f424, wm_operator_register_check
0x0040f424:0x0040f55b, wm_operator_finished
0x0040f55b:0x0040f705, wm_operator_exec
0x0040f705:0x0040f76a, wm_operator_exec_notest
0x0040f76a:0x0040f79c, WM_operator_call_ex
0x0040f79c:0x0040f7c6, WM_operator_call
0x0040f7c6:0x0040f7eb, WM_operator_call_notest
0x0040f7eb:0x0040f817, WM_operator_repeat
0x0040f817:0x0040f8bc, WM_operator_repeat_check
0x0040f8bc:0x0040fd54, wm_operator_create
0x0040fd54:0x0040fdca, wm_region_mouse_co
0x0040fdca:0x0041004c, WM_operator_last_properties_init
0x0041004c:0x00410112, WM_operator_last_properties_store
0x00410112:0x00410743, wm_operator_invoke
0x00410743:0x00410a49, wm_operator_call_internal
0x00410a49:0x00410a8b, WM_operator_name_call_ptr
0x00410a8b:0x00410ae2, WM_operator_name_call
0x00410ae2:0x00410bac, WM_operator_call_py
0x00410bac:0x00410bcb, wm_event_free_handler
0x00410bcb:0x00410cfb, wm_handler_op_context
0x00410cfb:0x00410f8d, WM_event_remove_handlers
0x00410f8d:0x00411081, WM_userdef_event_map
0x00411081:0x004112e7, wm_eventmatch
0x004112e7:0x00411401, wm_event_modalkeymap
0x00411401:0x00411453, wm_operator_check_locked_interface
0x00411453:0x004114b7, wm_event_modalmap_end
0x004114b7:0x00411838, wm_handler_operator_call
0x00411838:0x00411cf2, wm_handler_fileselect_do
0x00411cf2:0x00411d5f, wm_handler_fileselect_call
0x00411d5f:0x00411eb2, handler_boundbox_test
0x00411eb2:0x00411ed3, wm_action_not_handled
0x00411ed3:0x00412372, wm_handlers_do_intern
0x00412372:0x00412583, wm_handlers_do
0x00412583:0x0041260a, wm_event_inside_i
0x0041260a:0x0041267c, area_event_inside
0x0041267c:0x00412705, region_event_inside
0x00412705:0x0041277c, wm_paintcursor_tag
0x0041277c:0x004128c5, wm_paintcursor_test
0x004128c5:0x00412a3c, wm_event_drag_test
0x00412a3c:0x00412aa0, wm_event_pie_filter
0x00412aa0:0x00413461, wm_event_do_handlers
0x00413461:0x00413595, WM_event_fileselect_event
0x00413595:0x004137ac, WM_event_add_fileselect
0x004137ac:0x00413875, WM_event_add_modal_handler
0x00413875:0x00413916, WM_event_add_keymap_handler
0x00413916:0x00413978, WM_event_add_keymap_handler_priority
