0x00403a90:0x00403b01, playanim_window_zoom
0x00403b01:0x00403bf6, path_extension_type
0x00403bf6:0x00404279, draw_ptcache_edit
0x00404279:0x00404329, initTrackball
0x00404329:0x0040436e, ui_but_prev
0x0040436e:0x004043b2, ui_but_next
0x004043b2:0x004043da, ui_is_but_drag_toggle
0x004043da:0x0040457a, ui_numedit_apply_snapf
0x0040457a:0x004045c0, ui_but_first
0x004045c0:0x00404607, ui_but_last
0x00404607:0x0040466f, ui_handle_button_activate
0x0040466f:0x004046ab, defvert_reset_to_prev
0x004046ac:0x004046de, set_object_orco
0x004046de:0x00404d3b, isb_bsp_fillfaces
0x00404d3b:0x00404d8d, bm_loop_pair_from_verts
0x00404d8d:0x00404e0f, normalize_v3_v3_2
0x00404e0f:0x00404ef4, quad_edges_to_normal
0x00404ef4:0x004050c5, quad_verts_to_barycentric_tri
0x004050c5:0x00405140, bm_loop_interp_from_grid_boundary_2
0x00405140:0x004051bc, ccgSubSurf__allFaces
0x004051bc:0x00405225, sqrt3d
0x00405225:0x004052a5, imagecache_put
0x004052a5:0x00405327, normalize_v3_v3_5
0x00405327:0x004053f2, give_stripelem_index
0x004053f2:0x004054d8, copy_to_ibuf_still
0x004054d8:0x0040580b, seq_proxy_get_fname
0x0040580b:0x004059f1, seq_proxy_fetch
0x004059f1:0x004066ea, do_render_strip_uncached
0x004066ea:0x004067df, choose_winner
0x004067e0:0x0040730f, main
0x00407310:0x00407336, _GLOBAL__sub_I_range_tree_uint_alloc
0x00407340:0x0040736a, _start
0x00407370:0x004073a2, deregister_tm_clones
0x004073b0:0x004073ea, register_tm_clones
0x004073f0:0x0040740c, __do_global_dtors_aux
0x00407410:0x00407436, frame_dummy
0x00407440:0x00407446, end_arguments
0x00407450:0x0040745d, enable_python
0x00407460:0x00407475, disable_python
0x00407480:0x0040748a, disable_crash_handler
0x00407490:0x0040749a, background_mode
0x004074a0:0x004074a9, debug_mode_generic
0x004074b0:0x004074c1, debug_mode_memory
0x004074d0:0x004074da, set_factory_startup
0x004074e0:0x004074ea, start_with_console
0x004074f0:0x004074f3, no_joystick
0x00407500:0x004076fd, load_file
0x00407700:0x00407720, mem_error_cb
0x00407720:0x0040773c, run_python_console
0x00407740:0x00407972, blender_crash_handler
0x00407980:0x004079ac, print_version
0x004079b0:0x00407ac9, set_engine
0x00407ad0:0x00407c5d, render_frame
0x00407c60:0x00407c72, no_audio
0x00407c80:0x00407c90, no_glsl
0x00407c90:0x00407ca2, native_pixels
0x00407cb0:0x00407cc0, without_borders
0x00407cc0:0x00407cd0, with_borders
0x00407cd0:0x00407d8e, set_env
0x00407d90:0x00407dce, debug_mode
0x00407dd0:0x0040837e, print_help
0x00408380:0x004083c8, set_debug_value
0x004083d0:0x00408410, set_verbosity
0x00408410:0x0040843c, set_addons
0x00408440:0x004084d8, set_extension
0x004084e0:0x00408548, set_output
0x00408550:0x004085e5, set_skip_frame
0x004085f0:0x00408685, set_end_frame
0x00408690:0x00408725, set_start_frame
0x00408730:0x004087a1, set_threads
0x004087b0:0x00408848, set_image_type
0x00408850:0x004088b4, set_scene
0x004088c0:0x00408998, render_animation
0x004089a0:0x00408a53, set_ge_parameters
0x00408a60:0x00408aa4, set_audio
0x00408ab0:0x00408b4c, prefsize
0x00408b50:0x00408b6c, playback_mode
0x00408b70:0x00408b73, register_extension
0x00408b80:0x00408b83, set_fpe
0x00408b90:0x00408bac, run_python_file
0x00408bb0:0x00408bcc, run_python_text
0x00408bd0:0x00408c61, WM_operator_free
0x00408c70:0x00408cec, WM_operator_type_set
0x00408cf0:0x00408d78, wm_operator_register
0x00408d80:0x00408db2, WM_operator_stack_clear
0x00408dc0:0x00408e83, WM_operator_handlers_clear
0x00408e90:0x00408eeb, WM_uilisttype_find
0x00408ef0:0x00408f11, WM_uilisttype_add
0x00408f20:0x00408f39, WM_uilisttype_freelink
0x00408f40:0x00408f5f, WM_uilisttype_init
0x00408f60:0x00408fd1, WM_uilisttype_free
0x00408fe0:0x0040903b, WM_menutype_find
0x00409040:0x00409061, WM_menutype_add
0x00409070:0x00409089, WM_menutype_freelink
0x00409090:0x004090af, WM_menutype_init
0x004090b0:0x00409124, WM_menutype_free
0x00409130:0x00409231, WM_keymap_init
0x00409240:0x004092ec, WM_check
0x004092f0:0x00409361, wm_clear_default_size
0x00409370:0x004093fa, wm_add_default
0x00409400:0x00409517, wm_close_and_free
0x00409520:0x00409565, wm_close_and_free_all
0x00409570:0x0040959a, WM_main
0x004095a0:0x00409931, playanim_toscreen
0x004099a0:0x00409de7, build_pict_list_ex
0x00409df0:0x0040aa77, wm_main_playanim_intern
0x0040aa80:0x0040b570, ghost_event_proc
0x0040b570:0x0040b5a0, WM_main_playanim
0x0040b5a0:0x0040b74a, WM_cursor_set
0x0040b750:0x0040b90f, WM_cursor_modal_set
0x0040b910:0x0040baea, WM_cursor_modal_restore
0x0040baf0:0x0040bdcb, WM_cursor_wait
0x0040bdd0:0x0040be83, WM_cursor_grab_enable
0x0040be90:0x0040bec3, WM_cursor_grab_disable
0x0040bed0:0x0040bff6, wm_cursor_arrow_move
0x0040c000:0x0040c20f, WM_cursor_time
0x0040c210:0x0040c2cc, wm_init_cursor_data
0x0040c2d0:0x0040c379, WM_dropboxmap_find
0x0040c380:0x0040c411, WM_dropbox_add
0x0040c420:0x0040c48a, wm_dropbox_free
0x0040c490:0x0040c531, WM_event_start_drag
0x0040c540:0x0040c55c, WM_event_drag_image
0x0040c560:0x0040c586, WM_drag_free
0x0040c590:0x0040c5de, WM_drag_free_list
0x0040c5e0:0x0040c835, wm_drags_check_ops
0x0040c840:0x0040ce02, wm_drags_draw
0x0040ce10:0x0040d0ed, wm_triple_draw_textures
0x0040d0f0:0x0040d226, wm_paintcursor_draw
0x0040d230:0x0040d377, split_width
0x0040d380:0x0040d8ca, wm_method_draw_overlap_all
0x0040d8d0:0x0040d959, WM_is_draw_triple
0x0040d960:0x0040da04, wm_tag_redraw_overlay
0x0040da10:0x0040dacc, WM_paint_cursor_tag_redraw
0x0040dad0:0x0040dbb4, wm_draw_window_clear
0x0040dbd0:0x0040f092, wm_draw_update
0x0040f0a0:0x0040f1cd, wm_draw_region_clear
0x0040f1d0:0x0040f22e, WM_redraw_windows
0x0040f230:0x0040f2c3, wm_handler_op_context
0x0040f2d0:0x0040f5db, wm_operator_create
0x0040f5e0:0x0040f79b, wm_eventemulation
0x0040f7a0:0x0040f9ac, wm_operator_reports
0x0040f9b0:0x0040fb66, wm_event_cursor_other_windows
0x0040fb70:0x0040fca0, wm_operator_finished
0x0040fca0:0x0041008d, wm_handler_fileselect_do
0x00410090:0x00410199, wm_event_add
0x004101a0:0x004101e7, wm_event_free
0x004101f0:0x00410257, wm_event_free_all
0x00410260:0x004102de, wm_event_init_from_window
0x004102e0:0x004103b4, WM_event_add_notifier
0x004103c0:0x00410483, WM_main_add_notifier
0x00410490:0x004104f5, WM_main_remove_notifier_reference
0x00410500:0x00410a81, wm_event_do_notifiers
0x00410a90:0x00410ee9, WM_operator_poll
0x00410ef0:0x00410f3f, WM_operator_region_active_win_set
0x00410f40:0x00411019, WM_report
0x00411020:0x004111b5, WM_reportf
0x004111c0:0x00411380, WM_operator_call_ex
0x00411380:0x004114a0, WM_operator_call
0x004114a0:0x004114c6, WM_operator_call_notest
0x004114d0:0x00411678, WM_operator_repeat
0x00411680:0x004116e7, WM_operator_repeat_check
0x004116f0:0x00411888, WM_operator_last_properties_init
0x00411890:0x00411e54, wm_operator_invoke
0x00411e60:0x004124af, wm_handler_operator_call
0x004124b0:0x004127ac, wm_operator_call_internal
0x004127b0:0x004130a2, wm_handlers_do_intern
0x004130b0:0x004131f5, wm_handlers_do
0x00413200:0x004133f7, WM_operator_poll_context
0x00413400:0x00413491, WM_operator_last_properties_store
0x004134a0:0x00413759, WM_operator_name_call_ptr
0x00413760:0x004139fb, WM_operator_name_call
0x00413a00:0x00413aed, WM_operator_call_py
0x00413af0:0x00413af6, wm_event_free_handler
0x00413b00:0x00413c8f, WM_event_remove_handlers
0x00413c90:0x00413d72, WM_userdef_event_map
0x00413d80:0x00414a5b, wm_event_do_handlers
0x00414a60:0x00414c72, WM_event_fileselect_event
0x00414c80:0x00414eb5, WM_event_add_fileselect
0x00414ec0:0x00414f46, WM_event_add_modal_handler
0x00414f50:0x00414fc2, WM_event_add_keymap_handler
0x00414fd0:0x00415034, WM_event_add_keymap_handler_priority
0x00415040:0x004150d1, WM_event_add_keymap_handler_bb
0x004150e0:0x00415122, WM_event_remove_keymap_handler
0x00415130:0x004151e2, WM_event_add_ui_handler
0x004151f0:0x00415237, WM_event_remove_ui_handler
0x00415240:0x004152b9, WM_event_free_ui_handler_all
0x004152c0:0x00415324, WM_event_add_dropbox_handler
0x00415330:0x0041538e, WM_event_remove_area_handler
0x00415390:0x004153a7, WM_event_add_mousemove
0x004153b0:0x004153e7, WM_modal_tweak_exit
0x004153f0:0x004161e5, wm_event_add_ghostevent
0x004161f0:0x00416203, WM_set_locked_interface
0x00416210:0x0041628c, WM_event_ndof_pan_get
0x00416290:0x004162ff, WM_event_ndof_rotate_get
0x00416300:0x00416400, WM_event_ndof_to_axis_angle
0x00416400:0x00416534, WM_event_ndof_to_quat
0x00416540:0x004165ac, WM_event_tablet_data
0x004165b0:0x004165b9, WM_event_is_tablet
0x004165c0:0x00416772, write_history
0x00416780:0x004169b1, blend_file_thumb
0x004169c0:0x00416d05, wm_window_match_do
0x00416d10:0x00416d82, WM_file_autoexec_init
0x00416d90:0x004171cd, WM_file_read
0x004171d0:0x00417744, wm_homefile_read
0x00417750:0x004178ac, wm_homefile_read_exec
