0x00402d70:0x00402d9a,  _start
0x00402da0:0x00402dd2, deregister_tm_clones
0x00402de0:0x00402e1a, register_tm_clones
0x00402e20:0x00402e3c, __do_global_dtors_aux
0x00402e40:0x00402e66, frame_dummy
0x00402e70:0x00402e88,  vprintf
0x00402e90:0x00402e9c,  getchar
0x00402ea0:0x00402ebb,  fgetc_unlocked
0x00402ec0:0x00402edb,  getc_unlocked
0x00402ee0:0x00402f02,  getchar_unlocked
0x00402f10:0x00402f1c,  putchar
0x00402f20:0x00402f48,  fputc_unlocked
0x00402f50:0x00402f78,  putc_unlocked
0x00402f80:0x00402fad,  putchar_unlocked
0x00402fb0:0x00402fc0,  getline
0x00402fc0:0x00402fc9,  feof_unlocked
0x00402fd0:0x00402fd9,  ferror_unlocked
0x00402fe0:0x00403001,  tolower
0x00403010:0x00403031,  toupper
0x00403040:0x00403057,  gnu_dev_major
0x00403060:0x00403071,  gnu_dev_minor
0x00403080:0x004030ad,  gnu_dev_makedev
0x004030b0:0x004030bc,  atoi
0x004030c0:0x004030cc,  atol
0x004030d0:0x004030dc,  atoll
0x004030e0:0x0040316c,  bsearch
0x00403170:0x00403177,  atof
0x00403180:0x0040319b,  __sigismember
0x004031a0:0x004031b9,  __sigaddset
0x004031c0:0x004031de,  __sigdelset
0x004031e0:0x004031e7,  strtoimax
0x004031f0:0x004031f7,  strtoumax
0x00403200:0x00403207,  wcstoimax
0x00403210:0x00403217,  wcstoumax
0x00403220:0x00403236,  stat
0x00403240:0x00403256,  lstat
0x00403260:0x00403274,  fstat
0x00403280:0x00403297,  fstatat
0x004032a0:0x004032b8,  mknod
0x004032c0:0x004032da,  mknodat
0x004032e0:0x004032f6,  stat64
0x00403300:0x00403316,  lstat64
0x00403320:0x00403334,  fstat64
0x00403340:0x00403357,  fstatat64
0x00403360:0x00403365,  main
0x00403d50:0x00403d93,  alias_set_subset_of
0x00403da0:0x00403e19,  alias_sets_conflict_p
0x00403e20:0x00403e37,  alias_sets_must_conflict_p
0x00403e40:0x00403e55,  insn_alias_sets_conflict_p
0x00403e60:0x00403e90,  walk_mems_1
0x00403e90:0x00403f01,  objects_must_conflict_p
0x00403f10:0x00404218,  get_alias_set
0x00404220:0x00404283,  component_uses_parent_alias_set
0x00404290:0x004042d6,  get_deref_alias_set
0x004042e0:0x00404369,  new_alias_set
0x00404370:0x00404439,  record_component_aliases
0x00404440:0x00404546,  record_alias_subset
0x00404550:0x00404567,  insert_subset_children
0x00404570:0x00404573,  get_varargs_alias_set
0x00404580:0x00404627,  get_frame_alias_set
0x00404630:0x00404654,  get_reg_known_value
0x00404660:0x00404683,  get_reg_known_equiv_p
0x00404690:0x0040478f,  canon_rtx
0x00404790:0x004049bf,  find_base_term
0x004049c0:0x00404a49,  get_addr
0x00404a50:0x00404a61,  read_dependence
0x00404a70:0x004054e5,  nonoverlapping_memrefs_p
0x004054f0:0x00405961,  true_dependence
0x00405970:0x00405b45,  base_alias_check
0x00405b50:0x004061d4,  memrefs_conflict_p
0x004061e0:0x004065ab,  canon_true_dependence
0x004065b0:0x004065b4,  anti_dependence
0x004065c0:0x0040690c,  write_dependence_p
0x00406910:0x0040691a,  output_dependence
0x00406920:0x00406a61,  init_alias_target
0x00406a70:0x00406aa5,  memory_modified_in_insn_p
0x00406ab0:0x00406af6,  memory_modified_1
0x00406b00:0x00407133,  init_alias_analysis
0x00407140:0x00407524,  record_set
0x00407530:0x00407579,  end_alias_analysis
0x00407580:0x004075ea,  gt_ggc_mx_VEC_alias_set_entry_gc
0x004075f0:0x00407612,  gt_ggc_mx_alias_set_entry_d
0x00407620:0x0040768a,  gt_pch_nx_VEC_alias_set_entry_gc
0x00407690:0x004076df,  gt_pch_p_22VEC_alias_set_entry_gc
0x004076e0:0x00407706,  gt_pch_nx_alias_set_entry_d
0x00407710:0x00407722,  gt_pch_p_17alias_set_entry_d
0x00407730:0x0040779b,  gt_ggc_ma_reg_known_value
0x004077a0:0x004077ff,  gt_pch_na_reg_known_value
0x00407800:0x004078ac,  walk_mems_2
0x004078b0:0x00407c0b,  rtx_equal_for_memref_p
0x00407c10:0x00407e07,  ao_ref_from_mem
0x00407e10:0x004080e5,  find_base_value
0x004080f0:0x00408192,  gt_pch_pa_reg_known_value
0x00408310:0x00408332,  __strcspn_c1
0x00408340:0x0040836c,  __strcspn_c2
0x00408370:0x004083a3,  __strcspn_c3
0x004083b0:0x004083ce,  __strspn_c1
0x004083d0:0x004083f2,  __strspn_c2
0x00408400:0x0040842a,  __strspn_c3
0x00408430:0x00408463,  __strpbrk_c2
0x00408470:0x004084ab,  __strpbrk_c3
0x004084b0:0x00408518,  __strtok_r_1c
0x00408520:0x0040855b,  __strsep_1c
0x00408560:0x004085a3,  __strsep_2c
0x004085b0:0x004085fa,  __strsep_3c
0x00408740:0x00408808,  C_alloca
0x00408810:0x00408852,  find_stack_direction
0x00408d50:0x00408de6,  create_alloc_pool
0x00408df0:0x00408e5a,  empty_alloc_pool
0x00408e60:0x00408ebe,  free_alloc_pool
0x00408ec0:0x00408f34,  free_alloc_pool_if_empty
0x00408f40:0x00408fed,  pool_alloc
0x00408ff0:0x0040905c,  pool_free
0x00409060:0x00409061,  dump_alloc_pool_statistics
0x00409670:0x00409759,  dupargv
0x00409760:0x004097a8,  freeargv
0x004097b0:0x00409a8f,  buildargv
0x00409a90:0x00409b64,  writeargv
0x00409b70:0x00409dce,  expandargv
0x0040a2c0:0x0040a347,  register_attribute
0x0040a350:0x0040a3bf,  lookup_attribute_spec
0x0040a3c0:0x0040ae84,  decl_attributes
0x0040ae90:0x0040aec7,  hash_attr
0x0040aed0:0x0040af0e,  eq_attr
0x0040b400:0x0040b403,  gate_auto_inc_dec
0x0040b410:0x0040b413,  rest_of_handle_auto_inc_dec
0x0040b910:0x0040d7ef,  reorder_basic_blocks
0x0040d7f0:0x0040d827,  gate_duplicate_computed_gotos
0x0040d830:0x0040dbdc,  duplicate_computed_gotos
0x0040dbe0:0x0040dbfa,  gate_handle_reorder_blocks
0x0040dc00:0x0040dcfc,  rest_of_handle_reorder_blocks
0x0040dd00:0x0040dd2b,  gate_handle_partition_blocks
0x0040dd30:0x0040e366,  rest_of_handle_partition_blocks
0x0040e370:0x0040e481,  bb_to_key
0x0040e490:0x0040e587,  copy_bb_p
0x0040e590:0x0040e763,  copy_bb
0x0040e770:0x0040e857,  _bid_to_dpd32
0x0040e860:0x0040e919,  _dpd_to_bid32
0x0040e920:0x0040eabe,  _bid_to_dpd64
0x0040eac0:0x0040ebcf,  _dpd_to_bid64
0x0040ebd0:0x0040efca,  _bid_to_dpd128
0x0040efd0:0x0040f1b6,  _dpd_to_bid128
0x0040f6b0:0x0040f708,  bitmap_clear
0x0040f710:0x0040f753,  bitmap_obstack_initialize
0x0040f760:0x0040f7d8,  bitmap_obstack_release
0x0040f7e0:0x0040f893,  bitmap_obstack_alloc_stat
0x0040f8a0:0x0040f8bd,  bitmap_gc_alloc_stat
0x0040f8c0:0x0040f928,  bitmap_obstack_free
0x0040f930:0x0040fb1a,  bitmap_copy
0x0040fb20:0x0040fca0,  bitmap_clear_bit
0x0040fca0:0x0040ffba,  bitmap_set_bit
0x0040ffc0:0x004100b9,  bitmap_bit_p
0x004100c0:0x004101f5,  bitmap_count_bits
0x00410200:0x00410347,  bitmap_single_bit_set_p
0x00410350:0x0041043d,  bitmap_first_set_bit
0x00410440:0x00410551,  bitmap_last_set_bit
0x00410560:0x004108ce,  bitmap_and
0x004108d0:0x00410b46,  bitmap_and_into
0x00410b50:0x004112d2,  bitmap_and_compl
0x004112e0:0x004114ea,  bitmap_and_compl_into
0x004114f0:0x00411b58,  bitmap_set_range
0x00411b60:0x00411e14,  bitmap_clear_range
0x00411e20:0x004122f6,  bitmap_compl_and_into
0x00412300:0x004124ad,  bitmap_ior
0x004124b0:0x00412bb5,  bitmap_elt_ior
0x00412bc0:0x00412ec1,  bitmap_ior_into
0x00412ed0:0x0041352c,  bitmap_xor
0x00413530:0x00413904,  bitmap_xor_into
0x00413910:0x00413965,  bitmap_equal_p
0x00413970:0x004139c8,  bitmap_intersect_p
0x004139d0:0x00413a2e,  bitmap_intersect_compl_p
0x00413a30:0x00413dfc,  bitmap_ior_and_compl
0x00413e00:0x00413e97,  bitmap_ior_and_compl_into
0x00413ea0:0x0041420c,  bitmap_ior_and_into
0x00414210:0x00414364,  debug_bitmap_file
0x00414370:0x00414382,  debug_bitmap
0x00414390:0x004144d1,  bitmap_print
0x004144e0:0x004144e1,  dump_bitmap_statistics
0x004144f0:0x0041451a,  bitmap_hash
0x00414a10:0x00414a17,  gate_handle_branch_target_load_optimize1
0x00414a20:0x00414a31,  rest_of_handle_branch_target_load_optimize1
0x00414a40:0x00414a57,  gate_handle_branch_target_load_optimize2
0x00414a60:0x00414aa4,  rest_of_handle_branch_target_load_optimize2
0x00414ab0:0x00416b58,  branch_target_load_optimize
0x00416b60:0x00416c2f,  insn_sets_btr_p
0x00416c30:0x00416d07,  note_btr_set
0x00416d10:0x00416d89,  find_btr_reference
0x00416d90:0x00416f8f,  btr_def_live_range
0x00416f90:0x00417428,  augment_live_range
0x00417430:0x00417664,  clear_btr_from_live_range
0x00417b60:0x00417b61,  finish_file
0x00418060:0x00418139,  pedwarn_c99
0x00418140:0x00418219,  pedwarn_c90
0x00418710:0x00418831,  init_c_lex
0x00418840:0x004188c5,  get_fileinfo
0x004188d0:0x004188e3,  cb_line_change
0x004188f0:0x00418950,  cb_ident
0x00418950:0x004189ef,  cb_def_pragma
0x004189f0:0x00418a40,  cb_define
0x00418a40:0x00418a77,  cb_undef
0x00418a80:0x00418bc9,  dump_time_statistics
0x00418bd0:0x00418be7,  dump_one_header
0x00418bf0:0x00418d2f,  fe_file_change
0x00418d30:0x0041960f,  c_lex_with_flags
0x00419610:0x00419ccf,  interpret_float
0x00419cd0:0x0041a0d5,  lex_string
0x0041a0e0:0x0041a29f,  interpret_fixed
0x0041a790:0x0041a828,  maybe_apply_pragma_weak
0x0041a830:0x0041a8c5,  apply_pragma_weak
0x0041a8d0:0x0041a941,  maybe_apply_pending_pragma_weaks
0x0041a950:0x0041a9ab,  add_to_renaming_pragma_list
0x0041a9b0:0x0041abea,  maybe_apply_renaming_pragma
0x0041abf0:0x0041acc6,  push_visibility
0x0041acd0:0x0041ad20,  pop_visibility
0x0041ad20:0x0041ad28,  mark_valid_location_for_stdc_pragma
0x0041ad30:0x0041ad37,  valid_location_for_stdc_pragma_p
0x0041ad40:0x0041adc1,  c_pp_lookup_pragma
0x0041add0:0x0041ae84,  c_register_pragma
0x0041ae90:0x0041af90,  c_register_pragma_with_expansion
0x0041af90:0x0041afa7,  c_invoke_pragma_handler
0x0041afb0:0x0041b90e,  init_pragma
0x0041b910:0x0041bc39,  handle_pragma_pack
0x0041bc40:0x0041bd2a,  handle_pragma_weak
0x0041bd30:0x0041be56,  handle_pragma_visibility
0x0041be60:0x0041bfd5,  handle_pragma_diagnostic
0x0041bfe0:0x0041c0d2,  handle_pragma_target
0x0041c0e0:0x0041c21f,  handle_pragma_optimize
0x0041c220:0x0041c2aa,  handle_pragma_push_options
0x0041c2b0:0x0041c381,  handle_pragma_pop_options
0x0041c390:0x0041c42d,  handle_pragma_reset_options
0x0041c430:0x0041c5cb,  handle_pragma_float_const_decimal64
0x0041c5d0:0x0041c72e,  handle_pragma_redefine_extname
0x0041c730:0x0041c7d0,  handle_pragma_extern_prefix
0x0041c7d0:0x0041c8ad,  handle_pragma_message
0x0041c8b0:0x0041c90e,  gt_ggc_mx_opt_stack
0x0041c910:0x0041c94b,  gt_ggc_mx_align_stack
0x0041c950:0x0041c9b2,  gt_pch_nx_opt_stack
0x0041c9c0:0x0041ca14,  gt_pch_p_9opt_stack
0x0041ca20:0x0041ca62,  gt_pch_nx_align_stack
0x0041ca70:0x0041caa7,  gt_pch_p_11align_stack
0x0041cfa0:0x0041d021,  add_stmt
0x0041d030:0x0041d036,  current_stmt_tree
0x0041d040:0x0041d0f3,  c_print_identifier
0x0041d100:0x0041d171,  c_finish_incomplete_decl
0x0041d180:0x0041d1c7,  record_inline_static
0x0041d1d0:0x0041d1d8,  objc_get_current_scope
0x0041d1e0:0x0041d23f,  objc_mark_locals_volatile
0x0041d240:0x0041d263,  global_bindings_p
0x0041d270:0x0041d278,  keep_next_level
0x0041d280:0x0041d296,  set_float_const_decimal64
0x0041d2a0:0x0041d2b6,  clear_float_const_decimal64
0x0041d2c0:0x0041d2d2,  float_const_decimal64_p
0x0041d2e0:0x0041d2f0,  declare_parm_level
0x0041d2f0:0x0041d4a1,  push_scope
0x0041d4b0:0x0041daab,  pop_scope
0x0041dab0:0x0041dcd4,  update_label_decls
0x0041dce0:0x0041de83,  push_file_scope
0x0041de90:0x0041df75,  pop_file_scope
0x0041df80:0x0041e082,  c_bindings_start_stmt_expr
0x0041e090:0x0041e1ea,  c_bindings_end_stmt_expr
0x0041e1f0:0x0041eb6b,  pushdecl
0x0041eb70:0x004202a6,  duplicate_decls
0x004202b0:0x004203a5,  warn_if_shadowing
0x004203b0:0x00420671,  pushdecl_top_level
0x00420680:0x00420bed,  implicitly_declare
0x00420bf0:0x00420da0,  undeclared_variable
0x00420da0:0x00420fbf,  lookup_label
0x00420fc0:0x00421159,  lookup_label_for_goto
0x00421160:0x004213e3,  declare_label
0x004213f0:0x004219dd,  define_label
0x004219e0:0x004219fa,  lookup_name
0x00421a00:0x00421a31,  c_get_switch_bindings
0x00421a40:0x00421a6d,  c_release_switch_bindings
0x00421a70:0x00421bf7,  c_check_switch_jump_warnings
0x00421c00:0x00421c2f,  pending_xref_error
0x00421c30:0x00421d03,  c_init_decl_processing
0x00421d10:0x00421f2c,  c_make_fname_decl
0x00421f30:0x004220f0,  c_builtin_function
0x004220f0:0x004222a0,  c_builtin_function_ext_scope
0x004222a0:0x004222a4,  shadow_tag
0x004222b0:0x00422652,  shadow_tag_warned
0x00422660:0x00422881,  pushtag
0x00422890:0x004228e4,  quals_from_declspecs
0x004228f0:0x00422b02,  build_array_declarator
0x00422b10:0x00422b18,  set_array_declarator_inner
0x00422b20:0x00422b89,  groktypename
0x00422b90:0x004254e8,  grokdeclarator
0x004254f0:0x00425936,  start_decl
0x00425940:0x004262d4,  finish_decl
0x004262e0:0x00426339,  grokparm
0x00426340:0x004263b8,  push_parm_decl
0x004263c0:0x00426434,  mark_forward_parm_decls
0x00426440:0x00426610,  build_compound_literal
0x00426610:0x00426639,  check_compound_literal_type
0x00426640:0x00426ab0,  get_parm_info
0x00426ab0:0x00426d14,  parser_xref_tag
0x00426d20:0x00426d48,  xref_tag
0x00426d50:0x00426f5a,  start_struct
0x00426f60:0x004270b7,  grokfield
0x004270c0:0x00427b82,  finish_struct
0x00427b90:0x00427c1a,  flexible_array_type_p
0x00427c20:0x00427c3e,  layout_array_type
0x00427c40:0x00427e0a,  start_enum
0x00427e10:0x004281ed,  finish_enum
0x004281f0:0x004283f6,  build_enumerator
0x00428400:0x00428a23,  start_function
0x00428a30:0x00428a39,  store_parm_decls_from
0x00428a40:0x00429692,  store_parm_decls
0x004296a0:0x004298ce,  finish_function
0x004298d0:0x004299c3,  check_for_loop_decls
0x004299d0:0x00429a48,  c_push_function_context
0x00429a50:0x00429af8,  c_pop_function_context
0x00429b00:0x00429b27,  identifier_global_value
0x00429b30:0x00429b8b,  record_builtin_type
0x00429b90:0x00429b9e,  build_void_list_node
0x00429ba0:0x00429c71,  build_c_parm
0x00429c80:0x00429d48,  build_attrs_declarator
0x00429d50:0x00429e18,  build_function_declarator
0x00429e20:0x00429ef3,  build_id_declarator
0x00429f00:0x0042a111,  make_pointer_declarator
0x0042a120:0x0042a1f7,  build_null_declspecs
0x0042a200:0x0042a252,  declspecs_add_addrspace
0x0042a260:0x0042a35f,  declspecs_add_qual
0x0042a360:0x0042adc8,  declspecs_add_type
0x0042add0:0x0042afcb,  declspecs_add_scspec
0x0042afd0:0x0042aff0,  declspecs_add_attrs
0x0042aff0:0x0042b588,  finish_declspecs
0x0042b590:0x0042b73f,  c_write_global_declarations
0x0042b740:0x0042b81c,  c_write_global_declarations_1
0x0042b820:0x0042b8a0,  gt_ggc_mx_c_inline_static
0x0042b8a0:0x0042c8a7,  gt_ggc_mx_lang_tree_node
0x0042c8b0:0x0042c930,  gt_ggc_mx_VEC_c_goto_bindings_p_gc
0x0042c930:0x0042c965,  gt_ggc_mx_c_goto_bindings
0x0042c970:0x0042c9f5,  gt_ggc_mx_c_scope
0x0042ca00:0x0042cac6,  gt_ggc_mx_c_binding
0x0042cad0:0x0042cba0,  gt_ggc_mx_c_label_vars
0x0042cba0:0x0042cbe2,  gt_ggc_mx_language_function
0x0042cbf0:0x0042cbfc,  gt_ggc_mx_lang_decl
0x0042cc00:0x0042cc50,  gt_ggc_mx_lang_type
0x0042cc50:0x0042ccf0,  gt_pch_nx_c_inline_static
0x0042ccf0:0x0042cd31,  gt_pch_p_15c_inline_static
0x0042cd40:0x0042dd55,  gt_pch_nx_lang_tree_node
0x0042dd60:0x0042dddd,  gt_pch_nx_VEC_c_goto_bindings_p_gc
0x0042dde0:0x0042de2f,  gt_pch_p_24VEC_c_goto_bindings_p_gc
0x0042de30:0x0042de69,  gt_pch_nx_c_goto_bindings
0x0042de70:0x0042dea7,  gt_pch_p_15c_goto_bindings
0x0042deb0:0x0042df65,  gt_pch_nx_c_scope
0x0042df70:0x0042e056,  gt_pch_nx_c_binding
0x0042e060:0x0042e0b4,  gt_pch_p_7c_scope
0x0042e0c0:0x0042e11d,  gt_pch_p_9c_binding
0x0042e120:0x0042e1fd,  gt_pch_nx_c_label_vars
0x0042e200:0x0042e254,  gt_pch_p_12c_label_vars
0x0042e260:0x0042e2a6,  gt_pch_nx_language_function
0x0042e2b0:0x0042e2f0,  gt_pch_p_17language_function
0x0042e2f0:0x0042ed78,  gt_pch_p_14lang_tree_node
0x0042ed80:0x0042ed92,  gt_pch_nx_lang_decl
0x0042eda0:0x0042ee04,  gt_pch_nx_lang_type
0x0042ee10:0x0042ee11,  gt_pch_p_9lang_decl
0x0042ee20:0x0042ee6a,  gt_pch_p_9lang_type
0x0042ee70:0x0042ef33,  warn_variable_length_array
0x0042f430:0x0042f462,  require_complete_type
0x0042f470:0x0042f571,  c_incomplete_type_error
0x0042f580:0x0042f5dc,  c_type_promotes_to
0x0042f5e0:0x0042f5f3,  c_vla_type_p
0x0042f600:0x0042fd37,  composite_type
0x0042fd40:0x0042fdff,  qualify_type
0x0042fe00:0x0042ffc5,  c_build_qualified_type
0x0042ffd0:0x0043001f,  comptypes
