0x004030f0:0x0040313e, __cxx_global_var_init
0x00403140:0x0040314b, _GLOBAL__sub_I_AVT.cpp
0x00403150:0x00403165, __cxx_global_var_init_0
0x00403170:0x0040317b, _GLOBAL__sub_I_CDATASectionImpl.cpp
0x00403180:0x00403195, __cxx_global_var_init_1
0x004031a0:0x004031ab, _GLOBAL__sub_I_CommentImpl.cpp
0x004031b0:0x004031c5, __cxx_global_var_init_2
0x004031d0:0x004031db, _GLOBAL__sub_I_ComplexTypeInfo.cpp
0x004031e0:0x0040322e, __cxx_global_var_init_3
0x00403230:0x0040327e, __cxx_global_var_init.1
0x00403280:0x004032ce, __cxx_global_var_init.2
0x004032d0:0x0040331e, __cxx_global_var_init.3
0x00403320:0x0040336e, __cxx_global_var_init.4
0x00403370:0x004033be, __cxx_global_var_init.5
0x004033c0:0x0040340e, __cxx_global_var_init.6
0x00403410:0x0040345e, __cxx_global_var_init.7
0x00403460:0x004034ae, __cxx_global_var_init.8
0x004034b0:0x004034fe, __cxx_global_var_init.9
0x00403500:0x0040354e, __cxx_global_var_init.10
0x00403550:0x0040359e, __cxx_global_var_init.11
0x004035a0:0x004035ee, __cxx_global_var_init.12
0x004035f0:0x0040363e, __cxx_global_var_init.13
0x00403640:0x0040368e, __cxx_global_var_init.14
0x00403690:0x004036de, __cxx_global_var_init.15
0x004036e0:0x0040372e, __cxx_global_var_init.16
0x00403730:0x0040377e, __cxx_global_var_init.17
0x00403780:0x004037ce, __cxx_global_var_init.18
0x004037d0:0x0040381e, __cxx_global_var_init.19
0x00403820:0x0040386e, __cxx_global_var_init.20
0x00403870:0x004038be, __cxx_global_var_init.21
0x004038c0:0x0040390e, __cxx_global_var_init.22
0x00403910:0x0040395e, __cxx_global_var_init.23
0x00403960:0x004039ae, __cxx_global_var_init.24
0x004039b0:0x004039fe, __cxx_global_var_init.25
0x00403a00:0x00403a4e, __cxx_global_var_init.26
0x00403a50:0x00403a9e, __cxx_global_var_init.27
0x00403aa0:0x00403aee, __cxx_global_var_init.28
0x00403af0:0x00403b3e, __cxx_global_var_init.29
0x00403b40:0x00403b8e, __cxx_global_var_init.30
0x00403b90:0x00403bde, __cxx_global_var_init.31
0x00403be0:0x00403c2e, __cxx_global_var_init.32
0x00403c30:0x00403c7e, __cxx_global_var_init.33
0x00403c80:0x00403cce, __cxx_global_var_init.34
0x00403cd0:0x00403d1e, __cxx_global_var_init.35
0x00403d20:0x00403d6e, __cxx_global_var_init.36
0x00403d70:0x00403dbe, __cxx_global_var_init.37
0x00403dc0:0x00403e0e, __cxx_global_var_init.38
0x00403e10:0x00403e5e, __cxx_global_var_init.39
0x00403e60:0x00403eae, __cxx_global_var_init.40
0x00403eb0:0x00403efe, __cxx_global_var_init.41
0x00403f00:0x00403f4e, __cxx_global_var_init.42
0x00403f50:0x00403f9e, __cxx_global_var_init.43
0x00403fa0:0x00403fee, __cxx_global_var_init.44
0x00403ff0:0x0040403e, __cxx_global_var_init.45
0x00404040:0x0040408e, __cxx_global_var_init.46
0x00404090:0x004040de, __cxx_global_var_init.47
0x004040e0:0x0040412e, __cxx_global_var_init.48
0x00404130:0x0040417e, __cxx_global_var_init.49
0x00404180:0x004041ce, __cxx_global_var_init.50
0x004041d0:0x0040421e, __cxx_global_var_init.51
0x00404220:0x0040426e, __cxx_global_var_init.52
0x00404270:0x004042be, __cxx_global_var_init.53
0x004042c0:0x0040430e, __cxx_global_var_init.54
0x00404310:0x0040435e, __cxx_global_var_init.55
0x00404360:0x004043ae, __cxx_global_var_init.56
0x004043b0:0x004043fe, __cxx_global_var_init.57
0x00404400:0x0040444e, __cxx_global_var_init.58
0x00404450:0x0040449e, __cxx_global_var_init.59
0x004044a0:0x004044ee, __cxx_global_var_init.60
0x004044f0:0x0040453e, __cxx_global_var_init.61
0x00404540:0x0040458e, __cxx_global_var_init.62
0x00404590:0x004045de, __cxx_global_var_init.63
0x004045e0:0x0040462e, __cxx_global_var_init.64
0x00404630:0x0040467e, __cxx_global_var_init.65
0x00404680:0x004046ce, __cxx_global_var_init.66
0x004046d0:0x0040471e, __cxx_global_var_init.67
0x00404720:0x0040476e, __cxx_global_var_init.68
0x00404770:0x004047be, __cxx_global_var_init.69
0x004047c0:0x0040480e, __cxx_global_var_init.70
0x00404810:0x0040485e, __cxx_global_var_init.71
0x00404860:0x004048ae, __cxx_global_var_init.72
0x004048b0:0x004048fe, __cxx_global_var_init.73
0x00404900:0x0040494e, __cxx_global_var_init.74
0x00404950:0x0040499e, __cxx_global_var_init.75
0x004049a0:0x004049ee, __cxx_global_var_init.76
0x004049f0:0x00404a3e, __cxx_global_var_init.77
0x00404a40:0x00404a8e, __cxx_global_var_init.78
0x00404a90:0x00404ade, __cxx_global_var_init.79
0x00404ae0:0x00404b2e, __cxx_global_var_init.80
0x00404b30:0x00404b7e, __cxx_global_var_init.81
0x00404b80:0x00404bce, __cxx_global_var_init.82
0x00404bd0:0x00404c1e, __cxx_global_var_init.83
0x00404c20:0x00404c6e, __cxx_global_var_init.84
0x00404c70:0x00404cbe, __cxx_global_var_init.85
0x00404cc0:0x00404d0e, __cxx_global_var_init.86
0x00404d10:0x00404d5e, __cxx_global_var_init.87
0x00404d60:0x00404dae, __cxx_global_var_init.88
0x00404db0:0x00404dfe, __cxx_global_var_init.89
0x00404e00:0x00404e4e, __cxx_global_var_init.90
0x00404e50:0x00404e9e, __cxx_global_var_init.91
0x00404ea0:0x00404eee, __cxx_global_var_init.92
0x00404ef0:0x00404f3e, __cxx_global_var_init.93
0x00404f40:0x00404f8e, __cxx_global_var_init.94
0x00404f90:0x00404fde, __cxx_global_var_init.95
0x00404fe0:0x0040502e, __cxx_global_var_init.96
0x00405030:0x0040507e, __cxx_global_var_init.97
0x00405080:0x004050ce, __cxx_global_var_init.98
0x004050d0:0x0040511e, __cxx_global_var_init.99
0x00405120:0x0040516e, __cxx_global_var_init.100
0x00405170:0x004051be, __cxx_global_var_init.101
0x004051c0:0x0040520e, __cxx_global_var_init.102
0x00405210:0x0040525e, __cxx_global_var_init.103
0x00405260:0x004052ae, __cxx_global_var_init.104
0x004052b0:0x004052fe, __cxx_global_var_init.105
0x00405300:0x0040534e, __cxx_global_var_init.106
0x00405350:0x0040539e, __cxx_global_var_init.107
0x004053a0:0x004053ee, __cxx_global_var_init.108
0x004053f0:0x0040543e, __cxx_global_var_init.109
0x00405440:0x0040548e, __cxx_global_var_init.110
0x00405490:0x004054de, __cxx_global_var_init.111
0x004054e0:0x0040552e, __cxx_global_var_init.112
0x00405530:0x0040557e, __cxx_global_var_init.113
0x00405580:0x004055ce, __cxx_global_var_init.114
0x004055d0:0x0040561e, __cxx_global_var_init.115
0x00405620:0x0040566e, __cxx_global_var_init.116
0x00405670:0x004056be, __cxx_global_var_init.117
0x004056c0:0x0040570e, __cxx_global_var_init.118
0x00405710:0x00405969, _GLOBAL__sub_I_Constants.cpp
0x00405970:0x00405985, __cxx_global_var_init_4
0x00405990:0x0040599b, _GLOBAL__sub_I_DOMDocumentTypeImpl.cpp
0x004059a0:0x004059b5, __cxx_global_var_init_5
0x004059c0:0x004059d5, __cxx_global_var_init.1_0
0x004059e0:0x004059f5, __cxx_global_var_init.2_0
0x00405a00:0x00405a15, _GLOBAL__sub_I_DOMImplementationImpl.cpp
0x00405a20:0x00405a35, __cxx_global_var_init_6
0x00405a40:0x00405a55, __cxx_global_var_init.1_1
0x00405a60:0x00405a70, _GLOBAL__sub_I_DOMImplementationRegistry.cpp
0x00405a70:0x00405a85, __cxx_global_var_init_7
0x00405a90:0x00405a9b, _GLOBAL__sub_I_DOMNodeImpl.cpp
0x00405aa0:0x00405ab5, __cxx_global_var_init_8
0x00405ac0:0x00405ad5, __cxx_global_var_init.1_2
0x00405ae0:0x00405af0, _GLOBAL__sub_I_DOMNormalizer.cpp
0x00405af0:0x00405b3e, __cxx_global_var_init_9
0x00405b40:0x00405b8e, __cxx_global_var_init.1_3
0x00405b90:0x00405bde, __cxx_global_var_init.2_1
0x00405be0:0x00405c2e, __cxx_global_var_init.3_0
0x00405c30:0x00405c7e, __cxx_global_var_init.4_0
0x00405c80:0x00405cce, __cxx_global_var_init.5_0
0x00405cd0:0x00405d1e, __cxx_global_var_init.6_0
0x00405d20:0x00405d6e, __cxx_global_var_init.7_0
0x00405d70:0x00405dbe, __cxx_global_var_init.8_0
0x00405dc0:0x00405df3, _GLOBAL__sub_I_DOMServices.cpp
0x00405e00:0x00405e15, __cxx_global_var_init_10
0x00405e20:0x00405e35, __cxx_global_var_init.1_4
0x00405e40:0x00405e50, _GLOBAL__sub_I_DOMString.cpp
0x00405e50:0x00405e93, __cxx_global_var_init_11
0x00405ea0:0x00405eab, _GLOBAL__sub_I_DOMStringHelper.cpp
0x00405eb0:0x00405f0b, __cxx_global_var_init_12
0x00405f10:0x00405f6b, __cxx_global_var_init.1_5
0x00405f70:0x00405fd2, __cxx_global_var_init.2_2
0x00405fe0:0x00406042, __cxx_global_var_init.3_1
0x00406050:0x004060b2, __cxx_global_var_init.4_1
0x004060c0:0x00406122, __cxx_global_var_init.5_1
0x00406130:0x00406192, __cxx_global_var_init.6_1
0x004061a0:0x00406202, __cxx_global_var_init.7_1
0x00406210:0x00406272, __cxx_global_var_init.8_1
0x00406280:0x004062e2, __cxx_global_var_init.9_0
0x004062f0:0x00406352, __cxx_global_var_init.10_0
0x00406360:0x004063c2, __cxx_global_var_init.11_0
0x004063d0:0x00406412, _GLOBAL__sub_I_DOMTypeInfoImpl.cpp
0x00406420:0x0040643c, __cxx_global_var_init_13
0x00406440:0x0040644b, _GLOBAL__sub_I_DOMWriterImpl.cpp
0x00406450:0x00406465, __cxx_global_var_init_14
0x00406470:0x0040647b, _GLOBAL__sub_I_DOM_DOMImplementation.cpp
0x00406480:0x00406495, __cxx_global_var_init_15
0x004064a0:0x004064ab, _GLOBAL__sub_I_DTDGrammar.cpp
0x004064b0:0x004064c5, __cxx_global_var_init_16
