0x004030a0:0x004030ca, _start
0x004030d0:0x00403102, deregister_tm_clones
0x00403110:0x0040314a, register_tm_clones
0x00403150:0x0040316c, __do_global_dtors_aux
0x00403170:0x00403196, frame_dummy
0x00403196:0x004031a4, _Z7stricmpPKcS0_
0x004031a4:0x004031be, _Z8strnicmpPKcS0_j
0x004031be:0x004031c4, _ZN11xercesc_2_716XMLPlatformUtils15makeNetAccessorEv
0x004031c4:0x0040320c, _ZN11xercesc_2_716XMLPlatformUtils16makeTransServiceEv
0x0040320c:0x00403238, _ZN11xercesc_2_716XMLPlatformUtils5panicENS_12PanicHandler12PanicReasonsE
0x00403238:0x004032ce, _ZN11xercesc_2_716XMLPlatformUtils11loadAMsgSetEPKt
0x004032ce:0x00403334, _ZN11xercesc_2_716XMLPlatformUtils10curFilePosEPvPNS_13MemoryManagerE
0x00403334:0x00403399, _ZN11xercesc_2_716XMLPlatformUtils9closeFileEPvPNS_13MemoryManagerE
0x0040339a:0x00403535, _ZN11xercesc_2_716XMLPlatformUtils8fileSizeEPvPNS_13MemoryManagerE
0x00403536:0x00403549, _ZN11xercesc_2_716XMLPlatformUtils8openFileEPKcPNS_13MemoryManagerE
0x0040354a:0x0040355d, _ZN11xercesc_2_716XMLPlatformUtils15openFileToWriteEPKcPNS_13MemoryManagerE
0x0040355e:0x0040357d, _ZN11xercesc_2_716XMLPlatformUtils15openStdInHandleEPNS_13MemoryManagerE
0x0040357e:0x004035fd, _ZN11xercesc_2_716XMLPlatformUtils14readFileBufferEPvjPhPNS_13MemoryManagerE
0x004035fe:0x004036e0, _ZN11xercesc_2_716XMLPlatformUtils17writeBufferToFileEPvlPKhPNS_13MemoryManagerE
0x004036e0:0x0040374f, _ZN11xercesc_2_716XMLPlatformUtils9resetFileEPvPNS_13MemoryManagerE
0x00403750:0x00403766, _ZN11xercesc_2_716XMLPlatformUtils10isRelativeEPKtPNS_13MemoryManagerE
0x00403766:0x00403812, _ZN11xercesc_2_716XMLPlatformUtils19getCurrentDirectoryEPNS_13MemoryManagerE
0x00403812:0x00403858, _ZN11xercesc_2_716XMLPlatformUtils16getCurrentMillisEv
0x00403858:0x0040385a, _ZN11xercesc_2_716XMLPlatformUtils12platformInitEv
0x0040385a:0x00403860, _ZN11xercesc_2_716XMLPlatformUtils9makeMutexEPNS_13MemoryManagerE
0x00403860:0x00403862, _ZN11xercesc_2_716XMLPlatformUtils10closeMutexEPv
0x00403862:0x00403864, _ZN11xercesc_2_716XMLPlatformUtils9lockMutexEPv
0x00403864:0x00403866, _ZN11xercesc_2_716XMLPlatformUtils11unlockMutexEPv
0x00403866:0x00403873, _ZN11xercesc_2_716XMLPlatformUtils14compareAndSwapEPPvPKvS4_
0x00403874:0x0040387c, _ZN11xercesc_2_716XMLPlatformUtils15atomicIncrementERi
0x0040387c:0x00403884, _ZN11xercesc_2_716XMLPlatformUtils15atomicDecrementERi
0x00403884:0x00403886, _ZN11xercesc_2_716XMLPlatformUtils12platformTermEv
0x00403886:0x00403915, _ZN11xercesc_2_716XMLPlatformUtils22searchSlashDotDotSlashEPt
0x00403916:0x00403987, _ZN11xercesc_2_716XMLPlatformUtils8openFileEPKtPNS_13MemoryManagerE
0x00403988:0x004039f9, _ZN11xercesc_2_716XMLPlatformUtils15openFileToWriteEPKtPNS_13MemoryManagerE
0x004039fa:0x00403ad6, _ZN11xercesc_2_716XMLPlatformUtils11getFullPathEPKtPNS_13MemoryManagerE
0x00403ad6:0x00403c2a, _ZN11xercesc_2_716XMLPlatformUtils14removeDotSlashEPtPNS_13MemoryManagerE
0x00403c2a:0x00403e35, _ZN11xercesc_2_716XMLPlatformUtils17removeDotDotSlashEPtPNS_13MemoryManagerE
0x00403e36:0x0040400c, _ZN11xercesc_2_716XMLPlatformUtils10weavePathsEPKtS2_PNS_13MemoryManagerE
0x0040400c:0x00404012, _ZNK11xercesc_2_725XMLPlatformUtilsException7getTypeEv
0x00404012:0x00404014, _ZN11xercesc_2_710XMLDeleterD2Ev
0x00404014:0x00404029, _ZN11xercesc_2_725XMLPlatformUtilsExceptionD2Ev
0x0040402a:0x00404044, _ZN11xercesc_2_725XMLPlatformUtilsExceptionD0Ev
0x00404044:0x0040408f, _ZNK11xercesc_2_725XMLPlatformUtilsException9duplicateEv
0x00404090:0x0040409e, _ZN11xercesc_2_710XMLDeleterD0Ev
0x0040409e:0x004040de, _ZN11xercesc_2_725XMLPlatformUtilsExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE
0x004040de:0x00404109, _ZN11xercesc_2_712ArrayJanitorIcED2Ev
0x0040410a:0x00404135, _ZN11xercesc_2_712ArrayJanitorItED2Ev
0x00404136:0x0040414b, _ZN11xercesc_2_717ASCIIRangeFactoryD2Ev
0x0040414c:0x0040415f, _ZN11xercesc_2_717ASCIIRangeFactoryD0Ev
0x00404160:0x004044cf, _ZN11xercesc_2_717ASCIIRangeFactory11buildRangesEPNS_13RangeTokenMapE
0x004044d0:0x00404548, _ZN11xercesc_2_717ASCIIRangeFactory20initializeKeywordMapEPNS_13RangeTokenMapE
0x00404548:0x0040455a, _ZN11xercesc_2_717ASCIIRangeFactoryC2Ev
0x0040455a:0x0040455c, _ZN11xalanc_1_103AVTD2Ev
0x0040455c:0x0040456a, _ZN11xalanc_1_103AVTD0Ev
0x0040456a:0x004045c7, _ZNK11xalanc_1_103AVT10doEvaluateERNS_14XalanDOMStringEPNS_9XalanNodeERKNS_14PrefixResolverERNS_21XPathExecutionContextE
0x004045c8:0x00404613, _ZNK11xalanc_1_103AVT10doEvaluateERNS_14XalanDOMStringERKNS_14PrefixResolverERNS_21XPathExecutionContextE
0x00404614:0x004046ae, _ZN11xalanc_1_103AVT9nextTokenERNS_29StylesheetConstructionContextEPKN11xercesc_2_77LocatorERNS_15StringTokenizerERNS_14XalanDOMStringE
0x004046ae:0x004052c3, _ZN11xalanc_1_103AVTC2ERNS_29StylesheetConstructionContextEPKN11xercesc_2_77LocatorEPKtS8_RKNS_14PrefixResolverE
0x004052c3:0x004052f2, _GLOBAL__sub_I__ZN11xalanc_1_103AVT13s_emptyStringE
0x004052f2:0x00405328, _ZN11xalanc_1_1014XalanDOMStringD2Ev
0x00405328:0x00405813, _ZN11xalanc_1_1011XalanVectorItNS_31MemoryManagedConstructionTraitsItEEE10doPushBackERKt
0x00405814:0x00408524, _ZN11xalanc_1_1011XalanVectorItNS_31MemoryManagedConstructionTraitsItEEE6insertEPtPKtS6_
0x00408524:0x0040852c, _ZN11xalanc_1_107AVTPartC2Ev
