0x00400cc0:0x00400cea, _start
0x00400cf0:0x00400d22, deregister_tm_clones
0x00400d30:0x00400d6a, register_tm_clones
0x00400d70:0x00400d8c, __do_global_dtors_aux
0x00400d90:0x00400db6, frame_dummy
0x00400dc0:0x0040120a, _Z11is_attackedP7state_tii
0x00401210:0x00401295, _Z8in_checkP7state_t
0x004012a0:0x004014a1, _Z10attacks_toP7state_ti
0x004014b0:0x0040157b, _Z13PrintBitboardy
0x00401580:0x004015b6, _Z17PrintRotBitboardsP7state_t
0x004015c0:0x00401773, _Z17PrintAllBitboardsP7state_t
0x00401780:0x00402cd9, _Z22SetupPrecalculatedDatav
0x00402ce0:0x00402de2, _Z16SetupCastleMasksP7state_t
0x00402df0:0x00402e51, _Z11RankAttacksyj
0x00402e60:0x00402ee3, _Z11FileAttacksyj
0x00402ef0:0x00402f62, _Z15DiagonalAttacksyj
0x00402f70:0x00402fe2, _Z15AntiDiagAttacksyj
0x00402ff0:0x00403039, _Z13BishopAttacksP7state_ti
0x00403040:0x00403089, _Z11RookAttacksP7state_ti
0x00403090:0x004030c9, _ZSt3minIiERKT_S2_S2_
0x004030d0:0x0040310d, _Z8PopCounty
0x00403110:0x00403147, _Z9FindFirsty
0x00403150:0x0040319b, _Z15FindFirstRemovePy
0x004031a0:0x00403209, _Z8FindLasty
0x00403210:0x004032a0, _Z13ThickPopCounty
0x004032a0:0x004032b6, _Z4ranki
0x004032c0:0x004032d4, _Z4filei
0x004032e0:0x0040333e, _Z8sum_distii
0x00403340:0x004033b8, _Z12taxicab_distii
0x004033c0:0x004033df, _Z16taxicab_dist_bitii
0x004033e0:0x00403596, _Z11check_phaseP11gamestate_tP7state_t
0x004035a0:0x0040376f, _Z7is_drawP11gamestate_tP7state_t
0x00403770:0x00403874, _Z21insufficient_materialP7state_t
0x00403880:0x00404ca8, _Z14drawn_endgamesP7state_tiii
0x00404cb0:0x004055ff, _Z14setup_epd_lineP11gamestate_tP7state_tPKc
0x00405600:0x0040575f, _Z14check_solutionP7state_tPci
0x00405760:0x00405a0e, _Z17run_epd_testsuiteP11gamestate_tP7state_tPKc
0x00405a10:0x00405dde, _Z15position_to_fenP7state_tPc
0x00405de0:0x004065be, _Z9gen_quietP7state_tPi
0x004065c0:0x00406611, _Z11add_capturePiiiiii
0x00406620:0x0040665f, _Z8add_movePiiii
0x00406660:0x0040669f, _Z15add_king_castlePiiii
0x004066a0:0x00407551, _Z3genP7state_tPi
0x00407560:0x00407e3e, _Z12gen_capturesP7state_tPi
0x00407e40:0x00408299, _Z15gen_good_checksP7state_tPi
0x004082a0:0x004087c9, _Z16gen_check_blocksP7state_tPii
0x004087d0:0x00408956, _Z12gen_evasionsP7state_tPii
0x00408960:0x00408a07, _Z15init_parametersP11gamestate_t
0x00408a10:0x004098a5, _Z4makeP7state_ti
0x004098b0:0x0040a0da, _Z6unmakeP7state_ti
0x0040a0e0:0x0040a2ef, _Z11check_legalP7state_ti
0x0040a2f0:0x0040ab1a, _Z20check_castle_blockerP7state_ti
0x0040ab20:0x0040ac1a, _Z5fevalP7state_tiP12t_eval_comps
0x0040ac20:0x0040b485, _ZL13mobility_evalP7state_tP12t_eval_compsP12attackinfo_t
0x0040b490:0x0040bae4, _ZL15kingsafety_evalP7state_tP8pawntt_tP12t_eval_comps
0x0040baf0:0x0040bfcc, _ZL17kingpressure_evalP7state_tP12attackinfo_tP12t_eval_comps
0x0040bfd0:0x0040c705, _ZL11passer_evalP7state_tP8pawntt_tiP12t_eval_comps
0x0040c710:0x0040ca7d, _ZL15positional_evalP7state_tP8pawntt_tP12t_eval_comps
0x0040ca80:0x0040cda7, _ZL12trapped_evalP7state_tP12t_eval_comps
0x0040cdb0:0x0040d1cc, _Z4evalP7state_tiii
0x0040d1d0:0x0040d2b1, _ZL16opposite_bishopsP7state_tiii
0x0040d2c0:0x0040d31e, _Z13retrieve_evalP7state_t
0x0040d320:0x0040d341, _Z13clear_pawn_ttv
0x0040d350:0x0040d3be, _Z5scaleiii
