0x00400ba0:0x00400bca, _start
0x00400bd0:0x00400c02, deregister_tm_clones
0x00400c10:0x00400c4a, register_tm_clones
0x00400c50:0x00400c6c, __do_global_dtors_aux
0x00400c70:0x00400c96, frame_dummy
0x00400ca0:0x00400ee0, _Z11is_attackedP7state_tii
0x00400ee0:0x00400f06, _Z8in_checkP7state_t
0x00400f10:0x00401050, _Z10attacks_toP7state_ti
0x00401050:0x004010b0, _Z13PrintBitboardy
0x004010b0:0x00401120, _Z17PrintRotBitboardsP7state_t
0x00401120:0x0040160e, _Z17PrintAllBitboardsP7state_t
0x00401610:0x00403db2, _Z22SetupPrecalculatedDatav
0x00403dc0:0x00403e75, _Z16SetupCastleMasksP7state_t
0x00403e80:0x00403e9f, _Z11RankAttacksyj
0x00403ea0:0x00403edc, _Z11FileAttacksyj
0x00403ee0:0x00403f11, _Z15DiagonalAttacksyj
0x00403f20:0x00403f51, _Z15AntiDiagAttacksyj
0x00403f60:0x00403fbf, _Z13BishopAttacksP7state_ti
0x00403fc0:0x00404022, _Z11RookAttacksP7state_ti
0x00404030:0x00404036, _Z8PopCounty
0x00404040:0x00404063, _Z9FindFirsty
0x00404070:0x0040409c, _Z15FindFirstRemovePy
0x004040a0:0x004040d5, _Z8FindLasty
0x004040e0:0x0040413b, _Z13ThickPopCounty
0x00404140:0x0040414b, _Z4ranki
0x00404150:0x00404157, _Z4filei
0x00404160:0x00404190, _Z8sum_distii
0x00404190:0x004041c3, _Z12taxicab_distii
0x004041d0:0x00404203, _Z16taxicab_dist_bitii
0x00404210:0x00404363, _Z11check_phaseP11gamestate_tP7state_t
0x00404370:0x0040443f, _Z7is_drawP11gamestate_tP7state_t
0x00404440:0x004044c2, _Z21insufficient_materialP7state_t
0x004044d0:0x004052cb, _Z14drawn_endgamesP7state_tiii
0x004052d0:0x0040593b, _Z14setup_epd_lineP11gamestate_tP7state_tPKc
0x00405940:0x004059fc, _Z14check_solutionP7state_tPci
0x00405a00:0x00405b9f, _Z17run_epd_testsuiteP11gamestate_tP7state_tPKc
0x00405ba0:0x00405f03, _Z15position_to_fenP7state_tPc
0x00405f10:0x0040645d, _Z9gen_quietP7state_tPi
0x00406460:0x00406480, _Z11add_capturePiiiiii
0x00406480:0x00406497, _Z8add_movePiiii
0x004064a0:0x004064b7, _Z15add_king_castlePiiii
0x004064c0:0x00406e5d, _Z3genP7state_tPi
0x00406e60:0x00407495, _Z12gen_capturesP7state_tPi
0x004074a0:0x004077d8, _Z15gen_good_checksP7state_tPi
0x004077e0:0x00407bae, _Z16gen_check_blocksP7state_tPii
0x00407bb0:0x00407c7b, _Z12gen_evasionsP7state_tPii
0x00407c80:0x00407d0a, _Z15init_parametersP11gamestate_t
0x00407d10:0x004084a3, _Z4makeP7state_ti
0x004084b0:0x004088ce, _Z6unmakeP7state_ti
0x004088d0:0x004089e6, _Z11check_legalP7state_ti
0x004089f0:0x00408e8b, _Z20check_castle_blockerP7state_ti
0x00408e90:0x0040a421, _Z5fevalP7state_tiP12t_eval_comps
0x0040a430:0x0040a71c, _Z4evalP7state_tiii
0x0040a720:0x0040a749, _Z13retrieve_evalP7state_t
0x0040a750:0x0040a761, _Z13clear_pawn_ttv
0x0040a770:0x0040a792, _Z5scaleiii
0x0040a7a0:0x0040b803, _Z16static_pawn_evalP7state_t
