0x00402bf0:0x00402c1a, _start
0x00402c20:0x00402c52, deregister_tm_clones
0x00402c60:0x00402c9a, register_tm_clones
0x00402ca0:0x00402cbc, __do_global_dtors_aux
0x00402cc0:0x00402ce6, frame_dummy
0x00402ce6:0x00402fa4, _ZN9FullBoard13remove_stringEi
0x00402fa4:0x00403060, _ZN9FullBoard12calc_ko_hashEv
0x00403060:0x004031b2, _ZN9FullBoard9calc_hashEv
0x004031b2:0x004031c7, _ZN9FullBoard8get_hashEv
0x004031c8:0x004031dd, _ZN9FullBoard11get_ko_hashEv
0x004031de:0x00403853, _ZN9FullBoard12update_boardEii
0x00403854:0x0040389f, _ZN9FullBoard13display_boardEi
0x004038a0:0x004038db, _ZN9FullBoard11reset_boardEi
0x004038dc:0x00403c37, _ZN9FullBoard15predict_ko_hashEii
0x00403c38:0x00403c62, _ZNSt14_Bit_referenceC2EPmm
0x00403c62:0x00403c87, _ZNKSt14_Bit_referencecvbEv
0x00403c88:0x00403ce4, _ZNSt14_Bit_referenceaSEb
0x00403ce4:0x00403cef, _ZNSt8iteratorISt26random_access_iterator_tagblPbRbEC2Ev
0x00403cf0:0x00403d27, _ZNSt18_Bit_iterator_baseC2EPmj
0x00403d28:0x00403db5, _ZNSt18_Bit_iterator_base7_M_incrEl
0x00403db6:0x00403ddb, _ZNSt13_Bit_iteratorC2Ev
0x00403ddc:0x00403e08, _ZNSt13_Bit_iteratorC2EPmj
0x00403e08:0x00403e68, _ZNKSt13_Bit_iteratordeEv
0x00403e68:0x00403e91, _ZNSt13_Bit_iteratorpLEl
0x00403e92:0x00403f2c, _ZNKSt13_Bit_iteratorplEl
0x00403f2c:0x00403f79, _ZSt4fillIPmiEvT_S1_RKT0_
0x00403f7a:0x00403f9b, _ZN5boost5arrayIN9FastBoard8square_tELm441EEixEm
0x00403f9c:0x00403fbc, _ZN5boost5arrayINS0_IyLm441EEELm4EEixEm
0x00403fbc:0x00403fdd, _ZN5boost5arrayIyLm441EEixEm
0x00403fde:0x00403ffb, _ZN5boost5arrayItLm442EEixEm
0x00403ffc:0x0040401d, _ZN5boost5arrayIiLm2EEixEm
0x0040401e:0x0040403b, _ZN5boost5arrayItLm441EEixEm
0x0040403c:0x0040405c, _ZN5boost5arrayINS0_IyLm882EEELm2EEixEm
0x0040405c:0x0040407d, _ZN5boost5arrayIyLm882EEixEm
0x0040407e:0x0040409f, _ZNK5boost5arrayIiLm2EEixEm
0x004040a0:0x004040c1, _ZN5boost5arrayIiLm4EEixEm
0x004040c2:0x004040dd, _ZNSaIbEC2Ev
0x004040de:0x004040f9, _ZNSaIbED2Ev
0x004040fa:0x004041be, _ZNSt6vectorIbSaIbEEC2EmRKbRKS0_
0x004041be:0x004041d9, _ZNSt6vectorIbSaIbEED2Ev
0x004041da:0x00404249, _ZNSt6vectorIbSaIbEEixEm
0x00404249:0x00404263, _ZSt12__niter_baseIPmENSt11_Niter_baseIT_E13iterator_typeES2_
0x00404263:0x0040429d, _ZSt8__fill_aIPmiEN9__gnu_cxx11__enable_ifIXsrSt11__is_scalarIT0_E7__valueEvE6__typeET_S8_RKS4_
0x0040429e:0x004042a9, _ZN9__gnu_cxx13new_allocatorIbEC2Ev
0x004042aa:0x004042b5, _ZN9__gnu_cxx13new_allocatorIbED2Ev
0x004042b6:0x004042d1, _ZNSt13_Bvector_baseISaIbEE13_Bvector_implD2Ev
0x004042d2:0x0040433a, _ZNSt13_Bvector_baseISaIbEEC2ERKS0_
0x0040433a:0x00404382, _ZNSt13_Bvector_baseISaIbEED2Ev
0x00404382:0x00404459, _ZNSt6vectorIbSaIbEE13_M_initializeEm
0x0040445a:0x00404494, _ZNKSt13_Bvector_baseISaIbEE13_Bvector_impl11_M_end_addrEv
0x00404494:0x004044a2, _ZNSt10_Iter_baseIPmLb0EE7_S_baseES0_
0x004044a2:0x004044c1, _ZNSaImEC2IbEERKSaIT_E
0x004044c2:0x004044dd, _ZNSaImED2Ev
0x004044de:0x0040452c, _ZNSt13_Bvector_baseISaIbEE13_Bvector_implC2ERKSaImE
0x0040452c:0x00404595, _ZNSt13_Bvector_baseISaIbEE13_M_deallocateEv
0x00404596:0x004045c6, _ZNSt13_Bvector_baseISaIbEE11_M_allocateEm
0x004045c6:0x004045dc, _ZNSt13_Bvector_baseISaIbEE8_S_nwordEm
0x004045dc:0x004045ea, _ZSt11__addressofImEPT_RS0_
0x004045ea:0x004045f5, _ZN9__gnu_cxx13new_allocatorImEC2Ev
0x004045f6:0x00404601, _ZN9__gnu_cxx13new_allocatorImED2Ev
0x00404602:0x00404628, _ZNSaImEC2ERKS_
0x00404628:0x00404656, _ZN9__gnu_cxx14__alloc_traitsISaImEE10deallocateERS1_Pmm
0x00404656:0x00404680, _ZN9__gnu_cxx14__alloc_traitsISaImEE8allocateERS1_m
0x00404680:0x0040468f, _ZN9__gnu_cxx13new_allocatorImEC2ERKS1_
0x00404690:0x004046b3, _ZN9__gnu_cxx13new_allocatorImE10deallocateEPmm
0x004046b4:0x004046f6, _ZN9__gnu_cxx13new_allocatorImE8allocateEmPKv
0x004046f6:0x0040470a, _ZNK9__gnu_cxx13new_allocatorImE8max_sizeEv
0x0040470a:0x004047d8, _ZN7KoState9init_gameEif
0x004047d8:0x004048fb, _ZN7KoState10legal_moveEi
0x004048fc:0x00404a07, _ZN7KoState7superkoEv
0x00404a08:0x00404afc, _ZN7KoState7superkoEy
0x00404afc:0x00404bb2, _ZN7KoState10reset_gameEv
0x00404bb2:0x00404c0d, _ZN7KoState9play_passEv
0x00404c0e:0x00404c3b, _ZN7KoState9play_moveEi
0x00404c3c:0x00404cbf, _ZN7KoState9play_moveEii
0x00404cbf:0x00404cd1, _ZnwmPv
0x00404cd2:0x00405022, _ZN9FastBoardC2ERKS_
0x00405022:0x00405043, _ZN9FastBoardD2Ev
0x00405044:0x00405096, _ZN9FullBoardC2ERKS_
0x00405096:0x004050b1, _ZN9FullBoardD2Ev
0x004050b2:0x00405275, _ZN9FastStateC2ERKS_
0x00405276:0x00405291, _ZN9FastStateD2Ev
0x00405292:0x00405330, _ZN7KoStateC2ERKS_
0x00405330:0x004053a7, _ZN7KoStateD2Ev
0x004053a8:0x004053cd, _ZNSt6vectorIySaIyEE5clearEv
0x004053ce:0x00405449, _ZNSt6vectorIySaIyEE9push_backERKy
0x0040544a:0x0040550b, _ZNSt6vectorIiSaIiEEC2ERKS1_
0x0040550c:0x00405571, _ZNSt6vectorIiSaIiEED2Ev
0x00405572:0x00405633, _ZNSt6vectorIySaIyEEC2ERKS1_
0x00405634:0x00405699, _ZNSt6vectorIySaIyEED2Ev
0x0040569a:0x004056ce, _ZNSt6vectorIySaIyEE6rbeginEv
0x004056ce:0x004056d9, _ZNSt8iteratorISt26random_access_iterator_tagylPKyRS1_EC2Ev
0x004056da:0x0040573f, _ZNSt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEC2INS1_IPyS6_EEEERKS_IT_E
0x00405740:0x0040576d, _ZNSt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEC2ERKS8_
0x0040576e:0x004057a2, _ZNSt6vectorIySaIyEE4rendEv
0x004057a2:0x004057c9, _ZNSt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEC2Ev
0x004057ca:0x004057e8, _ZNSt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEppEv
0x004057e8:0x0040587b, _ZSt4findISt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEyET_SA_SA_RKT0_
0x0040587b:0x004058a3, _ZStneIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEEbRKSt16reverse_iteratorIT_ESC_
0x004058a4:0x004058e9, _ZNSt6vectorIySaIyEE15_M_erase_at_endEPy
0x004058e9:0x00405917, _ZN9__gnu_cxx14__alloc_traitsISaIyEE9constructIyEEvRS1_PyRKT_
0x00405918:0x00405c27, _ZNSt6vectorIySaIyEE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPyS1_EERKy
0x00405c28:0x00405c74, _ZNSt6vectorIySaIyEE3endEv
0x00405c74:0x00405c9a, _ZNKSt6vectorIiSaIiEE4sizeEv
0x00405c9a:0x00405ca8, _ZN9__gnu_cxx14__alloc_traitsISaIiEE17_S_select_on_copyERKS1_
0x00405ca8:0x00405cb6, _ZNKSt12_Vector_baseIiSaIiEE19_M_get_Tp_allocatorEv
0x00405cb6:0x00405cd1, _ZNSt12_Vector_baseIiSaIiEE12_Vector_implD2Ev
0x00405cd2:0x00405d30, _ZNSt12_Vector_baseIiSaIiEEC2EmRKS0_
0x00405d30:0x00405da1, _ZNSt12_Vector_baseIiSaIiEED2Ev
0x00405da2:0x00405df5, _ZNKSt6vectorIiSaIiEE5beginEv
0x00405df6:0x00405e4a, _ZNKSt6vectorIiSaIiEE3endEv
0x00405e4a:0x00405e58, _ZNSt12_Vector_baseIiSaIiEE19_M_get_Tp_allocatorEv
0x00405e58:0x00405e89, _ZSt22__uninitialized_copy_aIN9__gnu_cxx17__normal_iteratorIPKiSt6vectorIiSaIiEEEEPiiET0_T_SA_S9_RSaIT1_E
0x00405e89:0x00405eb3, _ZSt8_DestroyIPiiEvT_S1_RSaIT0_E
0x00405eb4:0x00405eda, _ZNKSt6vectorIySaIyEE4sizeEv
0x00405eda:0x00405ee8, _ZN9__gnu_cxx14__alloc_traitsISaIyEE17_S_select_on_copyERKS1_
0x00405ee8:0x00405ef6, _ZNKSt12_Vector_baseIySaIyEE19_M_get_Tp_allocatorEv
0x00405ef6:0x00405f11, _ZNSt12_Vector_baseIySaIyEE12_Vector_implD2Ev
0x00405f12:0x00405f70, _ZNSt12_Vector_baseIySaIyEEC2EmRKS0_
