0x00402c60:0x00403acf, main
0x00403ad0:0x00403af6, _GLOBAL__sub_I_main
0x00403b00:0x00403b26, _GLOBAL__sub_I__ZN9SGFParser14chop_from_fileENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi
0x00403b30:0x00403b56, _GLOBAL__sub_I__ZN5Utils17input_causes_stopEv
0x00403b60:0x00403b86, _GLOBAL__sub_I__ZN9FastBoard9s_eyemaskE
0x00403b90:0x00403bb6, _GLOBAL__sub_I__ZN7SGFTreeC2Ev
0x00403bc0:0x00403ea8, _GLOBAL__sub_I__ZN3GTP10s_commandsB5cxx11E
0x00403eb0:0x00403eda, _start
0x00403ee0:0x00403f12, deregister_tm_clones
0x00403f20:0x00403f5a, register_tm_clones
0x00403f60:0x00403f7c, __do_global_dtors_aux
0x00403f80:0x00403fa6, frame_dummy
0x00403fb0:0x0040410b, _ZN9FullBoard13remove_stringEi
0x00404110:0x00404179, _ZN9FullBoard12calc_ko_hashEv
0x00404180:0x00404229, _ZN9FullBoard9calc_hashEv
0x00404230:0x00404238, _ZN9FullBoard8get_hashEv
0x00404240:0x00404248, _ZN9FullBoard11get_ko_hashEv
0x00404250:0x0040453a, _ZN9FullBoard12update_boardEii
0x00404540:0x00404564, _ZN9FullBoard13display_boardEi
0x00404570:0x004045ea, _ZN9FullBoard11reset_boardEi
0x004045f0:0x004047c1, _ZN9FullBoard15predict_ko_hashEii
0x004047d0:0x0040485d, _ZN7KoState9play_passEv
0x00404860:0x0040493e, _ZN7KoState10reset_gameEv
0x00404940:0x004049e5, _ZN7KoState9play_moveEii
0x004049f0:0x004049fd, _ZN7KoState9play_moveEi
0x00404a00:0x00404ade, _ZN7KoState9init_gameEif
0x00404ae0:0x00404b52, _ZN7KoState7superkoEv
0x00404b60:0x004052e1, _ZN7KoState10legal_moveEi
0x004052f0:0x00405362, _ZN7KoState7superkoEy
0x00405370:0x0040550c, _ZNSt6vectorIySaIyEE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPyS1_EERKy
0x00405510:0x0040563a, _ZSt9__find_ifISt16reverse_iteratorIN9__gnu_cxx17__normal_iteratorIPKySt6vectorIySaIyEEEEENS1_5__ops16_Iter_equals_valIS3_EEET_SD_SD_T0_St26random_access_iterator_tag
0x00405640:0x004056ce, _ZN7PlayoutC2Ev
0x004056d0:0x004056d6, _ZN7Playout9get_scoreEv
0x004056e0:0x004056e9, _ZN7Playout15set_final_scoreEf
0x004056f0:0x00405950, _ZN7Playout3runER9FastStateb
0x00405950:0x0040598b, _ZN7Playout11passthroughEii
0x00405990:0x00405b3c, _ZN7Playout20do_playout_benchmarkER9GameState
0x00405b40:0x00406139, _ZN7Playout8mc_ownerER9FastStatei
0x00406140:0x00406190, _ZN11TimeControlC2Eiiii
0x00406190:0x004061d7, _ZN11TimeControl5startEi
0x004061e0:0x00406283, _ZN11TimeControl4stopEi
0x00406290:0x004062a5, _ZN11TimeControl12time_forfeitEi
0x004062b0:0x004063fc, _ZN11TimeControl13display_timesEv
0x00406400:0x00406465, _ZN11TimeControl17max_time_for_moveEi
0x00406470:0x0040647e, _ZN11TimeControl11adjust_timeEiii
0x00406480:0x0040648a, _ZN11TimeControl13set_boardsizeEi
0x00406490:0x004064a6, _ZN11TimeControl12get_maintimeEv
0x004064b0:0x004064b8, _ZN11TimeControl18get_remaining_timeEi
0x004064c0:0x00406582, _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPcEEvT_S7_St20forward_iterator_tag.isra.45
0x00406590:0x004065d6, _ZN9UCTSearchC2ER9GameState
0x004065e0:0x004065e9, _ZN9UCTSearch11set_runflagEPb
0x004065f0:0x004068e2, _ZN9UCTSearch15play_simulationER7KoStateP7UCTNode
0x004068f0:0x00406c5b, _ZN9UCTSearch13get_best_moveEi
