0x00077000:0x00077019, sh_remove_from_list
0x00077020:0x00077052, deregister_tm_clones
0x00077060:0x000770a2, register_tm_clones
0x000770b0:0x000770e2, __do_global_dtors_aux
0x000770f0:0x00077120, frame_dummy
0x00077120:0x00077144, AES_cbc_encrypt
0x00077150:0x00077169, AES_cfb128_encrypt
0x00077170:0x00077189, AES_cfb1_encrypt
0x00077190:0x000771a9, AES_cfb8_encrypt
0x000771b0:0x00077caa, AES_set_encrypt_key
0x00077cb0:0x00077e96, AES_set_decrypt_key
0x00077ea0:0x000782ed, AES_encrypt
0x000782f0:0x00078734, AES_decrypt
0x00078740:0x00078755, AES_ecb_encrypt
0x00078760:0x00078b61, AES_ige_encrypt
0x00078b70:0x0007930a, AES_bi_ige_encrypt
0x00079310:0x00079318, AES_options
0x00079320:0x00079334, AES_ofb128_encrypt
0x00079340:0x00079358, AES_wrap_key
0x00079360:0x00079378, AES_unwrap_key
0x00079380:0x00079745, aesni_multi_cbc_encrypt
0x00079760:0x00079b23, aesni_multi_cbc_decrypt
0x00079b40:0x0007a24f, aesni_multi_cbc_encrypt_avx
0x0007a260:0x0007aa7a, aesni_multi_cbc_decrypt_avx
0x0007aa80:0x0007aab9, aesni_cbc_sha1_enc
0x0007aac0:0x0007bc2e, aesni_cbc_sha1_enc_ssse3
0x0007bc40:0x0007cd6e, aesni_cbc_sha1_enc_avx
0x0007ce40:0x0007d356, aesni_cbc_sha1_enc_shaext
0x0007d380:0x0007d3e7, aesni_cbc_sha256_enc
0x0007d6c0:0x0007e6bd, aesni_cbc_sha256_enc_xop
0x0007e6c0:0x0007f7fd, aesni_cbc_sha256_enc_avx
0x0007f800:0x00081268, aesni_cbc_sha256_enc_avx2
0x00081280:0x0008188b, aesni_cbc_sha256_enc_shaext
0x000818c0:0x000818fd, aesni_encrypt
0x00081900:0x0008193d, aesni_decrypt
0x00081940:0x00081999, _aesni_encrypt2
0x000819a0:0x000819f9, _aesni_decrypt2
0x00081a00:0x00081a70, _aesni_encrypt3
0x00081a70:0x00081ae0, _aesni_decrypt3
0x00081ae0:0x00081b6a, _aesni_encrypt4
0x00081b70:0x00081bfa, _aesni_decrypt4
0x00081c00:0x00081c42, _aesni_encrypt6
0x00081c50:0x00081cd9, sub_81C50
0x00081ce0:0x00081db9, _aesni_decrypt6
0x00081dc0:0x00081e3a, _aesni_encrypt8
0x00081e3a:0x00081ec9, sub_81E3A
0x00081ed0:0x00081fd9, _aesni_decrypt8
0x00081fe0:0x0008253d, aesni_ecb_encrypt
0x00082540:0x00082618, aesni_ccm64_encrypt_blocks
0x00082620:0x00082781, aesni_ccm64_decrypt_blocks
