0x00406700:0x00406743, __cxx_global_var_init
0x00406750:0x004067a8, __cxx_global_var_init.1
0x004067b0:0x00406808, __cxx_global_var_init.2
0x00406810:0x00406868, __cxx_global_var_init.3
0x00406870:0x004068c8, __cxx_global_var_init.4
0x004068d0:0x00406928, __cxx_global_var_init.5
0x00406930:0x00406954, _GLOBAL__sub_I_fileoutscalarmgr.cc
0x00406960:0x004069a3, __cxx_global_var_init_0
0x004069b0:0x004069bb, _GLOBAL__sub_I_xmlgenerator.cc
0x004069c0:0x00406a03, __cxx_global_var_init_1
0x00406a10:0x00406a1b, _GLOBAL__sub_I_cdisplaystring.cc
0x00406a20:0x00406a63, __cxx_global_var_init_2
0x00406a70:0x00406ac8, __cxx_global_var_init.1_0
0x00406ad0:0x00406b28, __cxx_global_var_init.2_0
0x00406b30:0x00406b45, _GLOBAL__sub_I_cmessage.cc
0x00406b50:0x00406b93, __cxx_global_var_init_3
0x00406ba0:0x00406bab, _GLOBAL__sub_I_cenvir.cc
0x00406bb0:0x00406bf3, __cxx_global_var_init_4
0x00406c00:0x00406c0b, _GLOBAL__sub_I_matchableobject.cc
0x00406c10:0x00406c53, __cxx_global_var_init_5
0x00406c60:0x00406c6b, _GLOBAL__sub_I_cstringpool.cc
0x00406c70:0x00406cb3, __cxx_global_var_init_6
0x00406cc0:0x00406d03, __cxx_global_var_init.1_1
0x00406d10:0x00406d20, _GLOBAL__sub_I_cgate.cc
0x00406d20:0x00406d63, __cxx_global_var_init_7
0x00406d70:0x00406d7b, _GLOBAL__sub_I_cconfiguration.cc
0x00406d80:0x00406dc3, __cxx_global_var_init_8
0x00406dd0:0x00406ddb, _GLOBAL__sub_I_cdynamicchanneltype.cc
0x00406de0:0x00406e23, __cxx_global_var_init_9
0x00406e30:0x00406e3b, _GLOBAL__sub_I_cxmlparimpl.cc
0x00406e40:0x00406e83, __cxx_global_var_init_10
0x00406e90:0x00406ed6, __cxx_global_var_init.27
0x00406ee0:0x00406ef0, _GLOBAL__sub_I_csimulation.cc
0x00406ef0:0x00406f33, __cxx_global_var_init_11
0x00406f40:0x00406f4b, _GLOBAL__sub_I_msg2.tab.cc
0x00406f50:0x00406f93, __cxx_global_var_init_12
0x00406fa0:0x00406ff8, __cxx_global_var_init.1_2
0x00407000:0x00407010, _GLOBAL__sub_I_cdataratechannel.cc
0x00407010:0x00407053, __cxx_global_var_init_13
0x00407060:0x004070b8, __cxx_global_var_init.1_3
0x004070c0:0x00407118, __cxx_global_var_init.2_1
0x00407120:0x00407135, _GLOBAL__sub_I_clcg32.cc
0x00407140:0x00407183, __cxx_global_var_init_14
0x00407190:0x004071e8, __cxx_global_var_init.1_4
0x004071f0:0x00407248, __cxx_global_var_init.2_2
0x00407250:0x004072a8, __cxx_global_var_init.3_0
0x004072b0:0x00407308, __cxx_global_var_init.4_0
0x00407310:0x00407368, __cxx_global_var_init.5_0
0x00407370:0x004073c8, __cxx_global_var_init.6
0x004073d0:0x00407428, __cxx_global_var_init.7
0x00407430:0x00407488, __cxx_global_var_init.8
0x00407490:0x004074e8, __cxx_global_var_init.9
0x004074f0:0x00407548, __cxx_global_var_init.10
0x00407550:0x004075a8, __cxx_global_var_init.11
0x004075b0:0x00407608, __cxx_global_var_init.12
0x00407610:0x00407668, __cxx_global_var_init.13
0x00407670:0x004076c8, __cxx_global_var_init.14
0x004076d0:0x00407728, __cxx_global_var_init.15
0x00407730:0x00407788, __cxx_global_var_init.16
0x00407790:0x004077e8, __cxx_global_var_init.17
0x004077f0:0x00407848, __cxx_global_var_init.18
0x00407850:0x004078a8, __cxx_global_var_init.19
0x004078b0:0x00407908, __cxx_global_var_init.20
