0x004069e0:0x00406a00, __cxx_global_var_init
0x00406a00:0x00406a25, __cxx_global_var_init.1
0x00406a30:0x00406a55, __cxx_global_var_init.2
0x00406a60:0x00406a85, __cxx_global_var_init.3
0x00406a90:0x00406ab5, __cxx_global_var_init.4
0x00406ac0:0x00406ae5, __cxx_global_var_init.5
0x00406af0:0x00406b0d, _GLOBAL__sub_I_fileoutscalarmgr.cc
0x00406b10:0x00406b30, __cxx_global_var_init_0
0x00406b30:0x00406b32, _GLOBAL__sub_I_xmlgenerator.cc
0x00406b40:0x00406b60, __cxx_global_var_init_1
0x00406b60:0x00406b62, _GLOBAL__sub_I_cdisplaystring.cc
0x00406b70:0x00406b90, __cxx_global_var_init_2
0x00406b90:0x00406bb5, __cxx_global_var_init.1_0
0x00406bc0:0x00406be5, __cxx_global_var_init.2_0
0x00406bf0:0x00406bfe, _GLOBAL__sub_I_cmessage.cc
0x00406c00:0x00406c20, __cxx_global_var_init_3
0x00406c20:0x00406c22, _GLOBAL__sub_I_cenvir.cc
0x00406c30:0x00406c50, __cxx_global_var_init_4
0x00406c50:0x00406c52, _GLOBAL__sub_I_matchableobject.cc
0x00406c60:0x00406c80, __cxx_global_var_init_5
0x00406c80:0x00406c82, _GLOBAL__sub_I_cstringpool.cc
0x00406c90:0x00406cb0, __cxx_global_var_init_6
0x00406cb0:0x00406cd0, __cxx_global_var_init.1_1
0x00406cd0:0x00406cd9, _GLOBAL__sub_I_cgate.cc
0x00406ce0:0x00406d00, __cxx_global_var_init_7
0x00406d00:0x00406d02, _GLOBAL__sub_I_cconfiguration.cc
0x00406d10:0x00406d30, __cxx_global_var_init_8
0x00406d30:0x00406d32, _GLOBAL__sub_I_cdynamicchanneltype.cc
0x00406d40:0x00406d60, __cxx_global_var_init_9
0x00406d60:0x00406d62, _GLOBAL__sub_I_cxmlparimpl.cc
0x00406d70:0x00406d90, __cxx_global_var_init_10
0x00406d90:0x00406db0, __cxx_global_var_init.27
0x00406db0:0x00406db9, _GLOBAL__sub_I_csimulation.cc
0x00406dc0:0x00406de0, __cxx_global_var_init_11
0x00406de0:0x00406de2, _GLOBAL__sub_I_msg2.tab.cc
0x00406df0:0x00406e10, __cxx_global_var_init_12
0x00406e10:0x00406e35, __cxx_global_var_init.1_2
0x00406e40:0x00406e49, _GLOBAL__sub_I_cdataratechannel.cc
0x00406e50:0x00406e70, __cxx_global_var_init_13
0x00406e70:0x00406e95, __cxx_global_var_init.1_3
0x00406ea0:0x00406ec5, __cxx_global_var_init.2_1
0x00406ed0:0x00406ede, _GLOBAL__sub_I_clcg32.cc
0x00406ee0:0x00406f00, __cxx_global_var_init_14
0x00406f00:0x00406f25, __cxx_global_var_init.1_4
0x00406f30:0x00406f55, __cxx_global_var_init.2_2
0x00406f60:0x00406f85, __cxx_global_var_init.3_0
0x00406f90:0x00406fb5, __cxx_global_var_init.4_0
0x00406fc0:0x00406fe5, __cxx_global_var_init.5_0
0x00406ff0:0x00407015, __cxx_global_var_init.6
0x00407020:0x00407045, __cxx_global_var_init.7
0x00407050:0x00407075, __cxx_global_var_init.8
0x00407080:0x004070a5, __cxx_global_var_init.9
0x004070b0:0x004070d5, __cxx_global_var_init.10
0x004070e0:0x00407105, __cxx_global_var_init.11
0x00407110:0x00407135, __cxx_global_var_init.12
0x00407140:0x00407165, __cxx_global_var_init.13
0x00407170:0x00407195, __cxx_global_var_init.14
0x004071a0:0x004071c5, __cxx_global_var_init.15
0x004071d0:0x004071f5, __cxx_global_var_init.16
0x00407200:0x00407225, __cxx_global_var_init.17
0x00407230:0x00407255, __cxx_global_var_init.18
0x00407260:0x00407285, __cxx_global_var_init.19
0x00407290:0x004072b5, __cxx_global_var_init.20
0x004072c0:0x004072e5, __cxx_global_var_init.21
0x004072f0:0x00407315, __cxx_global_var_init.22
0x00407320:0x00407345, __cxx_global_var_init.23
0x00407350:0x00407375, __cxx_global_var_init.24
0x00407380:0x004073a5, __cxx_global_var_init.25
0x004073b0:0x00407434, _GLOBAL__sub_I_envirbase.cc
0x00407440:0x00407460, __cxx_global_var_init_15
0x00407460:0x00407485, __cxx_global_var_init.1_5
0x00407490:0x00407499, _GLOBAL__sub_I_appreg.cc
0x004074a0:0x004074c0, __cxx_global_var_init_16
0x004074c0:0x004074c2, _GLOBAL__sub_I_nedsupport.cc
0x004074d0:0x004074f0, __cxx_global_var_init_17
0x004074f0:0x00407510, __cxx_global_var_init.1_6
0x00407510:0x00407530, __cxx_global_var_init.3_1
0x00407530:0x0040753e, _GLOBAL__sub_I_cmodule.cc
0x00407540:0x00407560, __cxx_global_var_init_18
0x00407560:0x00407562, _GLOBAL__sub_I_matchablefield.cc
0x00407570:0x00407590, __cxx_global_var_init_19
0x00407590:0x00407592, _GLOBAL__sub_I_cwatch.cc
0x004075a0:0x004075c0, __cxx_global_var_init_20
0x004075c0:0x004075e5, __cxx_global_var_init.1_7
0x004075f0:0x004075f9, _GLOBAL__sub_I_cparimpl.cc
0x00407600:0x00407620, __cxx_global_var_init_21
0x00407620:0x00407645, __cxx_global_var_init.1_8
0x00407650:0x00407675, __cxx_global_var_init.2_3
0x00407680:0x004076a5, __cxx_global_var_init.4_1
0x004076b0:0x004076d5, __cxx_global_var_init.6_0
0x004076e0:0x00407705, __cxx_global_var_init.8_0
0x00407710:0x00407735, __cxx_global_var_init.10_0
0x00407740:0x00407762, _GLOBAL__sub_I_globals.cc
0x00407770:0x00407790, __cxx_global_var_init_22
0x00407790:0x00407792, _GLOBAL__sub_I_cstringparimpl.cc
0x004077a0:0x004077c0, __cxx_global_var_init_23
0x004077c0:0x004077c2, _GLOBAL__sub_I_speedometer.cc
0x004077d0:0x004077f0, __cxx_global_var_init_24
0x004077f0:0x00407815, __cxx_global_var_init.1_9
0x00407820:0x00407829, _GLOBAL__sub_I_cpacketqueue.cc
0x00407830:0x00407850, __cxx_global_var_init_25
0x00407850:0x00407852, _GLOBAL__sub_I_ned1generator.cc
0x00407860:0x00407880, __cxx_global_var_init_26
0x00407880:0x00407882, _GLOBAL__sub_I_ccompoundmodule.cc
0x00407890:0x004078b0, __cxx_global_var_init_27
0x004078b0:0x004078b2, _GLOBAL__sub_I_eventlogwriter.cc
0x004078c0:0x004078e0, __cxx_global_var_init_28
0x004078e0:0x004078e2, _GLOBAL__sub_I_cexpressionbuilder.cc
0x004078f0:0x00407910, __cxx_global_var_init_29
0x00407910:0x00407912, _GLOBAL__sub_I_cconfigoption.cc
0x00407920:0x00407940, __cxx_global_var_init_30
0x00407940:0x00407965, __cxx_global_var_init.1_10
0x00407970:0x00407979, _GLOBAL__sub_I_cvarhist.cc
0x00407980:0x004079a0, __cxx_global_var_init_31
0x004079a0:0x004079a2, _GLOBAL__sub_I_objectprinter.cc
0x004079b0:0x004079d0, __cxx_global_var_init_32
0x004079d0:0x004079d2, _GLOBAL__sub_I_main.cc
0x004079e0:0x00407a00, __cxx_global_var_init_33
0x00407a00:0x00407a02, _GLOBAL__sub_I_lex.expryy.cc
0x00407a10:0x00407a30, __cxx_global_var_init_34
