0x00402650:0x0040267a, _start
0x00402680:0x004026b2, deregister_tm_clones
0x004026c0:0x004026fa, register_tm_clones
0x00402700:0x0040271c, __do_global_dtors_aux
0x00402720:0x00402746, frame_dummy
0x00402750:0x004027f9, Perl_av_reify
0x00402800:0x004028aa, Perl_av_extend
0x004028b0:0x00402a8c, Perl_av_extend_guts
0x00402a90:0x00402bd9, Perl_av_fetch
0x00402be0:0x00402d8e, S_adjust_index
0x00402d90:0x00402fe1, Perl_av_store
0x00402ff0:0x00403009, S_SvREFCNT_dec
0x00403010:0x004030d5, Perl_av_make
0x004030e0:0x004031e0, Perl_av_clear
0x004031e0:0x004032a1, Perl_av_undef
0x004032b0:0x004033e3, Perl_av_fill
0x004033f0:0x0040341c, Perl_av_create_and_push
0x00403420:0x004034b3, Perl_av_push
0x004034c0:0x004035a8, Perl_av_pop
0x004035b0:0x004035ee, Perl_av_create_and_unshift_one
0x004035f0:0x00403731, Perl_av_unshift
0x00403740:0x00403834, Perl_av_shift
0x00403840:0x00403842, Perl_av_len
0x00403850:0x0040386b, S_av_top_index
0x00403870:0x00403a23, Perl_av_delete
0x00403a30:0x00403a44, S_SvREFCNT_dec_NN
0x00403a50:0x00403c4c, Perl_av_exists
0x00403c50:0x00403c5c, Perl_av_arylen_p
0x00403c60:0x00403c95, S_get_aux_mg
0x00403ca0:0x00403cd1, Perl_av_iter_p
0x00403ce0:0x00403d18, Perl_set_caret_X
0x00403d20:0x00403d21, Perl_deb
0x00403d30:0x00403d31, Perl_vdeb
0x00403d40:0x00403d43, Perl_debstackptrs
0x00403d50:0x00403d90, Perl_debstack
0x00403d90:0x00403d91, Perl_deb_stack_all
0x00403da0:0x00403e0c, Perl_do_openn
0x00403e10:0x00403f16, Perl_do_open_raw
0x00403f20:0x00404dc2, Perl_do_open6
0x00404dd0:0x00404f82, S_openn_setup
0x00404f90:0x004053b8, S_openn_cleanup
0x004053c0:0x0040542f, S_is_safe_syscall
0x00405430:0x00405a87, Perl_nextargv
0x00405a90:0x00405aab, S_av_top_index_0
0x00405ab0:0x00405b5a, Perl_do_close
0x00405b60:0x00405b74, S_SvREFCNT_dec_NN_0
0x00405b80:0x00405d31, Perl_io_close
0x00405d40:0x00405e68, Perl_do_eof
0x00405e70:0x00405ebe, Perl_do_tell
0x00405ec0:0x00405f10, Perl_do_seek
0x00405f10:0x00405f82, Perl_do_sysseek
0x00405f90:0x004060bb, Perl_mode_from_discipline
0x004060c0:0x004062a3, Perl_do_print
0x004062b0:0x0040650f, Perl_my_stat_flags
0x00406510:0x0040652c, S_should_warn_nl
0x00406530:0x00406770, Perl_my_lstat_flags
0x00406770:0x0040692c, Perl_do_aexec5
0x00406930:0x0040699f, S_exec_failed
0x004069a0:0x004069d1, Perl_do_execfree
0x004069e0:0x00406efa, Perl_do_exec3
0x00406f00:0x00407303, Perl_apply
0x00407310:0x004073ae, Perl_cando
0x004073b0:0x004073ca, S_ingroup
0x004073d0:0x004075ed, Perl_start_glob
0x004075f0:0x004076ee, Perl_do_trans
0x004076f0:0x00407869, S_do_trans_count_utf8
0x00407870:0x0040799e, S_do_trans_count
0x004079a0:0x00407f38, S_do_trans_complex_utf8
0x00407f40:0x0040843b, S_do_trans_complex
0x00408440:0x004087e6, S_do_trans_simple_utf8
0x004087f0:0x004089ee, S_do_trans_simple
0x004089f0:0x00408d72, Perl_do_join
0x00408d80:0x00408ec1, Perl_do_sprintf
0x00408ed0:0x0040932b, Perl_do_vecget
0x00409330:0x00409634, Perl_do_vecset
0x00409640:0x0040a066, Perl_do_vop
0x0040a070:0x0040a369, Perl_do_kv
0x0040a370:0x0040a37d, S_SvREFCNT_inc
0x0040a380:0x0040a79b, Perl_pv_escape
0x0040a7a0:0x0040a969, Perl_pv_pretty
0x0040a970:0x0040a9cf, Perl_pv_display
0x0040a9d0:0x0040afd2, Perl_sv_peek
0x0040afe0:0x0040aff4, S_CvGV
0x0040b000:0x0040b014, S_SvREFCNT_dec_NN_1
0x0040b020:0x0040b0ae, Perl_dump_indent
0x0040b0b0:0x0040b0ef, Perl_dump_vindent
0x0040b0f0:0x0040b0f4, Perl_dump_all
0x0040b100:0x0040b12e, Perl_dump_all_perl
0x0040b130:0x0040b147, Perl_op_dump
0x0040b150:0x0040b25e, Perl_dump_packsubs_perl
0x0040b260:0x0040b267, Perl_dump_packsubs
0x0040b270:0x0040b3db, Perl_dump_sub_perl
0x0040b3e0:0x0040b45b, Perl_dump_form
0x0040b460:0x0040b467, Perl_dump_sub
0x0040b470:0x0040b47c, Perl_dump_eval
0x0040b480:0x0040b66d, Perl_do_pmop_dump
0x0040b670:0x0040b675, S_ReANY
0x0040b680:0x0040c1aa, Perl_do_op_dump
0x0040c1b0:0x0040c2af, S_pm_description
0x0040c2b0:0x0040c2c7, Perl_pmop_dump
0x0040c2d0:0x0040c3e3, S_sequence_num
0x0040c3f0:0x0040c434, S_append_flags
0x0040c440:0x0040c629, Perl_gv_dump
0x0040c630:0x0040cb06, Perl_do_magic_dump
