0x004027f0:0x0040299f, S_require_tie_mod
0x0040299f:0x004029bf, Perl_PerlIO_flush_0
0x004029bf:0x004029fd, S_form_short_octal_warning
0x004029fd:0x00402a71, S_add_multi_match
0x00402a71:0x00402af4, S_reghop4
0x00402af4:0x00402bad, S_regtry
0x00402bad:0x00402cd1, S_F0convert
0x00402cd1:0x004030bb, S_checkcomma
0x004030bb:0x0040316d, S_missingterm
0x00403188:0x004031fc, S_newSV_maybe_utf8
0x004031fc:0x00403276, S_postderef
0x00403276:0x00403617, S_intuit_method
0x00403617:0x00403841, S_force_word
0x00403841:0x004038d4, S_lop
0x004038d4:0x00403997, S_add_utf16_textfilter
0x00403997:0x00403ac9, S_force_version
0x00403ac9:0x00403c01, S_tokenize_use
0x00403c01:0x00403c8d, S_form_short_octal_warning_0
0x00403c8d:0x00403d1c, S_add_multi_match_0
0x00403d1c:0x00403d7c, S_reghop4_0
0x00403d7c:0x00403ddd, S_reghop3_0
0x00403ddd:0x00403e96, S_regtry_0
0x00403ea0:0x00403fb4, main
0x00403fc0:0x00403fea, _start
0x00403ff0:0x00404022, deregister_tm_clones
0x00404030:0x0040406a, register_tm_clones
0x00404070:0x0040408c, __do_global_dtors_aux
0x00404090:0x004040b6, frame_dummy
0x004040c0:0x00404294, S_adjust_index
0x004042a0:0x0040438a, Perl_av_reify
0x00404390:0x00404580, Perl_av_extend_guts
0x00404580:0x00404638, Perl_av_extend
0x00404640:0x00404b6c, Perl_av_store
0x00404b70:0x00404d4b, Perl_av_fetch
0x00404d50:0x00404e2e, Perl_av_make
0x00404e30:0x00404f77, Perl_av_clear
0x00404f80:0x00405048, Perl_av_create_and_push
0x00405050:0x004050f8, Perl_av_push
0x00405100:0x00405227, Perl_av_pop
0x00405230:0x004055bc, Perl_av_create_and_unshift_one
0x004055c0:0x004058e7, Perl_av_unshift
0x004058f0:0x00405a37, Perl_av_shift
0x00405a40:0x00405a60, Perl_av_len
0x00405a60:0x00405be2, Perl_av_fill
0x00405bf0:0x00405d3c, Perl_av_undef
0x00405d40:0x00406093, Perl_av_delete
0x004060a0:0x004062f0, Perl_av_exists
0x004062f0:0x00406334, Perl_av_arylen_p
0x00406340:0x004063bc, Perl_av_iter_p
0x004063c0:0x00406405, Perl_set_caret_X
0x00406410:0x00406448, Perl_deb
0x00406450:0x00406452, Perl_vdeb
0x00406460:0x00406463, Perl_debstackptrs
0x00406470:0x004064bc, Perl_debstack
0x004064c0:0x004064c2, Perl_deb_stack_all
0x004064d0:0x004066e3, S_openn_setup
0x004066f0:0x00406bd6, S_openn_cleanup
0x00406be0:0x004072db, Perl_do_open_raw
0x004072e0:0x004083fc, Perl_do_open6
0x00408400:0x00408b58, Perl_do_openn
0x00408b60:0x00408d7d, Perl_io_close
0x00408d80:0x00408e55, Perl_do_close
0x00408e60:0x004096ed, Perl_nextargv
0x004096f0:0x00409843, Perl_do_eof
0x00409850:0x004098b4, Perl_do_tell
0x004098c0:0x0040991d, Perl_do_seek
0x00409920:0x0040999b, Perl_do_sysseek
0x004099a0:0x00409ad3, Perl_mode_from_discipline
0x00409ae0:0x00409d10, Perl_do_print
0x00409d10:0x0040a065, Perl_my_stat_flags
0x0040a070:0x0040a2f9, Perl_my_lstat_flags
0x0040a300:0x0040a5e4, Perl_do_aexec5
0x0040a5f0:0x0040a627, Perl_do_execfree
0x0040a630:0x0040ad1e, Perl_do_exec3
0x0040ad20:0x0040b263, Perl_apply
0x0040b270:0x0040b32d, Perl_cando
0x0040b330:0x0040b671, Perl_start_glob
0x0040b680:0x0040ce18, Perl_do_trans
0x0040ce20:0x0040d22a, Perl_do_join
0x0040d230:0x0040d3ec, Perl_do_sprintf
0x0040d3f0:0x0040d99d, Perl_do_vecget
0x0040d9a0:0x0040dd83, Perl_do_vecset
0x0040dd90:0x0040e963, Perl_do_vop
0x0040e970:0x0040ed5c, Perl_do_kv
0x0040ed60:0x0040ee9d, S_sequence_num
0x0040eea0:0x0040ef28, S_append_padvar
0x0040ef30:0x0040f3c3, Perl_pv_escape_0
0x0040f3d0:0x0040f6ed, Perl_pv_escape_1
0x0040f6f0:0x0040fc45, Perl_pv_escape
0x0040fc50:0x0040fec2, Perl_pv_pretty
0x0040fed0:0x0040ffbe, Perl_pv_display
0x0040ffc0:0x0041066c, Perl_sv_peek
0x00410670:0x00410752, Perl_dump_indent
0x00410760:0x0041079d, Perl_dump_vindent
0x004107a0:0x004114ef, Perl_do_op_dump
0x004114f0:0x00411690, Perl_dump_sub_perl
0x00411690:0x0041171c, Perl_dump_form
0x00411720:0x0041173b, Perl_dump_eval
0x00411740:0x00411bd7, Perl_do_pmop_dump
0x00411be0:0x00411bf7, Perl_pmop_dump
0x00411c00:0x00411dcb, Perl_dump_packsubs_perl
0x00411dd0:0x00411e18, Perl_dump_all_perl
0x00411e20:0x00411e27, Perl_dump_packsubs
0x00411e30:0x00411e6b, Perl_dump_all
0x00411e70:0x00411fe5, Perl_dump_sub
0x00411ff0:0x00412007, Perl_op_dump
0x00412010:0x0041221b, Perl_gv_dump
0x00412220:0x004123c9, Perl_do_hv_dump
0x004123d0:0x0041247b, Perl_do_gv_dump
0x00412480:0x0041263e, Perl_do_gvgv_dump
0x00412640:0x004159f0, Perl_do_sv_dump
0x004159f0:0x00415f2f, Perl_do_magic_dump
0x00415f30:0x00415f58, Perl_magic_dump
0x00415f60:0x00415fa6, Perl_sv_dump
0x00415fb0:0x004161e9, S_deb_padvar
0x004161f0:0x0041677a, Perl_multideref_stringify
0x00416780:0x00416c36, Perl_debop
0x00416c40:0x00416dd3, Perl_runops_debug
0x00416de0:0x00416e1a, Perl_watch
0x00416e20:0x00416e87, Perl_debprofdump
0x00416e90:0x00416f5c, S_gv_magicalize_isa
0x00416f60:0x00417136, S_gv_init_svtype
0x00417140:0x0041728e, Perl_gv_add_by_type
0x00417290:0x004172d3, Perl_gv_const_sv
0x004172e0:0x0041740e, Perl_newGP
0x00417410:0x00417532, Perl_cvgv_set
0x00417540:0x00417598, Perl_cvstash_set
0x004175a0:0x00417702, Perl_gv_fullname4
0x00417710:0x004178ba, Perl_gv_efullname4
0x004178c0:0x00417923, Perl_gp_ref
0x00417930:0x00417d2a, Perl_gp_free
0x00417d30:0x00417d91, Perl_magic_freeovrld
0x00417da0:0x00417ea4, Perl_amagic_is_enabled
0x00417eb0:0x00417fc7, Perl_gv_name_set
0x00417fd0:0x00418397, Perl_gv_init_pvn
0x004183a0:0x004185bc, Perl_gv_fetchfile_flags
0x004185c0:0x0041881e, Perl_gv_check
0x00418820:0x00418953, Perl_cvgv_from_hek
0x00418960:0x00418997, core_xsub
0x004189a0:0x00418d47, S_maybe_add_coresub
0x00418d50:0x00419331, Perl_gv_autoload_pvn
0x00419340:0x0041988c, Perl_gv_fetchmethod_pvn_flags
0x00419890:0x00419926, Perl_gv_fetchmethod_sv_flags
0x00419930:0x0041995a, Perl_gv_fetchmethod_pv_flags
0x00419960:0x00419993, Perl_gv_fetchmethod_autoload
0x004199a0:0x0041b371, Perl_gv_fetchpvn_flags
0x0041b380:0x0041b64f, S_gv_stashsvpvn_cached
0x0041b650:0x0041b6c4, Perl_gv_stashsv
0x0041b6d0:0x0041bde5, S_gv_fetchmeth_internal
0x0041bdf0:0x0041be2e, Perl_gv_fetchmeth_pv
0x0041be30:0x0041be43, Perl_gv_fetchmeth_pvn
0x0041be50:0x0041beee, Perl_gv_fetchmeth_sv
0x0041bef0:0x0041bffd, Perl_gv_fetchmeth_pvn_autoload
0x0041c000:0x0041c10d, Perl_gv_fetchmeth_pv_autoload
0x0041c110:0x0041c292, Perl_gv_fetchmeth_sv_autoload
0x0041c2a0:0x0041c2c5, Perl_gv_fetchpv
0x0041c2d0:0x0041c330, Perl_newGVgen_flags
0x0041c330:0x0041c3ce, Perl_gv_fetchsv
0x0041c3d0:0x0041c636, Perl_gv_stashpvn
0x0041c640:0x0041c8c7, Perl_gv_stashpv
0x0041c8d0:0x0041c966, Perl_gv_autoload_sv
0x0041c970:0x0041c99a, Perl_gv_autoload_pv
0x0041c9a0:0x0041cf81, S_gv_fetchmeth_internal_0
0x0041cf90:0x0041d5cb, Perl_Gv_AMupdate
0x0041d5d0:0x0041d6f2, Perl_gv_handler
0x0041d700:0x0041ef0d, Perl_amagic_call
0x0041ef10:0x0041f02f, Perl_try_amagic_un
0x0041f030:0x0041f287, Perl_try_amagic_bin
0x0041f290:0x0041f34b, Perl_amagic_deref_call
0x0041f350:0x0041f56c, Perl_gv_fetchfile
0x0041f570:0x0041f95f, Perl_gv_init_pv
0x0041f960:0x0041fdbc, Perl_gv_init_sv
0x0041fdc0:0x0041ffde, Perl_gv_try_downgrade
0x0041ffe0:0x004200b7, Perl_gv_override
0x004200c0:0x00420214, S_hv_auxinit
0x00420220:0x004204aa, S_hsplit
0x004204b0:0x00420632, S_share_hek_flags
0x00420640:0x004208e7, S_unshare_hek_or_pvn
0x004208f0:0x00420b1c, S_clear_placeholders
0x00420b20:0x00420b62, Perl_free_tied_hv_pool
0x00420b70:0x00420cb6, Perl_hv_scalar
0x00420cc0:0x00420d5e, Perl_hv_ksplit
0x00420d60:0x00420e11, Perl_hv_free_ent
0x00420e20:0x00421af2, S_hv_delete_common
0x00421b00:0x00422d82, Perl_hv_common
0x00422d90:0x00422dcc, Perl_hv_common_key_len
0x00422dd0:0x004231a1, Perl_hv_iternext_flags_0
0x004231b0:0x004237d4, Perl_newHVhv
0x004237e0:0x004248aa, Perl_hv_copy_hints_hv
0x004248b0:0x00424991, Perl_hv_delayfree_ent
0x004249a0:0x00424f09, Perl_hv_clear
0x00424f10:0x00424f49, Perl_hv_clear_placeholders
0x00424f50:0x0042529f, Perl_hfree_next_entry
0x004252a0:0x00425343, Perl_hv_fill
0x00425350:0x004254e7, Perl_hv_iterinit
0x004254f0:0x00425637, Perl_hv_riter_p
0x00425640:0x00425787, Perl_hv_eiter_p
0x00425790:0x004258e7, Perl_hv_riter_set
0x004258f0:0x00425a47, Perl_hv_rand_set
0x00425a50:0x00425ba7, Perl_hv_eiter_set
0x00425bb0:0x00425fa3, Perl_hv_name_set
0x00425fb0:0x004267d2, Perl_hv_undef_flags
0x004267e0:0x00426de3, Perl_hv_ename_add
0x00426df0:0x00427267, Perl_hv_ename_delete
0x00427270:0x004273b7, Perl_hv_backreferences_p
0x004273c0:0x00427421, Perl_hv_kill_backrefs
0x00427430:0x004278a1, Perl_hv_iternext_flags
0x004278b0:0x00427934, Perl_hv_iterkey
0x00427940:0x00427959, Perl_hv_iterkeysv
0x00427960:0x004279d4, Perl_hv_iterval
0x004279e0:0x00427b0c, Perl_hv_iternextsv
0x00427b10:0x00427cea, Perl_unsharepvn
0x00427cf0:0x00427e15, Perl_unshare_hek
0x00427e20:0x00427f54, Perl_share_hek
0x00427f60:0x00427fbb, Perl_hv_placeholders_p
0x00427fc0:0x00427fe7, Perl_hv_placeholders_get
0x00427ff0:0x00428050, Perl_hv_placeholders_set
0x00428050:0x004282cb, Perl_refcounted_he_chain_2hv
0x004282d0:0x00428618, Perl_refcounted_he_fetch_pvn
0x00428620:0x0042865c, Perl_refcounted_he_fetch_pv
0x00428660:0x0042873e, Perl_refcounted_he_fetch_sv
0x00428740:0x00428af8, Perl_refcounted_he_new_pvn
0x00428b00:0x00428b3e, Perl_refcounted_he_new_pv
0x00428b40:0x00428c2e, Perl_refcounted_he_new_sv
0x00428c30:0x00428dad, Perl_refcounted_he_free
0x00428db0:0x00428dbe, Perl_refcounted_he_inc
0x00428dc0:0x00428e24, Perl_cop_fetch_label
0x00428e30:0x00428eae, Perl_cop_store_label
0x00428eb0:0x0042ce8d, Perl_keyword
