0x00402240:0x00402286, __cxx_global_var_init
0x00402290:0x0040229b, _GLOBAL__sub_I_userio.cpp
0x004022a0:0x004022ca, _start
0x004022d0:0x00402302, deregister_tm_clones
0x00402310:0x0040234a, register_tm_clones
0x00402350:0x0040236c, __do_global_dtors_aux
0x00402370:0x00402396, frame_dummy
0x004023a0:0x004023a6, _ZN3pov26Initialize_Atmosphere_CodeEv
0x004023b0:0x004023b6, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x004023c0:0x0040248e, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x00402490:0x00402776, _ZN3povL12do_skysphereEPNS_10Ray_StructEPf
0x00402780:0x004027f9, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00402800:0x00402ec8, _ZN3povL10do_rainbowEPNS_10Ray_StructEPNS_10istk_entryEPf
0x00402ed0:0x00403288, _ZN3povL6do_fogEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00403290:0x00403370, _ZN3pov10Create_FogEv
0x00403370:0x004033be, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x004033c0:0x0040343a, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403440:0x00403556, _ZN3pov14Create_RainbowEv
0x00403560:0x00403596, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x004035a0:0x004035f0, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x004035f0:0x0040364e, _ZN3pov16Create_SkysphereEv
0x00403650:0x0040373e, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x00403740:0x004037f1, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403800:0x0040383f, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x00403840:0x00403883, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00403890:0x004038cf, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x004038d0:0x0040390f, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x00403910:0x00403c46, _ZN3povL10ground_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403c50:0x00403dae, _ZN3povL12constant_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403db0:0x00403e16, _ZN3pov13Assign_ColourEPfS0_
0x00403e20:0x00403e88, _ZN3pov12Make_ColourAEPffffff
0x00403e90:0x00403ed2, _ZN3pov11Make_VectorEPdddd
0x00403ee0:0x00403f44, _ZN3pov15CRGBAddScaledEqEPffPKf
0x00403f50:0x00403fd0, _ZN3pov12VEvaluateRayEPdPKddS2_
0x00403fd0:0x00404064, _ZN3pov9VLinComb2EPddPKddS2_
0x00404070:0x004040c6, _ZN3pov4VDotERdPKdS2_
0x004040d0:0x004040e5, _ZN3pov3SqrEd
0x004040f0:0x00404164, _ZN3pov5VHalfEPdPKdS2_
0x00404170:0x004041c0, _ZN3pov11VEvaluateEqEPdPKd
0x004041c0:0x00404201, _ZSt3minIdERKT_S2_S2_
0x00404210:0x00404251, _ZSt3maxIdERKT_S2_S2_
0x00404260:0x004042b8, _ZN3pov11Make_ColourEPffff
0x004042c0:0x00404302, _ZN3pov13Assign_VectorEPdS0_
0x00404310:0x0040432c, _ZSt4fabsf
0x00404330:0x00404348, _ZN3pov20Initialize_BBox_CodeEv
0x00404350:0x004043dc, _ZN3pov21Create_Priority_QueueEj
0x004043e0:0x0040440e, _ZN3pov22Deinitialize_BBox_CodeEv
0x00404410:0x0040447b, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00404480:0x00404553, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x00404560:0x004048d9, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x004048e0:0x00404c59, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00404c60:0x00404f08, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x00404f10:0x00405309, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00405310:0x004053eb, _ZN3povL16create_bbox_nodeEi
0x004053f0:0x004055df, _ZN3povL9calc_bboxEPNS_19Bounding_Box_StructEPPNS_16BBox_Tree_StructEll
0x004055e0:0x00405a04, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x00405a10:0x00405a3e, _ZN3pov22Destroy_Bounding_SlabsEv
0x00405a40:0x00405ce2, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x00405cf0:0x00405e53, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00405e60:0x004063bd, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x004063c0:0x00406599, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x004065a0:0x004067b8, _ZN3povL21priority_queue_insertEPNS_21Priority_Queue_StructEdPNS_16BBox_Tree_StructE
0x004067c0:0x00406a28, _ZN3povL9find_axisEPPNS_16BBox_Tree_StructEll
0x00406a30:0x00406b28, _ZN3povL9compboxesEPKvS1_
0x00406b30:0x00406db3, _ZN3povL16build_area_tableEPPNS_16BBox_Tree_StructEllPd
0x00406dc0:0x00406e0e, _ZN3pov16Assign_BBox_VectERA3_dPf
0x00406e10:0x00406ebd, _ZN3pov22Make_BBox_from_min_maxERNS_19Bounding_Box_StructEPdS2_
0x00406ec0:0x00406ed8, _ZN3pov16Increase_CounterERx
0x00406ee0:0x00406f5b, _ZN3pov9Make_BBoxERNS_19Bounding_Box_StructEffffff
0x00406f60:0x00406fc0, _ZN3pov4VSubEPdPKdS2_
0x00406fc0:0x00407296, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x004072a0:0x0040765e, _ZN3povL24intersect_bound_elementsEPNS_11BCyl_StructEPdS2_
0x00407660:0x00407b76, _ZN3povL24intersect_thick_cylinderEPNS_11BCyl_StructEPNS_17BCyl_Entry_StructEPd
0x00407b80:0x00407c85, _ZN3povL10insert_hitEPNS_24BCyl_Intersection_StructES1_Pi
0x00407c90:0x00408411, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x00408420:0x00408542, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x00408550:0x00408643, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00408650:0x0040865b, _ZN3pov21Get_Benchmark_VersionEv
0x00408660:0x004087c6, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x004087d0:0x004089a5, _ZN3povL12find_averageEiPA3_dPdS2_
0x004089b0:0x00408a96, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x00408aa0:0x00409229, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00409230:0x0040941b, _ZN3pov20Create_Bicubic_PatchEv
0x00409420:0x0040963a, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x00409640:0x00409687, _ZN3povL22create_new_bezier_nodeEv
0x00409690:0x004098e1, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x004098f0:0x00409960, _ZN3povL11flat_enoughEPNS_20Bicubic_Patch_StructEPA4_A4_A3_d
0x00409960:0x0040999b, _ZN3povL26create_bezier_vertex_blockEv
