0x004021b0:0x004021d0, __cxx_global_var_init
0x004021d0:0x004021d2, _GLOBAL__sub_I_userio.cpp
0x004021e0:0x0040220a, _start
0x00402210:0x00402242, deregister_tm_clones
0x00402250:0x0040228a, register_tm_clones
0x00402290:0x004022ac, __do_global_dtors_aux
0x004022b0:0x004022d6, frame_dummy
0x004022e0:0x004022e1, _ZN3pov26Initialize_Atmosphere_CodeEv
0x004022f0:0x004022f1, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x00402300:0x00402366, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x00402370:0x0040258f, _ZN3povL12do_skysphereEPNS_10Ray_StructEPf
0x00402590:0x004025fc, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00402600:0x00402ad2, _ZN3povL10do_rainbowEPNS_10Ray_StructEPNS_10istk_entryEPf
0x00402ae0:0x00402d55, _ZN3povL6do_fogEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00402d60:0x00402de6, _ZN3pov10Create_FogEv
0x00402df0:0x00402e41, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x00402e50:0x00402e8e, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00402e90:0x00402f35, _ZN3pov14Create_RainbowEv
0x00402f40:0x00402f7e, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00402f80:0x00402faa, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x00402fb0:0x00402fe9, _ZN3pov16Create_SkysphereEv
0x00402ff0:0x0040308a, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x00403090:0x0040310a, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403110:0x00403140, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x00403140:0x0040316d, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00403170:0x004031a0, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
