0x004022c0:0x004022f5, _GLOBAL__sub_I_userio.cpp
0x00402300:0x0040232a, _start
0x00402330:0x00402362, deregister_tm_clones
0x00402370:0x004023aa, register_tm_clones
0x004023b0:0x004023cc, __do_global_dtors_aux
0x004023d0:0x004023f6, frame_dummy
0x00402400:0x00402401, _ZN3pov26Initialize_Atmosphere_CodeEv
0x00402410:0x00402411, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x00402420:0x004026b6, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x004026c0:0x004031cf, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x004031d0:0x00403231, _ZN3pov10Create_FogEv
0x00403240:0x004032e7, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x004032f0:0x0040332e, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403330:0x004033b1, _ZN3pov14Create_RainbowEv
0x004033c0:0x00403477, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00403480:0x004034aa, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x004034b0:0x004034e9, _ZN3pov16Create_SkysphereEv
0x004034f0:0x004035aa, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x004035b0:0x0040362a, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403630:0x00403669, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x00403670:0x0040369e, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x004036a0:0x004036d9, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x004036e0:0x00403719, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x00403720:0x00403770, _ZN3pov20Initialize_BBox_CodeEv
0x00403770:0x004037c2, _ZN3pov21Create_Priority_QueueEj
0x004037d0:0x00403817, _ZN3pov22Deinitialize_BBox_CodeEv
0x00403820:0x00403859, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00403860:0x004038da, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x004038e0:0x00403d4b, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00403d50:0x004041bb, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x004041c0:0x00404630, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x00404630:0x00404df6, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00404e00:0x00405168, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x00405170:0x0040518f, _ZN3pov22Destroy_Bounding_SlabsEv
0x00405190:0x00405546, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x00405550:0x00405630, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00405630:0x004059ca, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x004059d0:0x00405ab9, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x00405ac0:0x00405b1a, _ZN3povL9compboxesEPKvS1_
0x00405b20:0x0040647c, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x00406480:0x00406d87, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x00406d90:0x00406e49, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x00406e50:0x00406ec0, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00406ec0:0x00406ec6, _ZN3pov21Get_Benchmark_VersionEv
0x00406ed0:0x004075eb, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x004075f0:0x0040767c, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x00407680:0x00407aa0, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00407aa0:0x00407b6a, _ZN3pov20Create_Bicubic_PatchEv
0x00407b70:0x00407f7d, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x00407f80:0x00408454, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x00408460:0x00408e53, _ZN3povL11flat_enoughEPNS_20Bicubic_Patch_StructEPA4_A4_A3_d
0x00408e60:0x00409069, _ZN3povL20bezier_split_up_downEPA4_A4_A3_dS3_S3_
0x00409070:0x00409267, _ZN3povL23bezier_split_left_rightEPA4_A4_A3_dS3_S3_
0x00409270:0x004092f8, _ZN3povL31All_Bicubic_Patch_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00409300:0x00409303, _ZN3povL20Inside_Bicubic_PatchEPdPNS_13Object_StructE
0x00409310:0x00409328, _ZN3povL20Bicubic_Patch_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00409330:0x00409340, _ZN3povL21Bicubic_Patch_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x00409340:0x004097f6, _ZN3povL18Copy_Bicubic_PatchEPNS_13Object_StructE
0x00409800:0x00409bf2, _ZN3povL23Translate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00409c00:0x00409c08, _ZN3povL20Rotate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00409c10:0x0040a002, _ZN3povL19Scale_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040a010:0x0040a151, _ZN3povL23Transform_Bicubic_PatchEPNS_13Object_StructEPNS_16Transform_StructE
0x0040a160:0x0040a161, _ZN3povL20Invert_Bicubic_PatchEPNS_13Object_StructE
0x0040a170:0x0040a1c4, _ZN3povL21Destroy_Bicubic_PatchEPNS_13Object_StructE
0x0040a1d0:0x0040a611, _ZN3povL18bezier_tree_walkerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_18Bezier_Node_StructEPNS_13istack_structE
