0x004021f0:0x0040221a, _start
0x00402220:0x00402252, deregister_tm_clones
0x00402260:0x0040229a, register_tm_clones
0x004022a0:0x004022bc, __do_global_dtors_aux
0x004022c0:0x004022e6, frame_dummy
0x004022e6:0x004022ed, _ZN3pov26Initialize_Atmosphere_CodeEv
0x004022ed:0x004022f4, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x004022f4:0x004023d0, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x004023d0:0x00402472, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00402472:0x0040285e, _ZN3povL6do_fogEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x0040285e:0x00402fd4, _ZN3povL10do_rainbowEPNS_10Ray_StructEPNS_10istk_entryEPf
0x00402fd4:0x00403360, _ZN3povL12do_skysphereEPNS_10Ray_StructEPf
0x00403360:0x00403503, _ZN3povL12constant_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403503:0x00403930, _ZN3povL10ground_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403930:0x00403a0d, _ZN3pov10Create_FogEv
0x00403a0d:0x00403ab1, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x00403ab1:0x00403b18, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403b18:0x00403c39, _ZN3pov14Create_RainbowEv
0x00403c39:0x00403c6d, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00403c6d:0x00403cb4, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x00403cb4:0x00403d05, _ZN3pov16Create_SkysphereEv
0x00403d05:0x00403df8, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x00403df8:0x00403e9e, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403e9e:0x00403f0f, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x00403f0f:0x00403f80, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x00403f80:0x00403ff1, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x00403ff1:0x00404038, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00404038:0x00404081, _ZN3pov13Assign_VectorEPdS0_
0x00404081:0x004040f4, _ZN3pov13Assign_ColourEPfS0_
0x004040f4:0x00404161, _ZN3pov11Make_ColourEPffff
0x00404161:0x004041d6, _ZN3pov12Make_ColourAEPffffff
0x004041d6:0x0040421f, _ZN3pov11Make_VectorEPdddd
0x0040421f:0x0040428e, _ZN3pov4VDotERdPKdS2_
0x0040428e:0x00404309, _ZN3pov11VEvaluateEqEPdPKd
0x00404309:0x0040431e, _ZN3pov3SqrEd
0x0040431e:0x004043c1, _ZN3pov5VHalfEPdPKdS2_
0x004043c1:0x00404468, _ZN3pov9VLinComb2EPddPKddS2_
0x00404468:0x004044fb, _ZN3pov12VEvaluateRayEPdPKddS2_
0x004044fb:0x0040458a, _ZN3pov15CRGBAddScaledEqEPffPKf
0x0040458a:0x004045b8, _ZSt3maxIdERKT_S2_S2_
0x004045b8:0x004045e6, _ZSt3minIdERKT_S2_S2_
0x004045e6:0x004045fe, _ZN3pov20Initialize_BBox_CodeEv
0x004045fe:0x0040462b, _ZN3pov22Deinitialize_BBox_CodeEv
0x0040462b:0x00404696, _ZN3pov21Create_Priority_QueueEj
0x00404696:0x004046f0, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x004046f0:0x004047b1, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x004047b1:0x00404ae2, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00404ae2:0x00404e13, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00404e13:0x004050b4, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x004050b4:0x004054a7, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x004054a7:0x004054d4, _ZN3pov22Destroy_Bounding_SlabsEv
0x004054d4:0x004057b3, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x004057b3:0x004059c2, _ZN3povL21priority_queue_insertEPNS_21Priority_Queue_StructEdPNS_16BBox_Tree_StructE
0x004059c2:0x00405bc4, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x00405bc4:0x004060c3, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x004060c3:0x00406266, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00406266:0x0040631d, _ZN3povL16create_bbox_nodeEi
0x0040631d:0x004063fc, _ZN3povL9compboxesEPKvS1_
0x004063fc:0x004066b2, _ZN3povL9find_axisEPPNS_16BBox_Tree_StructEll
0x004066b2:0x004068cc, _ZN3povL9calc_bboxEPNS_19Bounding_Box_StructEPPNS_16BBox_Tree_StructEll
0x004068cc:0x00406b9c, _ZN3povL16build_area_tableEPPNS_16BBox_Tree_StructEllPd
0x00406b9c:0x00406f73, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00406f73:0x00406fc8, _ZN3pov16Assign_BBox_VectERA3_dPf
0x00406fc8:0x00407044, _ZN3pov9Make_BBoxERNS_19Bounding_Box_StructEffffff
0x00407044:0x00407110, _ZN3pov22Make_BBox_from_min_maxERNS_19Bounding_Box_StructEPdS2_
0x00407110:0x0040712d, _ZN3pov16Increase_CounterERx
0x0040712d:0x004071ac, _ZN3pov4VSubEPdPKdS2_
0x004071ac:0x00407818, _ZN3povL24intersect_thick_cylinderEPNS_11BCyl_StructEPNS_17BCyl_Entry_StructEPd
0x00407818:0x00407c5f, _ZN3povL24intersect_bound_elementsEPNS_11BCyl_StructEPdS2_
0x00407c5f:0x00407dd1, _ZN3povL10insert_hitEPNS_24BCyl_Intersection_StructES1_Pi
0x00407dd1:0x004080b7, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x004080b7:0x004088c5, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x004088c5:0x004089d6, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x004089d6:0x00408ab4, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00408ab4:0x00408abf, _ZN3pov21Get_Benchmark_VersionEv
0x00408abf:0x00408af6, _ZN3povL22create_new_bezier_nodeEv
0x00408af6:0x00408b21, _ZN3povL26create_bezier_vertex_blockEv
0x00408b21:0x00408b4c, _ZN3povL25create_bezier_child_blockEv
0x00408b4c:0x00409418, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00409418:0x00409b70, _ZN3povL12bezier_valueEPA4_A4_A3_dddPdS4_
0x00409b70:0x00409d23, _ZN3povL15subpatch_normalEPdS0_S0_S0_S0_
0x00409d23:0x0040a4a2, _ZN3povL18intersect_subpatchEPNS_20Bicubic_Patch_StructEPNS_10Ray_StructEPA3_dPdS6_S6_S6_S6_S6_S6_
0x0040a4a2:0x0040a6f0, _ZN3povL12find_averageEiPA3_dPdS2_
0x0040a6f0:0x0040a819, _ZN3povL22spherical_bounds_checkEPNS_10Ray_StructEPdd
0x0040a819:0x0040ab33, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x0040ab33:0x0040ad0d, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x0040ad0d:0x0040adc5, _ZN3povL20point_plane_distanceEPdS0_S0_
