0x00402520:0x00402540, _ZN21POVMS_MessageReceiver17FunctionHandlerOO4CallER13POVMS_MessageS2_i.part.0
0x00402540:0x00402560, _ZN8pov_base11OTextStreamC2EPKcjb.part.2
0x00402560:0x00402a66, main
0x00402a70:0x00402aab, _GLOBAL__sub_I__ZN3pov20Debug_Message_BufferE
0x00402ab0:0x00402ada, _start
0x00402ae0:0x00402b12, deregister_tm_clones
0x00402b20:0x00402b5a, register_tm_clones
0x00402b60:0x00402b7c, __do_global_dtors_aux
0x00402b80:0x00402ba6, frame_dummy
0x00402bb0:0x00402bb2, _ZN3pov26Initialize_Atmosphere_CodeEv
0x00402bc0:0x00402bc2, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x00402bd0:0x00402efe, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x00402f00:0x00403bdf, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00403be0:0x00403c6a, _ZN3pov10Create_FogEv
0x00403c70:0x00403cff, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x00403d00:0x00403d42, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403d50:0x00403df5, _ZN3pov14Create_RainbowEv
0x00403e00:0x00403e19, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00403e20:0x00403e52, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x00403e60:0x00403e99, _ZN3pov16Create_SkysphereEv
0x00403ea0:0x00403f52, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x00403f60:0x00403fe2, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403ff0:0x00404033, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00404040:0x00404092, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
