0x000041b0:0x000041da, _start
0x000041e0:0x00004212, deregister_tm_clones
0x00004220:0x00004262, register_tm_clones
0x00004270:0x000042a2, __do_global_dtors_aux
0x000042b0:0x000042e0, frame_dummy
0x000042e0:0x000046d4, main
0x000046f0:0x00004709, die_unless_privileged
0x00004710:0x000047e2, do_sanity_checks
0x000047f0:0x000048e0, session_init
0x000048e0:0x00004900, env_init
0x00004900:0x0000491d, limits_init
0x00004920:0x00004926, die
0x00004940:0x00004990, bug
0x00004990:0x000049d9, die2
0x000049e0:0x000049fd, vsf_exit
0x00004a00:0x00004a69, init_connection
0x00004a70:0x00004b7d, check_limits
0x00004b80:0x00004be5, emit_greeting
0x00004bf0:0x00004df9, parse_username_password
0x00004e00:0x00004fe3, handle_user_command
0x00004ff0:0x00005072, handle_pass_command
0x00005080:0x000050d5, handle_get
0x000050e0:0x0000510e, check_login_fails
0x00005110:0x0000512a, check_login_delay
0x00005130:0x00005147, vsf_cmdio_sock_setup
0x00005150:0x00005157, vsf_cmdio_write
0x00005160:0x0000519b, ftp_write_text_common
0x000051a0:0x000051a7, vsf_cmdio_write_hyphen
0x000051b0:0x00005207, vsf_cmdio_write_raw
0x00005210:0x00005256, vsf_cmdio_write_exit
0x00005260:0x0000526d, vsf_cmdio_write_str_hyphen
0x00005270:0x00005369, ftp_write_str_common
0x00005370:0x00005380, vsf_cmdio_write_str
0x00005380:0x000053b3, vsf_cmdio_set_alarm
0x000053c0:0x000053d7, handle_alarm_timeout
0x000053e0:0x0000550b, vsf_cmdio_get_cmd_and_arg
0x00005510:0x000055bd, control_getline
0x000055c0:0x000064d0, process_post_login
0x000064d0:0x00006655, handle_http
0x00006660:0x0000671a, handle_sigurg
0x00006720:0x0000679a, handle_pwd
0x000067a0:0x00006810, handle_cwd
0x00006810:0x00006830, handle_cdup
0x00006830:0x00006a73, handle_pasv
0x00006a80:0x00006de4, handle_retr
0x00006df0:0x00006e56, handle_help
0x00006e60:0x00006e6c, handle_list
0x00006e70:0x00006f2d, handle_type
0x00006f30:0x00007029, handle_port
0x00007030:0x00007039, handle_stor
0x00007040:0x00007150, handle_mkd
0x00007150:0x000071e6, handle_rmd
0x000071f0:0x00007286, handle_dele
0x00007290:0x000072f6, handle_rest
0x00007300:0x000073d1, handle_rnfr
0x000073e0:0x000074e8, handle_rnto
0x000074f0:0x000074f9, handle_nlst
0x00007500:0x000075a1, handle_size
0x000075b0:0x0000769d, handle_site
0x000076a0:0x000076ac, handle_appe
0x000076b0:0x000078b3, handle_mdtm
0x000078c0:0x00007ab6, handle_eprt
0x00007ac0:0x00007acc, handle_stou
0x00007ad0:0x00007cae, handle_stat
0x00007cb0:0x00007cbf, handle_stat_file
0x00007cc0:0x00007d0a, handle_logged_in_user
0x00007d10:0x00007d21, handle_logged_in_pass
0x00007d30:0x00007e3f, resolve_tilde
0x00007e40:0x00007e56, pasv_cleanup
0x00007e60:0x00007e69, port_cleanup
0x00007e70:0x00007eed, data_transfer_checks_ok
0x00007ef0:0x00007f8a, prepend_path_to_filename
0x00007f90:0x0000801e, get_remote_transfer_fd
0x00008020:0x00008045, check_abor
0x00008050:0x0000809b, pasv_active
0x000080a0:0x000080ca, port_active
0x000080d0:0x0000841d, handle_dir_common
0x00008420:0x00008784, handle_upload_common
0x00008790:0x00008849, get_unique_filename
0x00008850:0x00008966, handle_site_chmod
0x00008970:0x000089f2, handle_site_umask
0x00008a00:0x00008a45, priv_sock_init
0x00008a50:0x00008a8a, priv_sock_close
0x00008a90:0x00008ac0, priv_sock_set_parent_context
0x00008ac0:0x00008af0, priv_sock_set_child_context
0x00008af0:0x00008b18, priv_sock_send_cmd
0x00008b20:0x00008b53, priv_sock_send_str
0x00008b60:0x00008b87, priv_sock_send_int
0x00008b90:0x00008bcb, priv_sock_send_buf
0x00008bd0:0x00008c2e, priv_sock_recv_buf
0x00008c30:0x00008c57, priv_sock_get_int
0x00008c60:0x00008c87, priv_sock_get_result
0x00008c90:0x00008cb7, priv_sock_get_cmd
0x00008cc0:0x00008d1f, priv_sock_get_str
0x00008d20:0x00008d48, priv_sock_send_result
0x00008d50:0x00008d55, priv_sock_send_fd
0x00008d60:0x00008d65, priv_sock_recv_fd
0x00008d70:0x0000935d, tunables_load_defaults
0x00009360:0x00009393, install_str_setting
0x000093a0:0x000094ab, vsf_ftpdataio_dispose_transfer_fd
0x000094b0:0x000094f5, start_data_alarm
0x00009500:0x00009567, vsf_ftpdataio_get_pasv_fd
0x00009570:0x000095bf, init_data_sock_params
0x000095c0:0x00009627, vsf_ftpdataio_get_port_fd
0x00009630:0x000096dd, vsf_ftpdataio_post_mark_connect
0x000096e0:0x000096e2, vsf_ftpdataio_transfer_dir
0x000096f0:0x00009979, transfer_dir_internal
0x00009980:0x000099fd, vsf_ftpdataio_transfer_file
