0x00004270:0x0000429a, _start
0x000042a0:0x000042d2, deregister_tm_clones
0x000042e0:0x00004322, register_tm_clones
0x00004330:0x00004362, __do_global_dtors_aux
0x00004370:0x000043a0, frame_dummy
0x000043a0:0x000049be, main
0x000049d5:0x00004a30, bug
0x00004a32:0x00004a3b, die
0x00004a4a:0x00004aa9, die2
0x00004aaf:0x00004ad1, vsf_exit
0x00004ad3:0x00004b08, check_login_fails
0x00004b08:0x00004b8b, handle_pass_command
0x00004b8b:0x00005196, init_connection
0x00005196:0x000052a6, ftp_write_str_common
0x000052a6:0x000052ca, handle_alarm_timeout
0x000052ca:0x000052f1, vsf_cmdio_sock_setup
0x000052f1:0x00005328, vsf_cmdio_write
0x00005328:0x0000535f, vsf_cmdio_write_hyphen
0x0000535f:0x000053b2, vsf_cmdio_write_raw
0x000053b2:0x000053fa, vsf_cmdio_write_exit
0x00005405:0x0000541b, vsf_cmdio_write_str_hyphen
0x0000541b:0x00005431, vsf_cmdio_write_str
0x00005431:0x00005468, vsf_cmdio_set_alarm
0x00005468:0x00005657, vsf_cmdio_get_cmd_and_arg
0x00005657:0x00005685, check_abor
0x00005685:0x00005771, handle_sigurg
0x00005771:0x00005897, resolve_tilde
0x00005897:0x0000591e, handle_cwd
0x0000591e:0x0000593c, pasv_cleanup
0x0000593c:0x00005bbb, handle_pasv
0x00005bbb:0x00005c02, pasv_active
0x00005c02:0x00005c3b, port_active
0x00005c3b:0x00005ceb, data_transfer_checks_ok
0x00005ceb:0x00005d84, prepend_path_to_filename
0x00005d84:0x00005e1b, get_remote_transfer_fd
0x00005e1b:0x0000628e, handle_upload_common
0x0000628e:0x00006626, handle_dir_common
0x00006626:0x000069c5, handle_retr
0x000069c5:0x00008a85, process_post_login
0x00008a85:0x00008aca, priv_sock_init
0x00008aca:0x00008b04, priv_sock_close
0x00008b04:0x00008b34, priv_sock_set_parent_context
0x00008b34:0x00008b64, priv_sock_set_child_context
0x00008b64:0x00008b92, priv_sock_send_cmd
0x00008b92:0x00008bc0, priv_sock_get_result
0x00008bc0:0x00008bee, priv_sock_get_cmd
0x00008bee:0x00008c1c, priv_sock_send_result
0x00008c1c:0x00008c2a, priv_sock_send_fd
0x00008c2a:0x00008c38, priv_sock_recv_fd
0x00008c38:0x00008c65, priv_sock_send_int
0x00008c65:0x00008c97, priv_sock_send_str
0x00008c97:0x00008cce, priv_sock_send_buf
0x00008cce:0x00008cfb, priv_sock_get_int
0x00008cfb:0x00008d50, priv_sock_recv_buf
0x00008d50:0x00008da2, priv_sock_get_str
0x00008da2:0x00008dd6, install_str_setting
0x00008dd6:0x00009405, tunables_load_defaults
0x00009405:0x0000942a, get_chunk_size
0x0000942a:0x00009470, start_data_alarm
0x00009470:0x000094b0, handle_sigalrm
0x000094b0:0x00009503, init_data_sock_params
0x00009503:0x000095fa, handle_io
0x000095fa:0x000099fc, transfer_dir_internal
0x000099fc:0x00009aff, vsf_ftpdataio_dispose_transfer_fd
0x00009aff:0x00009b74, vsf_ftpdataio_get_pasv_fd
0x00009b74:0x00009bdb, vsf_ftpdataio_get_port_fd
0x00009bdb:0x00009c8e, vsf_ftpdataio_post_mark_connect
0x00009c8e:0x00009ca1, vsf_ftpdataio_transfer_dir
0x00009ca1:0x00009fb7, vsf_ftpdataio_transfer_file
0x00009fb7:0x00009ff3, vsf_secbuf_free
0x00009ff3:0x0000a0c7, vsf_secbuf_alloc
0x0000a0c7:0x0000a4b9, vsf_filename_passes_filter
0x0000a4b9:0x0000ab3f, vsf_ls_populate_dir_list
0x0000ab3f:0x0000ad9c, vsf_priv_parent_postlogin
0x0000ada1:0x0000ae00, vsf_log_do_log_to_file
0x0000ae00:0x0000b20c, vsf_log_do_log_vsftpd_format
0x0000b20c:0x0000b4eb, vsf_log_common
0x0000b4eb:0x0000b5dd, vsf_log_init
0x0000b5dd:0x0000b65b, vsf_log_start_entry
0x0000b65b:0x0000b673, vsf_log_line
0x0000b673:0x0000b682, vsf_log_entry_pending
0x0000b682:0x0000b68e, vsf_log_clear_entry
0x0000b68e:0x0000b6b1, vsf_log_do_log
0x0000b6b1:0x0000b732, private_str_append_memchunk
0x0000b732:0x0000b75a, str_free
0x0000b75a:0x0000b7d3, private_str_alloc_memchunk
0x0000b7d3:0x0000b7fb, str_alloc_text
0x0000b7fb:0x0000b814, str_alloc_ulong
0x0000b814:0x0000b82d, str_alloc_filesize_t
0x0000b82d:0x0000b841, str_copy
0x0000b841:0x0000b89c, str_alloc_alt_term
0x0000b89c:0x0000b8cc, str_trunc
0x0000b8cc:0x0000b914, str_reserve
0x0000b914:0x0000b91f, str_isempty
0x0000b91f:0x0000b923, str_getlen
0x0000b923:0x0000b957, str_getbuf
0x0000b957:0x0000b96d, str_strdup
0x0000b96d:0x0000b985, str_empty
0x0000b985:0x0000b9b6, str_strcmp
0x0000b9b6:0x0000b9cc, str_equal
0x0000b9cc:0x0000ba1f, str_equal_text
0x0000ba1f:0x0000ba33, str_append_str
0x0000ba33:0x0000ba5b, str_append_text
0x0000ba5b:0x0000ba78, str_append_char
0x0000ba78:0x0000ba91, str_append_ulong
0x0000ba91:0x0000baaa, str_append_filesize_t
0x0000baaa:0x0000bac0, str_append_double
0x0000bac0:0x0000baf2, str_upper
0x0000baf2:0x0000bb22, str_rpad
0x0000bb22:0x0000bb81, str_lpad
0x0000bb81:0x0000bba2, str_replace_char
0x0000bba2:0x0000bc3a, str_locate_chars
0x0000bc3a:0x0000bcd9, str_locate_text
0x0000bcd9:0x0000bcfa, str_locate_str
0x0000bcfa:0x0000bd17, str_locate_char
0x0000bd17:0x0000bdb1, str_locate_text_reverse
0x0000bdb1:0x0000be56, str_split_text_common
0x0000be56:0x0000be69, str_split_text
0x0000be69:0x0000bef3, str_replace_text
0x0000bef3:0x0000bf0c, str_split_char
0x0000bf0c:0x0000bf1f, str_split_text_reverse
0x0000bf1f:0x0000bf38, str_split_char_reverse
0x0000bf38:0x0000bf59, str_locate_str_reverse
0x0000bf59:0x0000bf88, str_left
0x0000bf88:0x0000bfcc, str_right
0x0000bfcc:0x0000c001, str_mid_to_end
0x0000c001:0x0000c02e, str_get_char_at
0x0000c02e:0x0000c071, str_contains_space
0x0000c071:0x0000c0b4, str_all_space
0x0000c0b4:0x0000c0fc, str_contains_unprintable
0x0000c0fc:0x0000c112, str_atoi
0x0000c112:0x0000c128, str_a_to_filesize_t
0x0000c128:0x0000c13e, str_octal_to_uint
0x0000c13e:0x0000c205, str_getline
0x0000c205:0x0000c25b, str_contains_line
0x0000c25b:0x0000c2a7, str_replace_unprintable
0x0000c2a7:0x0000c437, str_netfd_alloc
