0x000042b0:0x000049fb, main
0x00004a00:0x00004a2a, _start
0x00004a30:0x00004a62, deregister_tm_clones
0x00004a70:0x00004ab2, register_tm_clones
0x00004ac0:0x00004af2, __do_global_dtors_aux
0x00004b00:0x00004b30, frame_dummy
0x00004b30:0x00004b7f, die
0x00004b90:0x00004c54, die2
0x00004c60:0x00004cb0, bug
0x00004cb0:0x00004ccd, vsf_exit
0x00004cd0:0x00005495, init_connection
0x000054a0:0x000055e3, ftp_write_str_common
0x000055f0:0x0000560d, handle_alarm_timeout
0x00005610:0x0000562d, vsf_cmdio_sock_setup
0x00005630:0x00005764, vsf_cmdio_write
0x00005770:0x000058a4, vsf_cmdio_write_hyphen
0x000058b0:0x0000590e, vsf_cmdio_write_raw
0x00005910:0x00005971, vsf_cmdio_write_exit
0x00005980:0x00005a98, vsf_cmdio_write_str_hyphen
0x00005aa0:0x00005bb8, vsf_cmdio_write_str
0x00005bc0:0x00005bfc, vsf_cmdio_set_alarm
0x00005c00:0x00005ef9, vsf_cmdio_get_cmd_and_arg
0x00005f00:0x00005ff8, handle_sigurg
0x00006000:0x0000611f, resolve_tilde
0x00006120:0x000063f8, handle_pasv
0x00006400:0x000064b0, pasv_active
0x000064c0:0x00006717, data_transfer_checks_ok
0x00006720:0x00006a67, get_remote_transfer_fd
0x00006a70:0x00006eb8, handle_dir_common
0x00006ec0:0x000074b6, handle_retr
0x000074c0:0x00007ac6, handle_upload_common
0x00007ad0:0x0000a34d, process_post_login
0x0000a350:0x0000a395, priv_sock_init
0x0000a3a0:0x0000a3da, priv_sock_close
0x0000a3e0:0x0000a40c, priv_sock_set_parent_context
0x0000a420:0x0000a44c, priv_sock_set_child_context
0x0000a460:0x0000a48e, priv_sock_send_cmd
0x0000a490:0x0000a4e7, priv_sock_send_str
0x0000a4f0:0x0000a54c, priv_sock_send_buf
0x0000a560:0x0000a5ec, priv_sock_recv_buf
0x0000a5f0:0x0000a61e, priv_sock_get_result
0x0000a620:0x0000a64e, priv_sock_get_cmd
0x0000a650:0x0000a6d1, priv_sock_get_str
0x0000a6e0:0x0000a70e, priv_sock_send_result
0x0000a710:0x0000a715, priv_sock_send_fd
0x0000a720:0x0000a725, priv_sock_recv_fd
0x0000a730:0x0000a75d, priv_sock_send_int
0x0000a760:0x0000a78d, priv_sock_get_int
0x0000a790:0x0000af79, tunables_load_defaults
0x0000af80:0x0000b393, transfer_dir_internal
0x0000b3a0:0x0000b4a0, handle_io
0x0000b4a0:0x0000b529, handle_sigalrm
0x0000b530:0x0000b73f, vsf_ftpdataio_dispose_transfer_fd
0x0000b740:0x0000b85e, vsf_ftpdataio_get_pasv_fd
0x0000b860:0x0000b966, vsf_ftpdataio_get_port_fd
0x0000b970:0x0000ba39, vsf_ftpdataio_post_mark_connect
0x0000ba50:0x0000ba55, vsf_ftpdataio_transfer_dir
0x0000ba60:0x0000bef6, vsf_ftpdataio_transfer_file
0x0000bf00:0x0000bff8, vsf_secbuf_alloc
0x0000c000:0x0000c042, vsf_secbuf_free
0x0000c050:0x0000c420, vsf_filename_passes_filter
0x0000c420:0x0000cbb5, vsf_ls_populate_dir_list
0x0000cbc0:0x0000ce22, vsf_priv_parent_postlogin
0x0000ce30:0x0000d354, vsf_log_do_log_vsftpd_format
0x0000d360:0x0000d4a3, vsf_log_init
0x0000d4b0:0x0000d53f, vsf_log_start_entry
0x0000d540:0x0000d8f8, vsf_log_line
0x0000d900:0x0000d90e, vsf_log_entry_pending
0x0000d910:0x0000d91c, vsf_log_clear_entry
0x0000d920:0x0000dcf8, vsf_log_do_log
0x0000dd00:0x0000dd9c, private_str_alloc_memchunk
0x0000ddb0:0x0000de4c, private_str_append_memchunk
0x0000de60:0x0000defc, str_alloc_text
0x0000df00:0x0000df9c, str_copy
0x0000dfb0:0x0000e066, str_strdup
0x0000e070:0x0000e13c, str_alloc_alt_term
0x0000e150:0x0000e1fc, str_alloc_ulong
0x0000e210:0x0000e2bc, str_alloc_filesize_t
0x0000e2d0:0x0000e2f8, str_free
0x0000e300:0x0000e3d6, str_empty
0x0000e3e0:0x0000e40e, str_trunc
0x0000e410:0x0000e464, str_reserve
