0x004016a0:0x004016ca, _start
0x004016d0:0x00401702, deregister_tm_clones
0x00401710:0x0040174a, register_tm_clones
0x00401750:0x0040176c, __do_global_dtors_aux
0x00401770:0x00401796, frame_dummy
0x004017a0:0x004017f9, x264_plane_copy_c
0x00401800:0x0040199e, x264_frame_init_lowres
0x004019a0:0x00401ae1, x264_mc_init
0x00401af0:0x00401c00, mc_luma
0x00401c00:0x00401cf9, get_ref
0x00401d00:0x00401de6, mc_chroma
0x00401df0:0x00401e1d, pixel_avg_16x16
0x00401e20:0x00401e4d, pixel_avg_16x8
0x00401e50:0x00401e7d, pixel_avg_8x16
0x00401e80:0x00401ead, pixel_avg_8x8
0x00401eb0:0x00401edd, pixel_avg_8x4
0x00401ee0:0x00401f0d, pixel_avg_4x8
0x00401f10:0x00401f3d, pixel_avg_4x4
0x00401f40:0x00401f6d, pixel_avg_4x2
0x00401f70:0x00401f9d, pixel_avg_2x4
0x00401fa0:0x00401fcd, pixel_avg_2x2
0x00401fd0:0x00401fdc, x264_weight_cache
0x00401fe0:0x00401fff, mc_copy_w16
0x00402000:0x0040201f, mc_copy_w8
0x00402020:0x0040203f, mc_copy_w4
0x00402040:0x004022b7, hpel_filter
0x004022c0:0x004022c1, prefetch_fenc_null
0x004022d0:0x004022d1, prefetch_ref_null
0x004022e0:0x004022ea, memzero_aligned
0x004022f0:0x0040244c, frame_init_lowres_core
0x00402450:0x004024a9, integral_init4h
0x004024b0:0x00402527, integral_init8h
0x00402530:0x004025ac, integral_init4v
0x004025b0:0x004025d5, integral_init8v
0x004025e0:0x00402647, mbtree_propagate_cost
0x00402650:0x004028ef, x264_frame_filter
0x004028f0:0x00402967, pixel_avg
0x00402970:0x00402a93, mc_weight
0x00402aa0:0x00402af9, mc_copy
0x00402b00:0x00402b10, x264_clip_uint8
0x00402b10:0x00402b88, pixel_avg_wxh
0x00402b90:0x00402e6b, pixel_avg_weight_wxh
0x00402e70:0x00402f6f, mc_weight_w2
0x00402f70:0x0040306f, mc_weight_w4
0x00403070:0x0040316f, mc_weight_w8
0x00403170:0x0040326f, mc_weight_w12
0x00403270:0x0040336f, mc_weight_w16
0x00403370:0x0040346f, mc_weight_w20
0x00403470:0x004034a8, x264_predict_16x16_init
0x004034b0:0x004034dc, predict_16x16_v
0x004034e0:0x00403516, predict_16x16_h
0x00403520:0x0040357c, predict_16x16_dc
0x00403580:0x0040367a, predict_16x16_p
0x00403680:0x004036cc, predict_16x16_dc_left
0x004036d0:0x0040371c, predict_16x16_dc_top
0x00403720:0x00403741, predict_16x16_dc_128
0x00403750:0x00403788, x264_predict_8x8c_init
0x00403790:0x004037b4, predict_8x8c_v
0x004037c0:0x004037ee, predict_8x8c_h
0x004037f0:0x004038ab, predict_8x8c_dc
0x004038b0:0x004039aa, predict_8x8c_p
0x004039b0:0x00403a3b, predict_8x8c_dc_left
0x00403a40:0x00403a94, predict_8x8c_dc_top
0x00403aa0:0x00403ac0, predict_8x8c_dc_128
0x00403ac0:0x00403b27, x264_predict_8x8_init
0x00403b30:0x00403b4f, predict_8x8_v
0x00403b50:0x00403bf0, predict_8x8_h
0x00403bf0:0x00403c74, predict_8x8_dc
0x00403c80:0x00403ee2, predict_8x8_ddl
0x00403ef0:0x00404145, predict_8x8_ddr
0x00404150:0x004043e9, predict_8x8_vr
0x004043f0:0x004046ec, predict_8x8_hd
0x004046f0:0x00404954, predict_8x8_vl
0x00404960:0x00404b3e, predict_8x8_hu
0x00404b40:0x00404b94, predict_8x8_dc_left
0x00404ba0:0x00404bf4, predict_8x8_dc_top
0x00404c00:0x00404c20, predict_8x8_dc_128
0x00404c20:0x00404f7d, predict_8x8_filter
0x00404f80:0x00404fe0, x264_predict_4x4_init
0x00404fe0:0x00404fef, predict_4x4_v
0x00404ff0:0x00405024, predict_4x4_h
0x00405030:0x00405077, predict_4x4_dc
0x00405080:0x00405130, predict_4x4_ddl
0x00405130:0x004051e2, predict_4x4_ddr
0x004051f0:0x004052b5, predict_4x4_vr
0x004052c0:0x00405387, predict_4x4_hd
0x00405390:0x0040544b, predict_4x4_vl
0x00405450:0x004054cb, predict_4x4_hu
0x004054d0:0x004054ff, predict_4x4_dc_left
0x00405500:0x0040552f, predict_4x4_dc_top
0x00405530:0x0040554c, predict_4x4_dc_128
0x00405550:0x00405560, x264_clip_uint8_0
0x00405560:0x00405567, pack8to16
0x00405570:0x00405577, pack16to32
0x00405580:0x0040589b, x264_pixel_ssd_wxh
0x004058a0:0x00405b2b, x264_pixel_ssim_wxh
0x00405b30:0x00405e46, x264_pixel_init
0x00405e50:0x00405ea0, x264_pixel_sad_16x16
0x00405ea0:0x00405ef0, x264_pixel_sad_16x8
0x00405ef0:0x00405f40, x264_pixel_sad_8x16
0x00405f40:0x00405f90, x264_pixel_sad_8x8
0x00405f90:0x00405fe0, x264_pixel_sad_8x4
0x00405fe0:0x00406030, x264_pixel_sad_4x8
0x00406030:0x00406080, x264_pixel_sad_4x4
0x00406080:0x004060e4, x264_pixel_sad_x3_16x16
0x004060f0:0x00406154, x264_pixel_sad_x3_16x8
0x00406160:0x004061c4, x264_pixel_sad_x3_8x16
0x004061d0:0x00406234, x264_pixel_sad_x3_8x8
0x00406240:0x004062a4, x264_pixel_sad_x3_8x4
0x004062b0:0x00406314, x264_pixel_sad_x3_4x8
0x00406320:0x00406384, x264_pixel_sad_x3_4x4
0x00406390:0x00406416, x264_pixel_sad_x4_16x16
0x00406420:0x004064a6, x264_pixel_sad_x4_16x8
0x004064b0:0x00406536, x264_pixel_sad_x4_8x16
0x00406540:0x004065c6, x264_pixel_sad_x4_8x8
0x004065d0:0x00406656, x264_pixel_sad_x4_8x4
0x00406660:0x004066e6, x264_pixel_sad_x4_4x8
0x004066f0:0x00406776, x264_pixel_sad_x4_4x4
0x00406780:0x004067ca, x264_pixel_ssd_16x16
0x004067d0:0x0040681a, x264_pixel_ssd_16x8
0x00406820:0x0040686a, x264_pixel_ssd_8x16
0x00406870:0x004068ba, x264_pixel_ssd_8x8
0x004068c0:0x0040690a, x264_pixel_ssd_8x4
0x00406910:0x0040695a, x264_pixel_ssd_4x8
0x00406960:0x004069aa, x264_pixel_ssd_4x4
0x004069b0:0x00406b1a, x264_pixel_satd_16x16
0x00406b20:0x00406bc0, x264_pixel_satd_16x8
0x00406bc0:0x00406c7e, x264_pixel_satd_8x16
0x00406c80:0x00406cd1, x264_pixel_satd_8x8
0x00406ce0:0x00406e45, x264_pixel_satd_8x4
0x00406e50:0x00406ea1, x264_pixel_satd_4x8
0x00406eb0:0x00406fbe, x264_pixel_satd_4x4
0x00406fc0:0x00407024, x264_pixel_satd_x3_16x16
0x00407030:0x00407094, x264_pixel_satd_x3_16x8
0x004070a0:0x00407104, x264_pixel_satd_x3_8x16
0x00407110:0x00407174, x264_pixel_satd_x3_8x8
0x00407180:0x004071e4, x264_pixel_satd_x3_8x4
0x004071f0:0x00407254, x264_pixel_satd_x3_4x8
0x00407260:0x004072c4, x264_pixel_satd_x3_4x4
0x004072d0:0x00407356, x264_pixel_satd_x4_16x16
0x00407360:0x004073e6, x264_pixel_satd_x4_16x8
0x004073f0:0x00407476, x264_pixel_satd_x4_8x16
0x00407480:0x00407506, x264_pixel_satd_x4_8x8
0x00407510:0x00407596, x264_pixel_satd_x4_8x4
0x004075a0:0x00407626, x264_pixel_satd_x4_4x8
0x00407630:0x004076b6, x264_pixel_satd_x4_4x4
0x004076c0:0x0040773f, x264_pixel_hadamard_ac_16x16
0x00407740:0x00407783, x264_pixel_hadamard_ac_16x8
0x00407790:0x004077e0, x264_pixel_hadamard_ac_8x16
0x004077e0:0x00407804, x264_pixel_hadamard_ac_8x8
0x00407810:0x004078c9, x264_pixel_ads4
0x004078d0:0x0040794d, x264_pixel_ads2
0x00407950:0x004079a5, x264_pixel_ads1
0x004079b0:0x00407a55, x264_pixel_sa8d_16x16
0x00407a60:0x00407a6e, x264_pixel_sa8d_8x8
0x00407a70:0x00407ab9, x264_pixel_var_16x16
0x00407ac0:0x00407b09, x264_pixel_var_8x8
0x00407b10:0x00407be9, ssim_4x4x2_core
0x00407bf0:0x00407cab, ssim_end4
0x00407cb0:0x00407d0e, pixel_var2_8x8
0x00407d10:0x00407d27, abs2
0x00407d30:0x00407f53, pixel_hadamard_ac
0x00407f60:0x00408190, sa8d_8x8
0x00408190:0x004081e4, ssim_end1
0x004081f0:0x00408376, x264_mb_mc_8x8
0x00408380:0x004085d7, x264_mb_mc_0xywh
0x004085e0:0x004089b6, x264_mb_mc_01xywh
0x004089c0:0x00408b63, x264_mb_mc_1xywh
0x00408b70:0x00408ce0, x264_mb_mc
0x00408ce0:0x00408fe6, x264_macroblock_cache_allocate
0x00408ff0:0x004090f0, x264_macroblock_cache_free
0x004090f0:0x004092cf, x264_macroblock_thread_allocate
0x004092d0:0x0040935f, x264_macroblock_thread_free
0x00409360:0x00409681, x264_macroblock_slice_init
0x00409690:0x0040976f, x264_macroblock_thread_init
0x00409770:0x004097bc, x264_prefetch_fenc
0x004097c0:0x0040a0af, x264_macroblock_cache_load
0x0040a0b0:0x0040a2ec, x264_macroblock_cache_load_neighbours
0x0040a2f0:0x0040a316, copy_column8
0x0040a320:0x0040a69a, x264_macroblock_load_pic_pointers
0x0040a6a0:0x0040a6ac, x264_macroblock_cache_skip
0x0040a6b0:0x0040a74c, x264_macroblock_cache_load_neighbours_deblock
0x0040a750:0x0040aaab, x264_macroblock_cache_load_deblock
0x0040aab0:0x0040aab7, pack16to32_0
0x0040aac0:0x0040b0c2, x264_macroblock_cache_save
0x0040b0d0:0x0040b169, x264_macroblock_store_pic
0x0040b170:0x0040b17c, pack8to32
0x0040b180:0x0040b3a2, x264_macroblock_bipred_init
0x0040b3b0:0x0040b3bd, x264_clip3
0x0040b3c0:0x0040b3dc, x264_macroblock_cache_rect
0x0040b3e0:0x0040bb69, x264_frame_new
0x0040bb70:0x0040bd47, x264_frame_delete
0x0040bd50:0x0040be3d, x264_frame_copy_picture
0x0040be40:0x0040bffb, x264_frame_expand_border
0x0040c000:0x0040c166, plane_expand_border
