0x00401580:0x004015aa, _start
0x004015b0:0x004015e2, deregister_tm_clones
0x004015f0:0x0040162a, register_tm_clones
0x00401630:0x0040164c, __do_global_dtors_aux
0x00401650:0x00401676, frame_dummy
0x00401680:0x004017b9, x264_plane_copy_c
0x004017c0:0x00401b0a, x264_frame_init_lowres
0x00401b10:0x00401c9f, x264_mc_init
0x00401ca0:0x00402a37, mc_luma
0x00402a40:0x00403693, get_ref
0x004036a0:0x00403989, mc_chroma
0x00403990:0x00403b25, pixel_avg_16x16
0x00403b30:0x00403cc5, pixel_avg_16x8
0x00403cd0:0x00403dc5, pixel_avg_8x16
0x00403dd0:0x00403ec5, pixel_avg_8x8
0x00403ed0:0x00404229, pixel_avg_8x4
0x00404230:0x00404673, pixel_avg_4x8
0x00404680:0x00404b45, pixel_avg_4x4
0x00404b50:0x00404d93, pixel_avg_4x2
0x00404da0:0x0040502c, pixel_avg_2x4
0x00405030:0x0040515f, pixel_avg_2x2
0x00405160:0x0040516c, x264_weight_cache
0x00405170:0x00405245, mc_copy_w16
0x00405250:0x00405313, mc_copy_w8
0x00405320:0x004053d1, mc_copy_w4
0x004053e0:0x00405865, hpel_filter
0x00405870:0x00405871, prefetch_fenc_null
0x00405880:0x00405881, prefetch_ref_null
0x00405890:0x0040589a, memzero_aligned
0x004058a0:0x00405a0b, frame_init_lowres_core
0x00405a10:0x00405ac7, integral_init4h
0x00405ad0:0x00405b97, integral_init8h
0x00405ba0:0x00405fc2, integral_init4v
0x00405fd0:0x00406151, integral_init8v
0x00406160:0x004061c7, mbtree_propagate_cost
0x004061d0:0x0040646f, x264_frame_filter
0x00406470:0x004067b8, pixel_avg_weight_wxh
0x004067c0:0x004068ce, mc_weight_w2
0x004068d0:0x00406a94, mc_weight_w4
0x00406aa0:0x00406db8, mc_weight_w8
0x00406dc0:0x0040722c, mc_weight_w12
0x00407230:0x004077f0, mc_weight_w16
0x004077f0:0x00407e21, mc_weight_w20
0x00407e30:0x00407e86, x264_predict_16x16_init
0x00407e90:0x00407f09, predict_16x16_v
0x00407f10:0x004080d5, predict_16x16_h
0x004080e0:0x00408249, predict_16x16_dc
0x00408250:0x004088af, predict_16x16_p
0x004088b0:0x004089b9, predict_16x16_dc_left
0x004089c0:0x00408aa8, predict_16x16_dc_top
0x00408ab0:0x00408b2c, predict_16x16_dc_128
0x00408b30:0x00408b86, x264_predict_8x8c_init
0x00408b90:0x00408bde, predict_8x8c_v
0x00408be0:0x00408c81, predict_8x8c_h
0x00408c90:0x00408d86, predict_8x8c_dc
0x00408d90:0x00409291, predict_8x8c_p
0x004092a0:0x00409337, predict_8x8c_dc_left
0x00409340:0x004093ce, predict_8x8c_dc_top
0x004093d0:0x00409406, predict_8x8c_dc_128
0x00409410:0x004094cb, x264_predict_8x8_init
0x004094d0:0x00409500, predict_8x8_v
0x00409500:0x004095a0, predict_8x8_h
0x004095a0:0x00409653, predict_8x8_dc
0x00409660:0x004098c2, predict_8x8_ddl
0x004098d0:0x00409b25, predict_8x8_ddr
0x00409b30:0x00409dc9, predict_8x8_vr
0x00409dd0:0x0040a054, predict_8x8_hd
0x0040a060:0x0040a2c4, predict_8x8_vl
0x0040a2d0:0x0040a44d, predict_8x8_hu
0x0040a450:0x0040a4d3, predict_8x8_dc_left
0x0040a4e0:0x0040a563, predict_8x8_dc_top
0x0040a570:0x0040a5a6, predict_8x8_dc_128
0x0040a5b0:0x0040a90d, predict_8x8_filter
0x0040a910:0x0040a9c4, x264_predict_4x4_init
0x0040a9d0:0x0040a9df, predict_4x4_v
0x0040a9e0:0x0040aa14, predict_4x4_h
0x0040aa20:0x0040aa67, predict_4x4_dc
0x0040aa70:0x0040ab20, predict_4x4_ddl
0x0040ab20:0x0040abd2, predict_4x4_ddr
0x0040abe0:0x0040aca5, predict_4x4_vr
0x0040acb0:0x0040ad77, predict_4x4_hd
0x0040ad80:0x0040ae3b, predict_4x4_vl
0x0040ae40:0x0040aebb, predict_4x4_hu
0x0040aec0:0x0040aeef, predict_4x4_dc_left
0x0040aef0:0x0040af1f, predict_4x4_dc_top
0x0040af20:0x0040af3c, predict_4x4_dc_128
0x0040af40:0x0040b588, x264_pixel_ssd_wxh
0x0040b590:0x0040ba76, x264_pixel_ssim_wxh
0x0040ba80:0x0040be3d, x264_pixel_init
0x0040be40:0x0040be73, x264_pixel_sad_16x16
0x0040be80:0x0040bf79, x264_pixel_sad_16x8
