0x004016f0:0x0040171a, _start
0x00401720:0x00401752, deregister_tm_clones
0x00401760:0x0040179a, register_tm_clones
0x004017a0:0x004017bc, __do_global_dtors_aux
0x004017c0:0x004017e6, frame_dummy
0x004017e6:0x00401b74, pixel_avg_16x8
0x00401b74:0x00401b80, x264_weight_cache
0x00401b80:0x00401c5c, mc_weight_w20
0x00401c5c:0x00401d38, mc_weight_w16
0x00401d38:0x00401e14, mc_weight_w12
0x00401e14:0x00401ef0, mc_weight_w8
0x00401ef0:0x00401fcf, mc_weight_w4
0x00401fcf:0x004020ae, mc_weight_w2
0x004020ae:0x004022c3, hpel_filter
0x004022c3:0x00402392, mc_chroma
0x00402392:0x00402394, prefetch_fenc_null
0x00402394:0x00402396, prefetch_ref_null
0x00402396:0x004023ed, integral_init4h
0x004023ed:0x00402460, integral_init8h
0x00402460:0x004024cf, integral_init4v
0x004024cf:0x00402503, integral_init8v
0x00402503:0x00402681, frame_init_lowres_core
0x00402681:0x004026e0, mbtree_propagate_cost
0x004026e0:0x0040272e, x264_plane_copy_c
0x0040272e:0x00402744, memzero_aligned
0x00402744:0x00402811, pixel_avg_2x2
0x00402811:0x004028de, pixel_avg_2x4
0x004028de:0x00402a0e, pixel_avg_4x2
0x00402a0e:0x00402b3e, pixel_avg_4x8
0x00402b3e:0x00402c6e, pixel_avg_4x4
0x00402c6e:0x00402f40, get_ref
0x00402f40:0x0040321d, mc_luma
0x0040321d:0x00403423, pixel_avg_8x16
0x00403423:0x00403629, pixel_avg_8x8
0x00403629:0x0040383f, pixel_avg_8x4
0x0040383f:0x00403bcd, pixel_avg_16x16
0x00403bcd:0x00403bf3, mc_copy_w4
0x00403bf3:0x00403c19, mc_copy_w8
0x00403c19:0x00403c47, mc_copy_w16
0x00403c47:0x00403def, x264_frame_init_lowres
0x00403def:0x00403f30, x264_mc_init
0x00403f30:0x00404135, x264_frame_filter
0x00404135:0x0040418b, predict_16x16_dc
0x0040418b:0x004041d2, predict_16x16_dc_left
0x004041d2:0x00404216, predict_16x16_dc_top
0x00404216:0x00404243, predict_16x16_dc_128
0x00404243:0x0040426a, predict_16x16_h
0x0040426a:0x00404295, predict_16x16_v
0x00404295:0x0040437d, predict_16x16_p
0x0040437d:0x0040439c, predict_8x8c_dc_128
0x0040439c:0x0040440c, predict_8x8c_dc_left
0x0040440c:0x00404461, predict_8x8c_dc_top
0x00404461:0x0040451e, predict_8x8c_dc
0x0040451e:0x0040453f, predict_8x8c_h
0x0040453f:0x0040455c, predict_8x8c_v
0x0040455c:0x00404644, predict_8x8c_p
0x00404644:0x00404660, predict_4x4_dc_128
0x00404660:0x0040468d, predict_4x4_dc_left
0x0040468d:0x004046ba, predict_4x4_dc_top
0x004046ba:0x004046ff, predict_4x4_dc
0x004046ff:0x00404733, predict_4x4_h
0x00404733:0x00404742, predict_4x4_v
0x00404742:0x004047e4, predict_4x4_ddl
0x004047e4:0x0040488c, predict_4x4_ddr
0x0040488c:0x00404947, predict_4x4_vr
0x00404947:0x00404a03, predict_4x4_hd
0x00404a03:0x00404ab6, predict_4x4_vl
0x00404ab6:0x00404b31, predict_4x4_hu
0x00404b31:0x00404e7c, predict_8x8_filter
0x00404e7c:0x00404e9b, predict_8x8_dc_128
0x00404e9b:0x00404eeb, predict_8x8_dc_left
0x00404eeb:0x00404f3b, predict_8x8_dc_top
0x00404f3b:0x00404fbb, predict_8x8_dc
0x00404fbb:0x00405070, predict_8x8_h
0x00405070:0x0040508c, predict_8x8_v
0x0040508c:0x004052fb, predict_8x8_ddl
0x004052fb:0x00405578, predict_8x8_ddr
0x00405578:0x0040581c, predict_8x8_vr
0x0040581c:0x00405a8a, predict_8x8_hd
0x00405a8a:0x00405d02, predict_8x8_vl
0x00405d02:0x00405e79, predict_8x8_hu
0x00405e79:0x00405eb1, x264_predict_16x16_init
0x00405eb1:0x00405ee9, x264_predict_8x8c_init
0x00405ee9:0x00405f50, x264_predict_8x8_init
0x00405f50:0x00405fb0, x264_predict_4x4_init
0x00405fb0:0x00405ffd, x264_pixel_sad_16x16
0x00405ffd:0x0040604a, x264_pixel_sad_16x8
0x0040604a:0x00406097, x264_pixel_sad_8x16
0x00406097:0x004060e4, x264_pixel_sad_8x8
0x004060e4:0x00406134, x264_pixel_sad_8x4
0x00406134:0x00406184, x264_pixel_sad_4x8
0x00406184:0x004061d4, x264_pixel_sad_4x4
0x004061d4:0x00406217, x264_pixel_ssd_16x16
0x00406217:0x0040625a, x264_pixel_ssd_16x8
0x0040625a:0x0040629d, x264_pixel_ssd_8x16
0x0040629d:0x004062e0, x264_pixel_ssd_8x8
