0x00400b70:0x00400b9a, _start
0x00400ba0:0x00400bd2, deregister_tm_clones
0x00400be0:0x00400c1a, register_tm_clones
0x00400c20:0x00400c3c, __do_global_dtors_aux
0x00400c40:0x00400c66, frame_dummy
0x00400c70:0x004014a3, main
0x004014b0:0x00401671, init_encoder
0x00401680:0x00401963, uncompressStream
0x00401970:0x00401ae7, init_decoder
0x00401af0:0x00401e2e, compressStream
0x00401e30:0x00401e42, tuklib_physmem
0x00401e50:0x00401e5b, lzma_version_number
0x00401e60:0x00401e70, lzma_version_string
0x00401e70:0x00401ee8, lzma_alloc
0x00401ef0:0x00401f44, lzma_free
0x00401f50:0x00402004, lzma_bufcpy
0x00402010:0x004020a1, lzma_next_filter_init
0x004020b0:0x00402160, lzma_next_end
0x00402160:0x004021e4, lzma_next_filter_update
0x004021f0:0x00402322, lzma_strm_init
0x00402330:0x004027a0, lzma_code
0x004027a0:0x00402805, lzma_end
0x00402810:0x00402860, lzma_get_check
0x00402860:0x004028f2, lzma_memusage
0x00402900:0x00402992, lzma_memlimit_get
0x004029a0:0x00402a3f, lzma_memlimit_set
0x00402a40:0x00402b04, lzma_block_compressed_size
0x00402b10:0x00402c39, lzma_block_unpadded_size
0x00402c40:0x00402c7b, lzma_block_total_size
0x00402c80:0x00402c99, vli_ceil4
0x00402ca0:0x00402d09, lzma_easy_preset
0x00402d10:0x00402f98, lzma_filters_copy
0x00402fa0:0x00403268, lzma_raw_coder_init
0x00403270:0x004033fc, validate_chain
0x00403400:0x0040351f, lzma_raw_coder_memusage
0x00403520:0x0040352b, lzma_physmem
0x00403530:0x004035c6, lzma_index_init
0x004035d0:0x00403658, index_init_plain
0x00403660:0x00403754, index_stream_init
0x00403760:0x004038f5, index_tree_append
0x00403900:0x00403948, lzma_index_end
0x00403950:0x0040398c, index_tree_end
0x00403990:0x004039ce, index_stream_end
0x004039d0:0x00403a0c, lzma_index_prealloc
0x00403a10:0x00403b03, lzma_index_memusage
0x00403b10:0x00403b38, lzma_index_memused
0x00403b40:0x00403b52, lzma_index_block_count
0x00403b60:0x00403b71, lzma_index_stream_count
0x00403b80:0x00403ba7, lzma_index_size
0x00403bb0:0x00403bdb, index_size
0x00403be0:0x00403bf2, lzma_index_total_size
0x00403c00:0x00403c48, lzma_index_stream_size
0x00403c50:0x00403ce8, lzma_index_file_size
0x00403cf0:0x00403d99, index_file_size
0x00403da0:0x00403db2, lzma_index_uncompressed_size
0x00403dc0:0x00403e05, lzma_index_checks
0x00403e10:0x00403e49, lzma_index_padding_size
0x00403e50:0x00403e81, index_size_unpadded
0x00403e90:0x00403f28, lzma_index_stream_flags
0x00403f30:0x00404001, lzma_index_stream_padding
0x00404010:0x00404367, lzma_index_append
0x00404370:0x00404389, vli_ceil4_0
0x00404390:0x004046c1, lzma_index_cat
0x004046d0:0x00404789, index_cat_helper
0x00404790:0x0040487e, lzma_index_dup
0x00404880:0x00404a89, index_dup_stream
0x00404a90:0x00404b44, index_tree_next
0x00404b50:0x00404b7e, lzma_index_iter_init
0x00404b80:0x00404bc6, lzma_index_iter_rewind
0x00404bd0:0x00404ebd, lzma_index_iter_next
0x00404ec0:0x004052a3, iter_set_info
0x004052b0:0x004053e0, lzma_index_iter_locate
0x004053e0:0x0040544b, index_tree_locate
0x00405450:0x00405488, index_tree_init
0x00405490:0x00405548, bsr32
0x00405550:0x00405602, ctz32
0x00405610:0x0040569e, index_tree_node_end
0x004056a0:0x004057a6, lzma_stream_flags_compare
0x004057b0:0x0040580d, is_backward_size_valid
0x00405810:0x0040586a, lzma_vli_size
0x00405870:0x00405912, lzma_alone_encoder
0x00405920:0x00405be6, alone_encoder_init
0x00405bf0:0x00405d3a, alone_encode
0x00405d40:0x00405d83, alone_encoder_end
0x00405d90:0x00405dd9, unaligned_write32le
0x00405de0:0x00405e37, lzma_block_buffer_bound
0x00405e40:0x00405ebf, lzma2_bound
0x00405ec0:0x00406199, lzma_block_buffer_encode
0x004061a0:0x00406425, block_encode_normal
0x00406430:0x00406720, block_encode_uncompressed
0x00406720:0x00406930, lzma_block_encoder_init
0x00406930:0x00406cae, block_encode
0x00406cb0:0x00406cf3, block_encoder_end
0x00406d00:0x00406d57, block_encoder_update
0x00406d60:0x00406e02, lzma_block_encoder
0x00406e10:0x00406fa6, lzma_block_header_size
0x00406fb0:0x00407228, lzma_block_header_encode
0x00407230:0x00407279, unaligned_write32le_0
0x00407280:0x00407321, lzma_easy_buffer_encode
0x00407330:0x00407392, lzma_easy_encoder
0x004073a0:0x004073fa, lzma_easy_encoder_memusage
0x00407400:0x004075ac, lzma_raw_buffer_encode
0x004075b0:0x004075dd, lzma_filter_encoder_is_supported
0x004075e0:0x00407659, encoder_find
0x00407660:0x00407796, lzma_filters_update
0x004077a0:0x004077c8, lzma_raw_encoder_memusage
0x004077d0:0x0040780e, lzma_raw_encoder_init
0x00407810:0x004078d1, lzma_raw_encoder
0x004078e0:0x0040797e, lzma_properties_size
0x00407980:0x004079f4, lzma_properties_encode
0x00407a00:0x00407a9b, lzma_filter_flags_size
0x00407aa0:0x00407bfc, lzma_filter_flags_encode
0x00407c00:0x00407ce5, lzma_index_encoder_init
0x00407cf0:0x0040807e, index_encode
0x00408080:0x004080a3, index_encoder_end
0x004080b0:0x0040811d, index_encoder_reset
0x00408120:0x004081c2, lzma_index_encoder
0x004081d0:0x00408330, lzma_index_buffer_encode
0x00408330:0x0040839c, lzma_stream_buffer_bound
0x004083a0:0x004086c1, lzma_stream_buffer_encode
0x004086d0:0x004089e8, lzma_stream_encoder_init
0x004089f0:0x00408eb2, stream_encode
0x00408ec0:0x00408f97, stream_encoder_end
0x00408fa0:0x0040910c, stream_encoder_update
0x00409110:0x004091d0, lzma_stream_encoder
0x004091d0:0x00409258, block_encoder_init
0x00409260:0x00409312, lzma_stream_header_encode
0x00409320:0x00409368, stream_flags_encode
0x00409370:0x004093b9, unaligned_write32le_1
0x004093c0:0x004094a1, lzma_stream_footer_encode
0x004094b0:0x0040950d, is_backward_size_valid_0
0x00409510:0x00409699, lzma_vli_encode
0x004096a0:0x0040986e, lzma_alone_decoder_init
0x00409870:0x00409ca4, alone_decode
0x00409cb0:0x00409cf3, alone_decoder_end
