0x00400c80:0x00400caa, _start
0x00400cb0:0x00400ce2, deregister_tm_clones
0x00400cf0:0x00400d2a, register_tm_clones
0x00400d30:0x00400d4c, __do_global_dtors_aux
0x00400d50:0x00400d76, frame_dummy
0x00400d80:0x004012af, main
0x004012b0:0x00401367, init_encoder
0x00401370:0x00401607, uncompressStream
0x00401610:0x004018a7, compressStream
0x004018b0:0x004018b3, tuklib_physmem
0x004018c0:0x004018c6, lzma_version_number
0x004018d0:0x004018d6, lzma_version_string
0x004018e0:0x0040190f, lzma_alloc
0x00401910:0x00401932, lzma_free
0x00401940:0x00401991, lzma_bufcpy
0x004019a0:0x00401a65, lzma_next_filter_init
0x00401a70:0x00401adf, lzma_next_end
0x00401ae0:0x00401b09, lzma_next_filter_update
0x00401b10:0x00401bb7, lzma_strm_init
0x00401bc0:0x00401e61, lzma_code
0x00401e70:0x00401f2c, lzma_end
0x00401f30:0x00401f45, lzma_get_check
0x00401f50:0x00401faf, lzma_memusage
0x00401fb0:0x0040200f, lzma_memlimit_get
0x00402010:0x0040205a, lzma_memlimit_set
0x00402060:0x00402124, lzma_block_compressed_size
0x00402130:0x004021a7, lzma_block_unpadded_size
0x004021b0:0x00402232, lzma_block_total_size
0x00402240:0x00402278, lzma_easy_preset
0x00402280:0x0040240e, lzma_filters_copy
0x00402410:0x0040261e, lzma_raw_coder_init
0x00402620:0x00402749, lzma_raw_coder_memusage
0x00402750:0x00402755, lzma_physmem
0x00402760:0x00402820, lzma_index_init
0x00402820:0x004029c5, index_tree_append
0x004029d0:0x00402a0e, lzma_index_end
0x00402a10:0x00402a21, index_stream_end
0x00402a30:0x00402a46, lzma_index_prealloc
0x00402a50:0x00402ab2, lzma_index_memusage
0x00402ac0:0x00402b29, lzma_index_memused
0x00402b30:0x00402b35, lzma_index_block_count
0x00402b40:0x00402b44, lzma_index_stream_count
0x00402b50:0x00402b71, lzma_index_size
0x00402b80:0x00402b85, lzma_index_total_size
