0x00400c20:0x00400c4a, _start
0x00400c50:0x00400c82, deregister_tm_clones
0x00400c90:0x00400cca, register_tm_clones
0x00400cd0:0x00400cec, __do_global_dtors_aux
0x00400cf0:0x00400d16, frame_dummy
0x00400d16:0x00401371, main
0x00401371:0x0040146d, init_encoder
0x0040146d:0x00401767, uncompressStream
0x00401767:0x0040195f, compressStream
0x0040195f:0x00401965, tuklib_physmem
0x00401965:0x0040196b, lzma_version_number
0x0040196b:0x00401971, lzma_version_string
0x00401971:0x004019ab, lzma_alloc
0x004019ab:0x004019d5, lzma_free
0x004019d5:0x00401a25, lzma_bufcpy
0x00401a25:0x00401a59, lzma_next_filter_update
0x00401a59:0x00401a97, lzma_next_end
0x00401a97:0x00401ae0, lzma_next_filter_init
0x00401ae0:0x00401b7b, lzma_strm_init
0x00401b7b:0x00401dfd, lzma_code
0x00401dfd:0x00401e33, lzma_end
0x00401e33:0x00401e54, lzma_get_check
0x00401e54:0x00401ed1, lzma_memusage
0x00401ed1:0x00401f4e, lzma_memlimit_get
0x00401f4e:0x00401fbd, lzma_memlimit_set
0x00401fbd:0x00402054, lzma_block_unpadded_size
0x00402054:0x004020a9, lzma_block_compressed_size
0x004020a9:0x004020c5, lzma_block_total_size
0x004020c5:0x00402104, lzma_easy_preset
0x00402104:0x004021ce, validate_chain
0x004021ce:0x00402354, lzma_filters_copy
0x00402354:0x00402504, lzma_raw_coder_init
0x00402504:0x004025b0, lzma_raw_coder_memusage
0x004025b0:0x004025be, lzma_physmem
0x004025be:0x004026d0, index_tree_append
0x004026d0:0x00402703, index_tree_next
0x00402703:0x0040275d, index_cat_helper
0x0040275d:0x004027aa, index_tree_node_end
0x004027aa:0x004027c7, index_stream_end
0x004027c7:0x0040282f, index_init_plain
0x0040282f:0x00402a3a, iter_set_info
0x00402a3a:0x00402ad4, index_stream_init
0x00402ad4:0x00402b39, lzma_index_init
0x00402b39:0x00402b6f, lzma_index_end
0x00402b6f:0x00402b85, lzma_index_prealloc
0x00402b85:0x00402bf0, lzma_index_memusage
0x00402bf0:0x00402bfe, lzma_index_memused
0x00402bfe:0x00402c03, lzma_index_block_count
0x00402c03:0x00402c07, lzma_index_stream_count
0x00402c07:0x00402c23, lzma_index_size
0x00402c23:0x00402c28, lzma_index_total_size
0x00402c28:0x00402c57, lzma_index_stream_size
0x00402c57:0x00402cd4, lzma_index_file_size
0x00402cd4:0x00402cd9, lzma_index_uncompressed_size
0x00402cd9:0x00402cf7, lzma_index_checks
0x00402cf7:0x00402d14, lzma_index_padding_size
0x00402d14:0x00402d91, lzma_index_stream_flags
0x00402d91:0x00402dfb, lzma_index_stream_padding
