0x00400cb0:0x00400cf5, free_properties
0x00400cf5:0x00400d3a, fd_grow
0x00400d3a:0x00400d5d, spec_mem_sum_0
0x00400d60:0x00401363, main
0x00401370:0x0040139a, _start
0x004013a0:0x004013d2, deregister_tm_clones
0x004013e0:0x0040141a, register_tm_clones
0x00401420:0x0040143c, __do_global_dtors_aux
0x00401440:0x00401466, frame_dummy
0x00401470:0x00401586, init_encoder
0x00401590:0x004018ad, uncompressStream
0x004018b0:0x00401baf, compressStream
0x00401bb0:0x00401bb3, tuklib_physmem
0x00401bc0:0x00401bc6, lzma_version_number
0x00401bd0:0x00401bd6, lzma_version_string
0x00401be0:0x00401c18, lzma_alloc
0x00401c20:0x00401c45, lzma_free
0x00401c50:0x00401ca0, lzma_bufcpy
0x00401ca0:0x00401d64, lzma_next_filter_init
0x00401d70:0x00401d9b, lzma_next_filter_update
0x00401da0:0x00401e02, lzma_next_end
0x00401e10:0x00401ecf, lzma_strm_init
0x00401ed0:0x00402158, lzma_code
0x00402160:0x0040221a, lzma_end
0x00402220:0x0040223b, lzma_get_check
0x00402240:0x004022ac, lzma_memusage
0x004022b0:0x0040231c, lzma_memlimit_get
0x00402320:0x0040239a, lzma_memlimit_set
0x004023a0:0x00402476, lzma_block_compressed_size
0x00402480:0x00402501, lzma_block_unpadded_size
0x00402510:0x0040259e, lzma_block_total_size
0x004025a0:0x004025dc, lzma_easy_preset
0x004025e0:0x004027fe, lzma_filters_copy
0x00402800:0x00402ac7, lzma_raw_coder_init
0x00402ad0:0x00402c70, lzma_raw_coder_memusage
0x00402c70:0x00402c75, lzma_physmem
0x00402c80:0x00402dcc, index_tree_append
0x00402dd0:0x00403006, iter_set_info
0x00403010:0x0040335e, index_cat_helper
0x00403360:0x00403966, index_tree_node_end
0x00403970:0x00403e8f, index_stream_end
0x00403e90:0x00404526, index_tree_node_end_0
0x00404530:0x00404798, lzma_index_init
0x004047a0:0x004047d2, lzma_index_end
0x004047e0:0x004047f6, lzma_index_prealloc
0x00404800:0x0040487a, lzma_index_memusage
0x00404880:0x004048fa, lzma_index_memused
0x00404900:0x00404905, lzma_index_block_count
0x00404910:0x00404914, lzma_index_stream_count
0x00404920:0x0040493c, lzma_index_size
0x00404940:0x00404945, lzma_index_total_size
0x00404950:0x0040497f, lzma_index_stream_size
0x00404980:0x004049fc, lzma_index_file_size
0x00404a00:0x00404a05, lzma_index_uncompressed_size
0x00404a10:0x00404a2e, lzma_index_checks
0x00404a30:0x00404a4d, lzma_index_padding_size
0x00404a50:0x00404ac6, lzma_index_stream_flags
0x00404ad0:0x00404baf, lzma_index_stream_padding
0x00404bb0:0x00404e0a, lzma_index_append
0x00404e10:0x00405142, lzma_index_cat
