0x00400970:0x0040099a, start
0x004009a0:0x004009d2, sub_4009A0
0x00400a20:0x00400a3c, sub_400A20
0x00400a40:0x00400a66, sub_400A40
0x00400a66:0x00400b1c, sub_400A66
0x00400b1c:0x00400b5b, sub_400B1C
0x00400b5b:0x00400e3e, sub_400B5B
0x00400e3e:0x00400e71, sub_400E3E
0x00400e71:0x00400f5f, sub_400E71
0x00400f5f:0x0040109f, sub_400F5F
0x0040109f:0x004011fc, sub_40109F
0x004011fc:0x0040289a, sub_4011FC
0x0040289a:0x00404f18, sub_40289A
0x00404f18:0x0040756a, sub_404F18
0x0040756a:0x00407d3c, sub_40756A
0x00407d3c:0x00407e01, sub_407D3C
0x00407e01:0x00407ebe, sub_407E01
0x00407ebe:0x00408b60, sub_407EBE
0x00408b60:0x0040989e, sub_408B60
0x0040989e:0x00409991, main
0x00409991:0x00409b86, sub_409991
0x00409b86:0x00409d66, sub_409B86
0x00409d66:0x00409e41, sub_409D66
0x00409e41:0x00409ec9, sub_409E41
0x00409ed0:0x00409f35, init
0x00409f40:0x00409f42, fini
0x00409f50:0x00409f60, sub_409F50
