0x00400950:0x00400a23, main
0x00400a30:0x00400a5a, start
0x00400a60:0x00400a92, sub_400A60
0x00400ae0:0x00400afc, sub_400AE0
0x00400b00:0x00400b26, sub_400B00
0x00400b30:0x00400b45, sub_400B30
0x00400b50:0x00400b97, sub_400B50
0x00400ba0:0x00400bbc, sub_400BA0
0x00400bc0:0x00400c99, sub_400BC0
0x00400ca0:0x00400cad, sub_400CA0
0x00400cb0:0x00400d49, sub_400CB0
0x00400d50:0x00400e07, sub_400D50
0x00400e10:0x00400e80, sub_400E10
0x00401680:0x00402095, sub_401680
0x004020a0:0x00402b33, sub_4020A0
0x00402b40:0x00402eb1, sub_402B40
0x00402ec0:0x00403196, sub_402EC0
0x004031a0:0x004034fe, sub_4031A0
0x00403500:0x00403666, sub_403500
0x00403670:0x004037e0, sub_403670
0x004037e0:0x0040387e, sub_4037E0
0x00403880:0x004038ea, sub_403880
0x004038f0:0x00403955, init
0x00403960:0x00403962, fini
