0x00400960:0x00400b18, main
0x00400b20:0x00400b4a, start
0x00400b50:0x00400b82, sub_400B50
0x00400bd0:0x00400bec, sub_400BD0
0x00400bf0:0x00400c16, sub_400BF0
0x00400c20:0x00400d59, sub_400C20
0x00400d60:0x00400e11, sub_400D60
0x00400e20:0x00400f69, sub_400E20
0x00400f80:0x00400fc5, sub_400F80
0x00400fd0:0x00400fd4, sub_400FD0
0x00400fe0:0x00401183, sub_400FE0
0x00401190:0x004012c2, sub_401190
0x004012d0:0x0040137f, sub_4012D0
0x00401380:0x00401419, sub_401380
0x00401420:0x00401add, sub_401420
0x00401ae0:0x00401b17, sub_401AE0
0x00401b20:0x00401be9, sub_401B20
0x00401bf0:0x00401ccc, sub_401BF0
0x00401cd0:0x00401e7c, sub_401CD0
0x00401e80:0x00401f73, sub_401E80
0x00402440:0x00403387, sub_402440
0x00403390:0x00403783, sub_403390
0x00403790:0x004038d6, sub_403790
0x004038e0:0x00403a33, sub_4038E0
0x00403a40:0x00403a99, sub_403A40
0x00403aa0:0x00403d08, sub_403AA0
0x00403d10:0x00403df8, sub_403D10
0x00403e00:0x00403e4b, sub_403E00
0x00403e50:0x00403f83, sub_403E50
0x00403f90:0x00404242, sub_403F90
0x00404250:0x0040444b, sub_404250
0x00404450:0x004047d5, sub_404450
0x004047e0:0x004048a2, sub_4047E0
0x004048b0:0x004048e7, sub_4048B0
0x004048f0:0x0040490f, sub_4048F0
0x00404940:0x00404b81, sub_404940
0x00404b90:0x00405768, sub_404B90
0x00405770:0x004057d5, init
0x004057e0:0x004057e2, fini
