0x00400970:0x0040099a, sub_00400970
0x004009a0:0x004009d2, sub_004009a0
0x00400a20:0x00400a3c, sub_00400a20
0x00400a40:0x00400a66, sub_00400a40
0x00400a66:0x00400b1c, sub_00400a66
0x00400b1c:0x00400b5b, sub_00400b1c
0x00400b5b:0x00400e3e, sub_00400b5b
0x00400e3e:0x00400e71, sub_00400e3e
0x00400e71:0x00400f5f, sub_00400e71
0x00400f5f:0x0040109f, sub_00400f5f
0x0040109f:0x004011fc, sub_0040109f
0x004011fc:0x0040289a, sub_004011fc
0x0040289a:0x00404f18, sub_0040289a
0x00404f18:0x0040756a, sub_00404f18
0x0040756a:0x00407d3c, sub_0040756a
0x00407d3c:0x00407e01, sub_00407d3c
0x00407e01:0x00407ebe, sub_00407e01
0x00407ebe:0x00408b60, sub_00407ebe
0x00408b60:0x0040989e, sub_00408b60
0x0040989e:0x00409991, sub_0040989e
0x00409991:0x00409b86, sub_00409991
0x00409b86:0x00409d66, sub_00409b86
0x00409d66:0x00409e41, sub_00409d66
0x00409e41:0x00409ec9, sub_00409e41
0x00409ed0:0x00409f35, sub_00409ed0
0x00409f40:0x00409f42, sub_00409f40
0x00409f50:0x00409f60, sub_00409f50
